"","mleA","mleN","ansR","ccpA"
"mleA",1,0.998403932884754,0.441850491316936,0.372934877135164
"mleN",0.998403932884754,1,0.457922670040547,0.381834823252182
"ansR",0.441850491316936,0.457922670040547,1,0.381577725799048
"ccpA",0.372934877135164,0.381834823252182,0.381577725799048,1
