"","sinI","sinR","abrB","scoC","spo0A"
"sinI",1,0.978760762065301,-0.349474770104917,0.489649768387516,0.100322514556173
"sinR",0.978760762065301,1,-0.312959395647491,0.555222401694857,0.119845100859578
"abrB",-0.349474770104917,-0.312959395647491,1,0.0512345732628296,0.454406331842463
"scoC",0.489649768387516,0.555222401694857,0.0512345732628296,1,0.627865108002101
"spo0A",0.100322514556173,0.119845100859578,0.454406331842463,0.627865108002101,1
