"","maeA","malR","maeN","yflS","ywkB","pval","z","inv_cof_var"
"GSM672712",8.636723792,12.0286052,8.208248327,8.674690335,8.091864684,0.0483678605874962,1.66088910313125,28.3704295674523
"GSM672729",7.635680297,11.82046914,8.619519331,8.538096654,7.589801115,0.458683232065057,0.103751615835827,14.4809776748156
"GSM672732",8.491805204,11.89799851,8.9676171,8.836514498,7.988043866,0.249139178154296,0.677201121477056,19.5960682730738
"GSM672733",8.007326394,11.70866914,8.167665428,9.043852416,7.772822305,0.441629345941723,0.146839518017118,14.8653158269599
"GSM672734",7.441135316,11.77321896,8.602923048,8.283497026,7.510571747,0.486325733947781,0.0342830163530983,13.8613273366556
"GSM672739",8.972713011,11.47898253,9.150171375,9.07303197,8.109748699,0.298800191928346,0.527854417971493,18.2639162501543
"GSM672742",9.725816729,12.39590892,9.673109665,8.980534201,8.493020818,0.409186479686421,0.229638150225349,15.6038682208335
"GSM672745",9.045071375,11.9387881,9.374982156,9.080512639,8.9057171,0.000129738145747495,3.65272082155219,46.137294123059
"GSM672768",7.750881041,11.53395353,8.831322305,8.380965242,7.764849442,0.407629575136841,0.233646853748568,15.6396253040659
"GSM672769",7.753190706,11.50287249,8.57858513,8.149569331,7.449311524,0.379444599598294,0.306939793547766,16.29338823105
"GSM672771",13.53887881,11.85025242,13.54124015,11.73846877,12.58602528,0.443882530912305,0.141132762656447,14.8144123552422
"GSM672772",14.11179126,11.83742714,12.7521803,11.92279405,13.33925093,0.476452944522365,0.0590580280212966,14.0823170280043
"GSM672775",14.07618625,11.87881301,12.61808885,11.91889442,13.02763364,0.466236490457935,0.0847338542841904,14.3113418614515
"GSM672778",7.692402602,11.58882602,8.854895539,8.292988848,7.580478067,0.491486718145457,0.0213412528714778,13.7458885891138
"GSM672779",7.707991078,11.80120297,8.835132714,8.34812974,7.604586617,0.476575189283794,0.0587510737796966,14.0795790384519
"GSM672784",13.96540669,12.05938885,12.47473234,12.12215242,13.08300781,0.39209909949448,0.273852209896557,15.9982515426608
"GSM672785",13.93621227,11.81549405,12.53577732,11.68734461,12.94970781,0.494668216862933,0.0133651962556732,13.6747432627941
"GSM672790",12.89984572,11.44644647,13.29238922,11.62122007,12.06496617,0.377148723586551,0.312977907031047,16.3472473715771
"GSM672791",13.31143866,11.35883048,12.71352639,11.91770855,12.19392119,0.221315878490386,0.767756677390018,20.4038113578855
"GSM672792",13.42815502,11.39465613,12.61107732,11.89925465,12.33601004,0.251570953888837,0.669554373887047,19.5278603379023
"GSM672793",12.9836684,11.41760669,13.02196208,11.66571561,12.00844572,0.306678639527345,0.50528699022858,18.0626179033267
"GSM672799",13.30781115,11.56050372,13.1136368,12.22536784,12.03426766,0.235413130818755,0.721135320499043,19.9879552764605
"GSM672800",13.4302974,11.45005353,12.7521803,12.01236766,12.44072714,0.195628851265589,0.857338743407832,21.2028710469298
"GSM672801",13.34864684,11.29230335,12.67413941,11.78586766,11.62253309,0.421172492054986,0.198894867935128,15.3296423776592
"GSM672802",12.88597286,11.37801599,12.71816097,11.6522461,11.82952268,0.243010790747228,0.696650439785371,19.7695535132609
"GSM672803",12.63887881,11.35768476,13.58176394,11.9588368,11.69867212,0.443157946807563,0.142967443151367,14.8307774525316
"GSM672809",13.01695428,11.48265204,13.05163569,12.07309777,12.11117286,0.142840357327909,1.06764491590834,23.078773136182
"GSM672810",13.17256729,11.82445613,12.54013457,12.45543494,11.76177175,0.182864422467643,0.904502810174607,21.6235680256892
"GSM672811",13.05679517,11.32477955,12.94463234,12.1883777,12.01371413,0.124278734121682,1.1538602496776,23.8478020373329
"GSM672812",12.6482026,11.31439294,13.23707546,11.9506539,11.83088699,0.272387730910912,0.605607438283177,18.9574624809383
"GSM672813",12.48819219,11.35176059,13.57313309,11.86000874,11.60009591,0.47580668480681,0.060680866881384,14.096792527092
