"","braB","hag","codY","scoC"
"braB",1,0.169994481434703,0.161259785083602,-0.187923086747301
"hag",0.169994481434703,1,-0.42959098576653,0.428671442480365
"codY",0.161259785083602,-0.42959098576653,1,-0.771111995592059
"scoC",-0.187923086747301,0.428671442480365,-0.771111995592059,1
