"","cggR","eno","gapA","pgk","pgm","tpi"
"cggR",1,0.879057387701868,0.866609210832744,0.864789402063228,0.866816098527632,0.860332587925629
"eno",0.879057387701868,1,0.945785388977041,0.982855467781514,0.97899260924402,0.980522733172655
"gapA",0.866609210832744,0.945785388977041,1,0.944236754066611,0.942769017840378,0.940169693017778
"pgk",0.864789402063228,0.982855467781514,0.944236754066611,1,0.987749162758885,0.994307873502214
"pgm",0.866816098527632,0.97899260924402,0.942769017840378,0.987749162758885,1,0.992131309861137
"tpi",0.860332587925629,0.980522733172655,0.940169693017778,0.994307873502214,0.992131309861137,1
