"","nadA","nadR","nadB","nadC","niaP","nifS"
"nadA",1,0.846074917504134,0.961950961677442,0.986854329638258,0.644101787970754,0.870367372983216
"nadR",0.846074917504134,1,0.872331076307265,0.848191465967947,0.486342959896699,0.93737649391637
"nadB",0.961950961677442,0.872331076307265,1,0.983083117182902,0.613608358369818,0.908892718614373
"nadC",0.986854329638258,0.848191465967947,0.983083117182902,1,0.646400854714423,0.88318577790757
"niaP",0.644101787970754,0.486342959896699,0.613608358369818,0.646400854714423,1,0.493320171136681
"nifS",0.870367372983216,0.93737649391637,0.908892718614373,0.88318577790757,0.493320171136681,1
