"","pucJ","pucK","pucL","pucM","pucR","tnrA"
"pucJ",1,0.987394729364665,0.984885855751641,0.981415047484513,0.921740848264946,0.446140993776194
"pucK",0.987394729364665,1,0.993360552390949,0.988358982946894,0.883003684983718,0.398031214394713
"pucL",0.984885855751641,0.993360552390949,1,0.990106098868531,0.882140961529794,0.382612151819975
"pucM",0.981415047484513,0.988358982946894,0.990106098868531,1,0.886908495245065,0.387361345819124
"pucR",0.921740848264946,0.883003684983718,0.882140961529794,0.886908495245065,1,0.497389129665625
"tnrA",0.446140993776194,0.398031214394713,0.382612151819975,0.387361345819124,0.497389129665625,1
