"","appA/1","tnrA","codY","scoC","appA/2","appB","appC","appD","appF","oppA","oppB","oppC","oppD","oppF","pval","z","inv_cof_var"
"GSM672772",13.93093309,10.73581636,13.33340483,13.27671636,13.2749487,11.32477955,11.26665725,11.07624796,11.18360929,12.46005688,10.19626394,10.39292119,11.00848364,11.02368327,0.367434128460095,0.338656841340783,9.87357510609798
"GSM672773",13.21777212,10.47503271,12.98724424,12.71507175,12.77884796,10.80887472,10.7701803,10.78529777,11.00246134,12.47610223,10.15888587,10.38045316,10.87672565,10.70047807,0.224185038813773,0.7581351521943,10.8438664508506
"GSM672774",13.46775725,10.54986357,13.14049257,13.35250967,13.20315836,11.43697807,11.37209145,11.70866914,11.79619814,12.988971,10.98274721,11.19638364,11.69219926,11.73466357,0.0159903065674941,2.14465285275679,14.051007533937
"GSM672775",13.9789632,10.44395465,13.17966803,13.48706506,13.69645948,11.8141171,11.66272138,12.06917695,12.17875688,13.15417807,10.92789907,11.1592223,11.62372862,11.70866914,0.0925797801973655,1.32503494757006,12.1551570481544
"GSM672776",14.44658587,9.963064312,13.22169145,13.10225725,14.06186803,11.96838401,11.88325576,12.1503,12.35195651,12.84362528,10.11089517,10.62021264,11.28802677,11.22608885,0.496768287400442,0.00810079077610599,9.108969007237
"GSM672778",14.60915242,10.68536877,12.85840781,13.66292007,14.21655688,12.43925799,12.52835316,12.52980595,12.81230186,13.06050818,10.76773309,10.9214461,11.26426877,11.16841784,0.40371120760124,0.243752622765787,9.65405304862507
"GSM672779",14.53674944,10.83579108,12.89065985,13.56877881,14.27893866,12.55561822,12.36369665,12.60212045,12.83257361,13.02196208,10.67870929,10.92844275,11.47313457,11.40160372,0.361233935385931,0.3551624807946,9.91175414584156
"GSM672780",14.64045799,10.42730372,12.81230186,13.44939033,14.22564647,12.35933978,12.12529108,12.4776539,12.78678773,12.98724424,10.79915911,10.96242974,11.62612305,11.32477955,0.344809750631627,0.399371485402076,10.0140135795736
"GSM672781",14.30992379,10.42834387,13.00544758,13.22730074,13.89249665,11.9427,11.82445613,12.18972751,12.23849145,12.77243197,10.48689405,10.73466766,11.38870186,11.24358141,0.333750383894663,0.429580577832607,10.0838899478143
"GSM672782",14.21655688,10.60271673,12.90826059,13.16499442,13.61745502,11.752071,11.52222045,11.96003271,12.04223755,12.51518699,10.21896468,10.35867472,11.02948476,10.92041933,0.442003827282788,0.145890723810376,9.42768960841697
"GSM672783",13.71904721,10.80762305,12.89065985,12.99596394,13.36020558,11.37569814,11.35999851,11.81549405,11.88872416,12.34786914,10.0326223,10.32256357,10.83366729,10.7701803,0.361245447325321,0.355131746227848,9.9116830540036
"GSM672784",13.49568401,10.71119851,12.96237379,13.37626729,13.24435279,11.68734461,11.7049197,12.10021896,11.91770855,12.71507175,10.45007435,10.77818476,11.24112156,11.2785487,0.0824436590392854,1.3888205717458,12.3026989769169
"GSM672785",14.10748848,10.76070037,12.92150372,13.09676506,13.65963922,11.86596059,11.9466974,12.29753643,12.33317249,12.94290967,10.79227621,11.03873829,11.35503383,11.39931487,0.149408002271236,1.03897577147647,11.4934762521058
"GSM672786",14.54011041,10.55114572,12.85683234,13.39496283,14.20445688,12.37973866,12.27727844,12.41698625,12.68280818,12.97032825,10.70654424,10.97867063,11.36612639,11.07273717,0.384312071338267,0.294175052763911,9.77068469832592
"GSM672789",13.7935658,10.47872528,13.35817584,13.08300781,13.30210743,11.43328625,11.21415576,11.45569647,11.65957844,12.6866171,10.35981673,10.41393086,11.14480149,11.02543736,0.278715425332989,0.586661825993615,10.4472331089981
