"","cccA","yobO","yvnA","abrB","ccpA"
"cccA",1,0.940439198144821,0.805739155052683,-0.541351579230523,-0.583269286522266
"yobO",0.940439198144821,1,0.803880496142834,-0.536569406549283,-0.562455130915954
"yvnA",0.805739155052683,0.803880496142834,1,-0.598470512053288,-0.699884836951003
"abrB",-0.541351579230523,-0.536569406549283,-0.598470512053288,1,0.526642883873234
"ccpA",-0.583269286522266,-0.562455130915954,-0.699884836951003,0.526642883873234,1
