"","bmr","bmrR","mta","pval","z","inv_cof_var"
"GSM672552",9.707454275,9.853855762,9.696065428,0.491722232278186,0.0207507757217954,94.4794705265196
"GSM672553",9.772573978,9.828678067,9.490528996,0.323498572855369,0.457937776546481,247.043994257999
"GSM672554",9.844852788,9.87559145,9.446366171,0.146865293602475,1.0499728681066,453.645635216697
"GSM672559",9.353508178,9.472736431,9.277469145,0.472111800748249,0.0699623814433951,111.652774341168
"GSM672560",9.462750186,9.328658364,9.166081041,0.486450281836977,0.0339706392406786,99.092787431526
"GSM672565",10.68432825,10.76898067,10.4475026,0.39607216024442,0.263527123666218,179.200786182155
"GSM672572",9.35100632,9.234037918,8.787394052,0.471314678616064,0.0719655080601175,112.351802577775
"GSM672574",9.173247955,9.276272862,9.060899257,0.455065372953986,0.112873626220384,126.62745018875
"GSM672602",9.713857993,9.694850186,8.982436989,0.0344538102171871,1.81902497138019,722.02065011719
"GSM672603",10.04722045,9.931396283,9.206534201,0.460360381014931,0.0995258530570283,121.969496837662
"GSM672605",9.930198141,9.801787361,8.958890149,0.475530166625788,0.0613752871414359,108.656148297977
"GSM672624",9.030392193,9.051007063,8.707036803,0.0633471769698696,1.52726811798051,620.206677377031
"GSM672640",8.606457249,8.697910409,8.601725651,0.446932689161078,0.133414753227137,133.795657964328
"GSM672642",9.075482156,9.008102974,8.689369888,0.384442195707368,0.293834473250985,189.777098712585
"GSM672650",8.121063569,8.074649442,8.034543309,0.323814302083884,0.457059048085586,246.737345641107
"GSM672657",8.91187026,8.859812268,8.503986617,0.329336259685503,0.441746689786655,241.393813819083
"GSM672659",9.075482156,8.93649368,8.503986617,0.494972090629442,0.012603433451194,91.6363041221047
"GSM672664",8.921110409,8.833879926,8.745098513,0.435478840297301,0.162442150124337,143.925307232106
"GSM672666",8.952978439,9.089858736,8.717047212,0.493176575211614,0.01710462351245,93.2070779937546
"GSM672667",9.050434201,8.990778439,8.922488848,0.35837637465632,0.36280206483627,213.844620718656
"GSM672668",8.917146097,8.993447584,8.954337175,0.410737362386495,0.225648617271579,165.982377865218
"GSM672670",8.950156134,9.089858736,8.748798513,0.495345322331048,0.0116678113872885,91.3098014257685
"GSM672671",9.041450186,9.048547212,8.910728996,4.44143001384719e-07,4.91489820873004,1802.38311537428
"GSM672672",9.004359108,9.060899257,8.886296654,0.345524724434799,0.397431285284395,225.929130356167
"GSM672677",9.571112639,9.503962639,9.460184387,0.372360055754363,0.325609119557887,200.865451686036
"GSM672679",9.266752045,9.154847584,9.437442007,0.466697108999685,0.0835751590864528,116.403205927327
"GSM672681",8.906881413,8.79387881,9.02275948,0.473128411507813,0.0674080974558409,110.761409503464
"GSM672683",9.176684015,9.179131599,9.145479182,8.2442745927134e-51,14.9462033611211,5302.99335788555
"GSM672684",9.091635688,9.06572974,9.162560223,0.120956258286131,1.17021982527751,495.60804424609
"GSM672685",9.132736059,9.00745,8.924918587,0.48269276417023,0.0433964238893968,102.38209004806
"GSM672689",10.48109219,10.38428922,9.843672491,0.425922438348396,0.186765016920765,152.413223344848
"GSM672705",8.847083271,8.904501115,8.671066914,0.353285539814361,0.376465203440257,218.612626697476
"GSM672707",9.25350855,9.319698513,8.778329368,0.375017192059867,0.318594026012385,198.417404503292
"GSM672708",9.310286617,9.243945353,8.700556506,0.375728897291767,0.316717729600807,197.762636022364
"GSM672709",9.381207807,9.436229368,8.745098513,0.328882708651698,0.443000438819042,241.831332829584
"GSM672715",13.05512156,12.91142379,9.376255762,0.453760975625098,0.116164777443989,127.775958534173
"GSM672725",9.526674721,9.673109665,9.396359108,0.493742308707997,0.0156863492039411,92.7121448324527
"GSM672727",9.712572491,9.757262825,9.263840892,0.263438278248859,0.63278116757841,308.058842892713
"GSM672728",10.55939517,10.52138327,9.636028996,0.191126840092983,0.873751349214684,392.149863269525
"GSM672731",9.389882528,9.52480632,9.096666171,0.486410227000067,0.0340710999482316,99.1278450612649
"GSM672732",9.513952416,9.543722677,9.557981784,0.147515449793619,1.04714892033861,452.660166194395
"GSM672736",10.07917026,10.19320037,9.51122342,0.456107643136622,0.110244733483455,125.710049242257
"GSM672739",9.49563197,9.359849442,9.095472862,0.487478835850364,0.0313910587775815,98.1925949188551
"GSM672740",10.55470335,10.39560743,9.283654275,0.493282612641187,0.016838788809931,93.1143100370116
"GSM672744",10.10964312,9.977751673,8.71819145,0.476627985391523,0.0586185054833249,107.694118137181
"GSM672748",10.23788662,10.08403457,9.442413011,0.49295615730219,0.0176572127447545,93.3999142695054
"GSM672752",9.654058736,9.681237918,8.720728996,0.116727385857669,1.19150658851643,503.036455633447
"GSM672754",9.692330112,9.84866803,8.636723792,0.498691456719418,0.00328003746713598,88.38273193175
"GSM672755",9.433663197,9.364313941,8.983071375,0.382371231729935,0.299258962882645,191.670075117601
"GSM672773",9.223396654,9.337545725,9.322251301,0.468321638106375,0.0794895084991907,114.977442272865
"GSM672791",8.909420074,8.992026022,8.828901487,0.42499791092305,0.189123757301616,153.236349609197
"GSM672792",8.944990335,9.070645725,9.021356134,0.483837031037242,0.0405256450048116,101.380278437836
