"","ftsW","pycA","tnrA","yofA"
"ftsW",1,0.886860045992882,-0.0218522012408255,0.604878820502193
"pycA",0.886860045992882,1,0.131418551013099,0.518016898548241
"tnrA",-0.0218522012408255,0.131418551013099,1,-0.144993161365423
"yofA",0.604878820502193,0.518016898548241,-0.144993161365423,1
