"","glpQ","glpT","yfkN","ccpA","phoP"
"glpQ",1,0.935398407667866,0.708820447922326,-0.170246425319914,0.418967360468348
"glpT",0.935398407667866,1,0.694073330630294,-0.0661070945643241,0.349528667980542
"yfkN",0.708820447922326,0.694073330630294,1,0.017446912855333,0.237311113686401
"ccpA",-0.170246425319914,-0.0661070945643241,0.017446912855333,1,0.113891885585473
"phoP",0.418967360468348,0.349528667980542,0.237311113686401,0.113891885585473,1
