"","birA","spx","bshA","bshB1","bshB2","bshC","cca","coaX","dapB","mgsA","msrA","msrB","tpx","trxB","yacC","yacD","yjbH","yjbI","ylaA","ylaB","ylaD","ylbQ","yojF","yoyC","ypjD","ytpP","ytpQ","ytpR","ytvA","ytxK","yugJ","yugT","pval","z","inv_cof_var"
"GSM672576",11.31335911,13.22549963,11.62122007,12.11473941,10.57917807,11.27025613,11.67967361,10.21896468,11.39588067,11.72539814,12.1967829,11.71356952,13.86138401,10.92041933,9.94911487,10.60167435,10.95058736,11.22608885,7.326832714,7.586030483,8.614675465,11.7060368,11.01674572,11.09626803,11.36968216,12.09641227,12.13114796,12.51075985,10.20057955,10.35867472,10.55939517,12.44216766,0.325425151541246,0.452581249525419,8.17901751160939
"GSM672578",11.30014833,13.95716766,11.92544981,12.08217398,10.81364758,11.32135353,11.802529,10.27670223,11.47313457,11.50417435,12.51664089,11.92414164,14.05925799,11.49352602,9.842369888,9.897079554,10.5523197,10.7172513,7.403137175,7.830516357,8.513688848,11.96296022,11.33162788,11.88511933,11.55055688,11.89799851,11.77836766,12.20520706,10.41153829,9.894642379,12.26440558,12.93473197,0.47521611517422,0.062164000639408,7.88151216669861
"GSM672581",11.34829926,14.53294684,11.48383494,11.71423216,11.10672639,11.30368922,11.64867435,10.73825836,10.89925799,11.16841784,12.33753643,12.05809554,13.6940316,11.9097197,10.33593941,9.715221933,10.46688848,10.19081859,7.305377323,7.575992937,8.263677323,11.70866914,11.36244796,11.77321896,10.78990446,11.18467807,11.44184461,11.6834855,10.66789145,9.819645353,12.43925799,12.90213346,0.443191759883708,0.142881816219843,7.94302067236331
"GSM672582",11.22378216,14.90230818,11.54228885,11.64474981,11.1493119,11.4562539,11.63990818,10.93087398,11.08792416,10.98274721,12.47610223,11.93608848,13.94393941,12.0286052,10.59934572,9.647648327,10.35275874,10.44625204,7.349563197,7.665922677,8.695480297,11.88260409,11.48022454,11.68734461,10.81124015,11.15801487,11.31913494,11.5763197,10.73466766,9.793090335,12.43176617,13.00465167,0.373180138797361,0.323442328042567,8.08061120531328
"GSM672583",11.01078959,14.27227695,11.52934052,11.50949926,11.05514201,11.12221989,11.4622,10.60575019,11.13539926,11.20930781,12.45247361,12.0542368,13.41359628,11.85276729,10.33111822,9.660145725,9.784247584,10.26231375,7.317484015,7.667759108,8.161697398,11.8646974,11.32477955,11.48142862,11.15677881,11.17657509,11.27734684,11.60389777,10.36110929,9.658863569,12.37136022,12.90673086,0.447027688298598,0.133174500817578,7.93562351400223
"GSM672584",10.97369777,14.43977026,10.93586171,10.75363569,10.49302193,10.73825836,11.2284513,10.73348922,9.804423792,10.35867472,11.79238513,11.51009108,13.11192862,12.19250186,10.49727379,8.544313755,10.15634833,10.08403457,7.218219331,7.600991078,8.439837918,11.27490967,10.59003234,10.72580242,9.51849777,10.79227621,11.01078959,11.50417435,10.53330372,9.752057249,11.9387881,12.33317249,0.343919780577888,0.401788669997558,8.14031260311864
"GSM672586",10.92505576,14.35627175,11.16389888,11.07273717,10.64325093,10.89925799,11.37077807,10.70654424,10.2305684,10.51055874,11.66706952,11.47787249,13.39100595,11.95198364,10.27181115,8.636723792,8.847083271,9.881884387,7.310779182,7.688649814,8.372318216,11.50065985,10.84973011,11.5375197,10.09368364,10.67624981,10.82198364,11.30014833,10.33848885,9.745832714,11.90186766,12.27877435,0.420939634075736,0.199490251665066,7.98615737331606
"GSM672587",10.98396803,14.23797286,10.99896283,10.68377751,10.51293717,10.65717695,11.07564796,10.59594424,10.03493197,10.21397621,11.8179803,11.41876506,13.17966803,12.13241078,10.39292119,8.719429368,10.20716784,10.57392825,7.129661338,7.780598141,8.059950186,11.39223755,10.74750632,11.07564796,9.427001859,10.7968855,10.96463569,11.4645171,10.51055874,9.723099628,11.91645465,12.44507026,0.376675677121805,0.314223422678468,8.07358622466022
"GSM672589",10.86752045,14.57775836,11.1592223,11.02368327,10.66314126,11.14367621,11.47787249,10.60167435,10.12191822,10.3979829,11.6026777,11.25685576,13.39298996,12.00980706,10.25863271,8.56395316,10.01624201,10.32005799,7.182719331,7.61607658,8.359057249,11.52343123,10.75245725,10.98499331,9.613957249,10.67147621,10.83579108,11.46098476,10.63955428,9.924944238,11.84897658,12.43780892,0.370918636313138,0.329421296991439,8.08516729299747
"GSM672590",11.20329851,14.20001078,11.00848364,11.43214164,11.1778052,11.18580558,11.42471599,10.90858253,10.61201561,10.71478104,12.30886543,12.21330186,13.30781115,12.4776539,10.79227621,9.052309665,10.68212305,10.28280446,7.190951301,7.507884387,8.962276952,11.36612639,11.5375197,11.62494535,10.27553494,11.10133104,11.48142862,11.9387881,10.90736766,10.67029442,12.22177807,12.25278848,0.269951232903852,0.612960488252794,8.30122953187811
"GSM672591",11.34212082,14.31970743,11.20453309,11.37684758,11.3224881,11.36127584,11.52692491,10.77706283,10.52397398,10.89925799,12.14955818,11.94133643,13.25773792,12.33911152,10.76898067,8.978518216,10.74097435,9.880541264,7.189788476,7.669763569,8.867563197,11.56050372,11.36849442,11.71836989,10.29119926,11.0487987,11.44242621,11.9506539,10.91700595,10.541771,12.3046145,12.40042639,0.267926216649451,0.619097039837757,8.30590570051834
"GSM672592",11.26426877,14.29703011,11.17175985,11.34097472,11.53991375,11.45388848,11.45741599,10.90681394,10.60737249,10.97694387,12.38563941,12.23579331,13.39879777,12.36369665,10.7088684,8.830134572,10.53548253,10.07193197,7.151679554,7.55949145,9.032881413,11.57506468,11.47189517,11.8387684,10.13052454,11.05744312,11.5136026,11.99124944,10.99196914,10.57679554,12.48971413,12.3463026,0.388407178207656,0.283472895165023,8.05015373974778
"GSM672593",10.6408119,14.55602639,10.71943829,11.15677881,11.1592223,11.07978216,11.05398736,10.67379851,10.33848885,10.48817732,12.40805911,11.92875929,13.66754238,12.29611413,10.588729,9.448824164,11.19147212,10.37321041,7.143272862,8.187467286,8.406797398,11.56554647,11.40767807,11.75678996,10.10077323,11.13919257,11.22437714,11.87881301,10.95765093,10.01624201,12.30054126,12.23849145,0.274597096401986,0.598968046686866,8.29056702614586
"GSM672594",10.24454498,14.69494015,10.4894658,11.00246134,10.97314981,11.02712677,10.90279405,10.80403717,9.916043494,10.22539145,12.44216766,12.02055242,13.29238922,12.21495725,10.45853197,9.352210781,11.29289665,10.82065651,7.232099628,7.819836803,8.101984201,11.54112342,11.16389888,11.79090335,9.94911487,10.89479591,11.01554164,11.68223941,10.88470892,9.698559851,12.39153123,12.12665576,0.404720507628179,0.241147221162375,8.01790077377697
"GSM672595",10.63562082,14.54011041,10.70220297,11.36127584,11.09271227,11.18360929,11.31970967,10.81497212,10.37684833,10.58518067,12.42432045,12.07040112,13.56651933,12.233029,10.84047993,9.61009368,11.25331078,10.5733777,7.214778439,8.019628996,7.993102602,11.72986729,11.22608885,11.63750186,10.09834833,11.35883048,11.49097026,11.8496145,10.49909703,9.952976208,12.51217212,12.38852714,0.383574026681333,0.296107412473157,8.059781481453
"GSM672596",11.04578699,14.55987026,10.51776357,11.02712677,10.75950632,11.13919257,11.06212491,10.38428922,10.00747918,10.14157732,12.34349182,11.77321896,13.49233792,12.28742007,10.51055874,9.265559851,11.03010335,10.94669926,7.183296468,7.679235688,8.41797881,11.62253309,11.09271227,11.73973234,9.725816729,10.73932156,11.16719814,11.38870186,10.78880818,9.99890223,12.25706059,12.27423903,0.385489212623438,0.291095311990409,8.05596216586922
"GSM672598",13.17256729,13.66754238,12.68047472,13.02025465,13.19436877,12.23849145,12.96507435,12.79327175,12.63150967,12.6482026,12.17309703,11.82445613,14.04280037,13.25572045,12.66937435,12.08812974,12.17875688,12.18422007,9.200495539,9.735805576,9.177965799,11.79090335,13.5084171,13.57540669,12.56166506,13.29444201,13.45721859,13.93848699,10.45615651,12.84223494,12.83102602,9.336265056,0.0462504164661398,1.68235081491216,9.11612523355323
