"","citZ","icd","mdh","ccpA","ccpC"
"citZ",1,0.868654121542339,0.867343059061659,0.104998394278136,0.64602352785468
"icd",0.868654121542339,1,0.920028936489276,0.418993653300765,0.695503329210234
"mdh",0.867343059061659,0.920028936489276,1,0.327458046271662,0.656310665637055
"ccpA",0.104998394278136,0.418993653300765,0.327458046271662,1,0.451207932844103
"ccpC",0.64602352785468,0.695503329210234,0.656310665637055,0.451207932844103,1
