"","nrdE","nrdF","nrdI","ymaB","nrdR","perR","resD"
"nrdE",1,0.973813157155161,0.982227725993653,0.962998002469749,0.258296570217745,-0.131840451216268,0.029821763727225
"nrdF",0.973813157155161,1,0.942906582761475,0.976251949887165,0.274470460510526,-0.00218028966923188,0.047539202156912
"nrdI",0.982227725993653,0.942906582761475,1,0.94152703246432,0.232157466519343,-0.196624497443361,-0.0221212874719285
"ymaB",0.962998002469749,0.976251949887165,0.94152703246432,1,0.262393578101801,-0.0612664132671754,-0.0224929982137274
"nrdR",0.258296570217745,0.274470460510526,0.232157466519343,0.262393578101801,1,0.247250604339236,0.261236935200698
"perR",-0.131840451216268,-0.00218028966923188,-0.196624497443361,-0.0612664132671754,0.247250604339236,1,0.342612139258919
"resD",0.029821763727225,0.047539202156912,-0.0221212874719285,-0.0224929982137274,0.261236935200698,0.342612139258919,1
