"","phrH","rapH","abrB","comK","rghR"
"phrH",1,0.999650018087969,-0.378561335798409,0.915228453293111,-0.153647195117941
"rapH",0.999650018087969,1,-0.380442668408462,0.917009756020751,-0.150967052792019
"abrB",-0.378561335798409,-0.380442668408462,1,-0.409145097234735,0.456628811756362
"comK",0.915228453293111,0.917009756020751,-0.409145097234735,1,-0.241259777381223
"rghR",-0.153647195117941,-0.150967052792019,0.456628811756362,-0.241259777381223,1
