"","yclH","yclI","yfjR","yngA","yngB","yngC","yclJ"
"yclH",1,0.890200427925203,0.224727678647536,0.105058084380148,0.301785775218806,0.24047509267911,0.113476502057487
"yclI",0.890200427925203,1,0.388165334574129,0.0234753495796568,0.21242219229152,0.184063872338041,0.0959722598180267
"yfjR",0.224727678647536,0.388165334574129,1,0.412500409077278,0.4172187083855,0.411619164362679,0.471104246683565
"yngA",0.105058084380148,0.0234753495796568,0.412500409077278,1,0.903932100806838,0.722705839817545,0.832112961444641
"yngB",0.301785775218806,0.21242219229152,0.4172187083855,0.903932100806838,1,0.797090199820612,0.872901454330358
"yngC",0.24047509267911,0.184063872338041,0.411619164362679,0.722705839817545,0.797090199820612,1,0.776692613510138
"yclJ",0.113476502057487,0.0959722598180267,0.471104246683565,0.832112961444641,0.872901454330358,0.776692613510138,1
