"","opuE","ccpA","pta","pval","z","inv_cof_var"
"GSM672620",11.27734684,10.40149368,11.05279405,0.261796579040085,0.637816468375813,70.3166237576917
"GSM672621",11.39341227,10.96915539,11.46694833,0.00192570902350602,2.89008162835134,219.820262339729
"GSM672624",12.83733197,13.05512156,13.09676506,0.259990521414827,0.643374627620853,70.685570116992
"GSM672625",12.80753569,12.96858699,13.16499442,0.362231598922117,0.35250016086744,51.3775455011347
"GSM672637",12.09641227,12.66205019,12.13645688,8.46360711482456e-10,6.02484463975977,427.903433285303
"GSM672639",12.33529182,12.81725688,12.9736632,0.49966828600815,0.000831483766871643,28.0340477033718
"GSM672645",11.97097658,12.82640149,12.49129033,0.46838794744872,0.0793227707857928,33.2442392984162
"GSM672648",10.11089517,12.21777212,10.47617472,0.429018326132609,0.178873982469687,39.8523725841766
"GSM672649",9.911007435,12.16173569,10.228229,0.399442635419945,0.254790036821093,44.8916222045234
"GSM672650",9.709953532,12.00036022,9.790525651,0.0155153022891854,2.15668002301026,171.137624749407
"GSM672651",12.26005576,11.99971729,11.6998658,0.486390750361863,0.0341199490256464,30.243710565205
"GSM672655",11.55370595,12.64033755,11.65105948,0.0171048719590189,2.1175907302542,168.542907395304
"GSM672667",11.67574201,12.39750149,11.30249071,0.407378051900005,0.234294824205881,43.5311656677274
"GSM672668",11.4657,12.3842197,11.42471599,1.61805459184574e-08,5.52815779614757,394.933740517575
"GSM672669",11.66706952,12.38852714,11.46037844,0.220515964132662,0.770451813525381,79.1208565171508
"GSM672674",9.969389963,12.13786729,10.00747918,1.19902976529686e-07,5.16549303935622,370.860331360739
"GSM672675",9.150171375,12.11942565,9.45124052,0.406459775073717,0.236661312997011,43.6882513835768
"GSM672698",11.47189517,11.08671896,11.62863903,0.125392618900778,1.14844419537565,104.211701701436
"GSM672700",11.62863903,11.03410706,11.4657,0.138220821999037,1.08834769146758,100.222541739288
"GSM672713",13.62565967,10.99658662,13.24435279,0.371015646150414,0.329164581651537,49.8285476019554
"GSM672714",13.7109197,11.06789331,13.22730074,0.431773796645592,0.171860000900371,39.3867898525362
"GSM672715",13.7109197,11.12404238,13.34303457,0.358721702791872,0.361877725966506,52.0000210995964
"GSM672758",12.10380595,12.55874387,12.42288327,0.345560708056685,0.397333677344732,54.3535600321483
"GSM672759",12.01045874,12.53577732,12.52544535,0.465722640917693,0.0860265874545695,33.6892335212012
"GSM672760",12.66502602,13.30973011,12.92828178,0.269567367522097,0.614121964276182,68.7438006992689
"GSM672768",12.08289703,12.79829665,12.28581264,0.19550357029535,0.857792339365697,84.9184538164571
"GSM672770",12.80753569,13.25872286,12.90673086,0.00964329654036726,2.33994474469375,183.302596797238
"GSM672778",11.70109888,12.54404182,11.74586245,1.24635509051745e-07,5.15824822053854,370.379425829118
"GSM672779",11.66334796,12.62842751,11.97239591,0.347086996593974,0.393196989324882,54.0789698455057
"GSM672780",12.47473234,13.39496283,12.72569926,0.258441962422867,0.648156204536587,71.0029675352738
"GSM672781",12.68201636,13.42815502,12.86961896,0.151649723663299,1.02938361114259,96.3085511884041
"GSM672782",12.35195651,13.24435279,12.75551227,0.404679299334457,0.241253563861346,43.9930814833805
"GSM672783",12.28089238,13.45721859,12.90971413,0.497909407072295,0.0052403633278554,28.326705756318
"GSM672784",12.54013457,13.7522145,12.87947621,0.353285204739865,0.376466105025514,52.968386543015
"GSM672785",12.23579331,13.15065688,12.86961896,0.49982465888307,0.000439515015551506,28.0080291174725
"GSM672791",12.89544572,12.81725688,13.15688309,0.261077081206702,0.640028359397068,70.4634473918273
"GSM672792",12.86008625,12.80470855,13.04626283,0.144392119624733,1.06079243871348,98.3934451382333
"GSM672793",12.81874535,12.86480892,13.11002677,0.299184341725605,0.526747876771191,62.9439756023325
"GSM672794",12.84362528,12.33601004,13.05860929,0.19435357917402,0.861964309215266,85.1953859839697
"GSM672800",13.18357249,12.8108052,13.25168253,0.000102400272454274,3.71302018640012,274.446294364789
"GSM672801",12.97032825,12.90971413,13.19436877,0.205378691548813,0.822561529704105,82.5798596188465
"GSM672802",13.06929071,12.74445799,13.20690632,0.0534283221481764,1.61248406710207,135.014313446759
"GSM672803",13.4450803,12.88900186,13.47612974,6.00003670711227e-19,8.81470488614568,613.09222250167
"GSM672804",13.07616431,12.92910465,13.44939033,0.368591512464257,0.335586076666729,50.2548015293207
"GSM672805",12.89381004,12.67568848,13.4345881,0.461311383780867,0.0971304903169032,34.4263020999286
"GSM672812",12.88900186,12.85079387,13.18788587,0.305759397512226,0.507906672592888,61.6933108804425
"GSM672813",12.91305019,12.92588699,13.45520892,0.461524831621647,0.0965929401236631,34.3906199292686
"GSM672814",12.95655428,13.15779442,13.54539665,0.476899444409773,0.0579369021402934,31.8246616955844
"GSM672815",12.59049108,12.58472156,13.10225725,0.454896229166648,0.11330032658242,35.4996434630729
