"","sdpI","abrB","sdpR","ycbC","ycbG","ycbD","ycbE","ycbF","ycbH","ycbJ","ycnI","ycnK","ycnJ","pval","z","inv_cof_var"
"GSM672549",10.88115093,14.13440409,11.28675688,8.212000372,10.67507658,8.09022974,7.74787026,7.665922677,9.321043123,11.03410706,11.06673011,12.31318253,11.83996506,0.244163889821189,0.692970954250737,5.90145517714175
"GSM672552",12.01173903,13.19966617,12.49575204,8.002232714,9.828678067,7.842649442,7.748886989,7.914788104,9.29452974,11.64738439,8.878179926,9.283654275,9.260887361,0.318576290129001,0.471683690402382,5.66014745347781
"GSM672553",11.69607844,13.81311004,12.03546171,8.007326394,10.03374424,7.954822677,7.529796468,7.879058736,8.875758736,11.57153606,10.62139108,10.91387193,11.14807026,0.275278218514537,0.596926525014185,5.79672134751857
"GSM672554",11.69475316,13.44091413,11.86661506,8.040285502,10.16879219,7.985909665,7.758813755,7.772373234,9.058432714,11.65592045,10.91926171,11.2520632,11.42599665,0.270115750796049,0.612462953356473,5.81366339873266
"GSM672559",11.33162788,14.3392342,11.74586245,7.957765056,11.18467807,7.909552788,7.707991078,7.233686803,8.431884758,10.96915539,10.29722862,11.1419881,10.94154387,0.317591618782132,0.474444119553726,5.66315762615229
"GSM672561",10.17371152,13.19254647,10.40272268,7.59643829,9.914948327,7.417859294,7.301054461,7.147453903,7.633748327,11.78330967,10.42480074,10.90396134,11.14142193,0.431903353854503,0.17153042696607,5.33283850902923
"GSM672569",11.37801599,14.961471,11.98584164,8.198600743,10.78529777,8.003266543,7.972064684,8.448307063,9.526674721,11.61762454,9.25350855,10.57917807,9.933688848,0.0758160074684026,1.43379064667768,6.70929883933946
"GSM672570",11.27734684,14.99403494,12.04223755,8.296347212,10.87889517,8.063550743,7.924209665,8.546823048,9.541005576,11.48022454,9.372447955,10.52138327,9.939437361,0.0546061827019828,1.60174339251109,6.8924467262777
"GSM672571",11.41400037,14.8030119,11.93752491,8.368715242,10.80522639,8.227065428,8.033117472,8.791343494,9.737092193,11.50648104,9.174298141,10.20901524,9.808316357,0.0275172422034227,1.91860387831884,7.23797444088542
"GSM672576",10.71009108,12.11264312,11.22497212,7.557595911,9.402522677,7.499842751,7.450236803,7.595456877,8.284689219,11.74700781,9.181440892,12.20841747,10.3979829,0.440764485106864,0.149031255277067,5.30830377616581
