"","ligD","spoVT","lysA","spoIVB","spoVAA","spoVAB","spoVAC","spoVAD","spoVAEA","spoVAEB","spoVAF","sspA","sspB","sspD","ykoV","ylyA","yteA","pval","z","inv_cof_var"
"GSM672680",7.665011524,10.4894658,11.2785487,9.110960595,7.713698885,7.602832714,7.751708178,7.478656877,8.317332714,7.627140892,8.792524907,11.81549405,9.242672119,7.242163569,7.834514126,7.498580855,7.309210409,0.422192830686081,0.196286839774529,6.08827316664129
"GSM672713",7.408899257,12.81230186,11.32028439,10.04980929,8.175404461,7.838514126,8.094953903,7.728157621,7.97460632,7.685833086,8.551211896,11.02024349,9.423149442,7.648112639,7.756682156,8.398508922,7.392457621,0.281798681402129,0.577506479483391,6.81483207697596
"GSM672714",7.347134758,13.36832156,11.26294796,10.56871487,8.371718216,7.772373234,8.208248327,7.668779182,7.728157621,7.365495911,8.544313755,10.81962416,9.457593309,7.591762082,8.004321933,8.236467658,7.288125651,0.330584951072758,0.438298515182451,6.54951839342691
"GSM672715",7.534707435,13.07957993,11.33044126,10.41153829,8.198600743,7.774867658,8.037214126,7.758294981,7.820356506,7.644156134,8.700556506,10.38173197,8.667276208,7.537037361,7.853407063,7.984951301,7.324245353,0.247983762601276,0.68084823542011,7.01178906912567
"GSM672728",8.705665428,10.61900669,11.37569814,7.653642379,6.978382528,7.025510037,7.455945911,7.455945911,8.135997026,6.914249814,8.503986617,11.41637175,8.074649442,8.368715242,9.306693309,8.459275093,7.133884387,0.445027788199339,0.138233884242015,5.97763119618662
"GSM672729",8.878179926,10.64203271,10.83819963,7.528486617,7.244748699,7.095920446,7.252905576,7.406658364,7.875115242,7.438816357,8.59803829,11.30602491,7.954822677,8.241036059,9.051658364,7.8041171,7.165705948,0.339311325951766,0.41434337536835,6.5038627700872
"GSM672730",8.755100372,10.41887398,11.16042491,7.525672491,7.389437732,7.028367658,7.336424164,7.328675093,8.023792937,7.426362454,8.387723048,11.32364052,8.01150855,7.814337918,8.915866543,8.223567658,7.096736803,0.3732312300537,0.323307387054578,6.33035909509027
"GSM672734",8.42054461,10.33478216,10.71597138,7.625234944,7.387064312,7.05993829,7.448477695,7.296479182,7.875115242,7.295504833,8.231637918,11.22259814,8.117831227,7.851584015,8.449340892,8.052826022,7.292366914,0.272385195790068,0.605615071904394,6.86840368282513
"GSM672735",8.411830112,10.35981673,10.4644316,7.577777323,7.224612639,7.117533829,7.183873606,7.257305576,7.851584015,7.494581413,8.188528253,11.32477955,8.110748699,8.121063569,8.399660595,7.788498141,7.265787918,0.273455380774757,0.602395715125103,6.86226797492895
"GSM672736",8.292988848,10.25133606,10.36540112,7.572286989,7.166906691,7.212406691,7.334518587,7.505216357,7.869624907,7.457263941,8.110748699,11.27734684,8.20314052,7.916786989,8.330175836,8.188528253,7.098571004,0.236364335605637,0.71804641033633,7.08268432901891
"GSM672766",8.65536171,11.48741822,12.98202045,7.911683643,7.326832714,7.796739405,7.454666543,7.876136059,8.740119703,8.007326394,8.884842007,11.18137621,7.654683271,8.112798513,8.852436803,8.246547955,7.609332714,0.488638970812655,0.0284817272926395,5.76845674856132
"GSM672777",8.295108922,10.81730223,12.07438996,7.89222119,7.241677695,7.326832714,7.347610037,7.441605204,8.077768773,7.233129368,8.303515613,10.48689405,7.124948327,7.578592565,8.257919703,7.705065799,7.687710037,0.410751410076089,0.225612497115561,6.14416435225497
