"","ascR","cymR","cysC","cysH","cysP","sat","snaB","sndB","ssuA","ssuB","ssuC","ssuD","tcyP","ydbM","yetJ","yezD","ygaN","ylnD","ylnF","yxeK","yxeM","yxeN","yxeO","yxeQ","pval","z","inv_cof_var"
"GSM672623",10.77360446,12.34492491,15.94142974,15.58944684,15.39813309,15.17188364,10.15506803,9.685733457,11.14367621,11.1649145,11.02024349,11.68967509,11.49590892,11.75931078,12.12665576,11.29171004,11.9387881,15.79347546,15.66552974,9.846188848,10.53120149,10.10210855,10.38173197,9.15257658,0.31689903468072,0.476387877604256,5.34350267621095
"GSM672660",9.627864126,12.42567472,13.89516245,12.82172268,12.82796729,12.56927323,10.90512491,11.41760669,11.23750149,11.1419881,11.21293494,11.78330967,12.38563941,11.67967361,12.89897175,11.55800706,11.00848364,13.64935428,13.59271896,10.05959888,11.48383494,11.57879851,11.82372305,10.92505576,2.47018773546892e-08,5.45344311585936,10.7483772930313
"GSM672661",10.63703123,12.37136022,14.40126208,13.22549963,13.33142937,13.28255242,11.87109368,12.158871,10.32923996,10.3481119,10.38775948,10.73348922,12.76305799,12.45247361,13.15227509,12.44963011,10.35275874,14.26634535,14.32986134,11.03873829,12.25553011,12.26005576,12.53408699,11.69346877,2.76583127537748e-05,4.03194716223651,9.20469191485924
"GSM672662",9.063291822,12.23849145,13.47612974,12.29538383,12.66205019,12.41256617,10.1323658,10.89925799,10.45256691,10.53004981,10.63562082,11.01436617,11.8141171,12.21330186,12.68201636,10.57917807,10.71174033,13.31550074,13.52354052,9.289737175,10.98619703,11.11236022,11.13182026,10.70047807,4.3991087564715e-05,3.9215472936713,9.08480225747268
"GSM672674",7.442474721,11.76822193,11.94402528,12.61667063,12.16890595,10.68654312,8.21262881,9.140726766,7.071169888,7.129661338,7.150183271,7.595947584,8.496584015,9.55144052,9.366164684,7.241677695,9.978907063,12.31318253,12.71581989,7.86312974,8.852436803,9.054672491,9.524164684,9.567028625,0.449031393154451,0.128108908336071,4.96528622683316
"GSM672675",7.545165613,12.04223755,11.95814219,12.65458104,11.80120297,10.63088401,7.898386617,9.158375465,7.083947212,7.209704089,7.303964498,7.410212639,8.448307063,9.056543123,10.75768959,7.349563197,9.651572119,12.03948625,12.92314349,7.82857658,8.546823048,8.683216729,9.243945353,9.292084387,0.463137212178784,0.0925331876926358,4.92665247649765
"GSM672713",7.895319331,12.48520074,12.30598216,11.81669368,11.2520632,11.17175985,8.889076208,9.121938662,7.387064312,7.236266543,7.653142937,8.179828996,10.08906357,11.60519591,11.86596059,7.399576208,10.94041004,12.28581264,13.10802045,8.516163569,9.765004461,9.364909294,9.534535316,8.667276208,0.310134600588059,0.495468855475824,5.36422382315934
"GSM672714",8.049933457,12.06361859,11.9588368,11.79090335,11.27025613,11.09843086,8.755100372,8.581058364,7.512286617,7.334518587,7.628566357,7.962027881,9.751458736,11.05398736,11.72854535,7.656668401,10.99430186,12.13914164,12.91651264,8.606457249,9.561814498,8.887666543,9.513952416,8.315149071,0.267109410106162,0.62157886757166,5.50117404184782
"GSM672715",8.084459108,12.37568327,12.44648699,12.10844647,11.27618439,11.35999851,8.764030483,8.895476208,7.325943494,7.141876952,7.460065056,8.165575836,10.00255502,11.4682684,11.85680372,7.718056506,10.97369777,12.36217918,13.07116617,8.779644238,9.808316357,9.389882528,9.484101859,8.604154275,0.329448511031194,0.44143650114933,5.30554693765049
"GSM672722",7.637442007,12.78829182,9.64251487,10.09368364,9.521692565,8.887666543,8.379198513,8.615913383,7.163301115,7.001856877,7.11902119,7.640334201,9.940048699,10.11346208,13.57092379,8.782315242,9.564360967,9.546230855,11.35058922,8.442299257,8.79387881,8.660651673,8.910728996,8.495996097,0.105002613185328,1.25355106746611,6.18746951944093
"GSM672723",7.549599442,11.36127584,10.24754089,11.5350052,10.51903086,9.409023792,8.571306691,8.637964684,7.188427509,7.151679554,7.127238662,7.425854461,8.948910409,10.12191822,10.87436729,7.883198141,10.3865855,10.00627323,12.90673086,8.359057249,9.136124535,8.625007063,9.021356134,8.371118216,0.132760979061577,1.11343428250062,6.03530852901642
"GSM672724",7.537504833,12.94290967,9.555390335,9.477910781,9.151350929,8.864891078,8.549405204,8.67227658,7.086840149,7.034201115,7.195415613,7.512286617,10.28401264,10.11953383,13.85627844,8.551803346,9.675759108,9.52794684,11.65469554,8.411830112,8.691702974,8.825094796,8.976527138,8.622026766,0.15458449958183,1.01696727140204,5.93054937431794
"GSM672725",7.575992937,12.2903119,9.721840149,9.930198141,9.402522677,8.9057171,8.332564684,8.6819829,7.03734461,7.155304089,7.366461338,7.992613755,9.425710781,12.42890074,12.90971413,7.932447212,9.933688848,9.767536431,12.27279517,8.49786803,8.983071375,8.726693309,9.026469888,8.556642751,0.194939574460835,0.859836549128179,5.7599119568722
"GSM672727",7.588915242,12.42432045,9.815632714,9.286335316,9.142577323,8.91457658,8.454589219,8.476170632,7.158062082,6.983714126,7.367472119,7.836457993,9.569909294,12.00036022,12.63525335,7.802120446,9.992781041,9.837497398,12.26005576,8.351857993,8.7627,8.742515613,8.950156134,8.387723048,0.162727959357338,0.983307909049722,5.89399670924039
"GSM672728",7.619773234,11.51608104,11.83474164,12.62380409,11.66334796,10.90965465,8.39470223,8.619519331,7.174337918,7.270249071,6.997829368,7.82807119,8.563282156,11.97618699,9.801787361,7.861794238,10.43927658,12.01236766,13.19629331,8.512473234,9.170989591,8.770366914,9.103892193,8.444594424,0.444773200747426,0.13887819544103,4.97698122392048
"GSM672729",7.600063197,12.26005576,11.53860669,12.07040112,11.48629777,10.29585874,8.568848327,8.508939033,7.079829368,7.03734461,7.120526022,7.501630112,8.617136803,11.80120297,9.997590706,7.605464312,10.26731784,11.50287249,13.01695428,8.332564684,8.791343494,8.757617844,8.751938662,8.197505948,0.396582395372248,0.26220319441221,5.11090703439479
"GSM672730",7.638374721,11.45127844,12.01652491,12.50635242,11.79984164,10.80641041,8.64275539,8.615913383,7.064322677,7.039841264,7.174337918,7.693285502,8.675730855,12.2903119,9.887065428,7.755745725,10.49409517,11.79238513,13.16499442,8.48225948,8.917146097,8.80799777,8.873246097,8.204912268,0.480322740187149,0.0493435920513469,4.87975037515104
