"","cysK","mccA","mccB","mtnN","yrhC","yrrT","cymR","spx"
"cysK",1,0.702607495594951,0.698280432987402,0.598647713500756,0.660145829921903,0.738074068416053,-0.510101167887741,0.297062670910298
"mccA",0.702607495594951,1,0.988663496236044,0.939702304542665,0.939822213393089,0.93658940206656,-0.380347552220838,0.307215452736513
"mccB",0.698280432987402,0.988663496236044,1,0.91941486285418,0.962944904049548,0.92448819059578,-0.416197107199057,0.327465146980751
"mtnN",0.598647713500756,0.939702304542665,0.91941486285418,1,0.877403447454247,0.855127793780631,-0.266887545346318,0.188353396867
"yrhC",0.660145829921903,0.939822213393089,0.962944904049548,0.877403447454247,1,0.904759668611487,-0.437349685974696,0.362040621568319
"yrrT",0.738074068416053,0.93658940206656,0.92448819059578,0.855127793780631,0.904759668611487,1,-0.342255731171441,0.3724928911283
"cymR",-0.510101167887741,-0.380347552220838,-0.416197107199057,-0.266887545346318,-0.437349685974696,-0.342255731171441,1,-0.34836096473267
"spx",0.297062670910298,0.307215452736513,0.327465146980751,0.188353396867,0.362040621568319,0.3724928911283,-0.34836096473267,1
