"","spo0E","yydF","yydG","yydH","yydI","yydJ","abrB","rok"
"spo0E",1,0.698749979637596,0.691350992802045,0.641040178300811,0.621840395160728,0.626518978616304,-0.208594892850389,-0.0263233798743943
"yydF",0.698749979637596,1,0.885563441511536,0.892967440441118,0.926943923746214,0.913483492441657,-0.334434133630767,-0.119257243287275
"yydG",0.691350992802045,0.885563441511536,1,0.959671174077114,0.948361749290708,0.921422915324344,-0.55807209224444,-0.001191546987172
"yydH",0.641040178300811,0.892967440441118,0.959671174077114,1,0.978678813435598,0.958756130024342,-0.520023614294491,-0.031113177100999
"yydI",0.621840395160728,0.926943923746214,0.948361749290708,0.978678813435598,1,0.977679051425873,-0.485607036815616,-0.0741874829174986
"yydJ",0.626518978616304,0.913483492441657,0.921422915324344,0.958756130024342,0.977679051425873,1,-0.466831763714327,-0.135753509122703
"abrB",-0.208594892850389,-0.334434133630767,-0.55807209224444,-0.520023614294491,-0.485607036815616,-0.466831763714327,1,0.100805275885715
"rok",-0.0263233798743943,-0.119257243287275,-0.001191546987172,-0.031113177100999,-0.0741874829174986,-0.135753509122703,0.100805275885715,1
