"","acdA","fadF","fadG","fadH","nagP","rpoE","yflG","yflH","yflI","ykzU","ccpA","fadR","nagR"
"acdA",1,0.97861540368575,0.433952991384675,0.667220387246889,0.496384727873428,-0.0122195044774462,0.173534155393192,0.466644082985958,-0.348703603086997,0.485909401893225,-0.282665955982545,0.885689582151917,-0.396155294824758
"fadF",0.97861540368575,1,0.506244894659088,0.716159186081742,0.498488150119747,-0.0720021504561349,0.216922176707659,0.474117370915897,-0.357194866398594,0.541524478112003,-0.261523599648895,0.920871914573487,-0.339100316552364
"fadG",0.433952991384675,0.506244894659088,1,0.824131864456078,0.323826542637908,-0.348229909517769,0.234117100195853,0.320031703348512,0.0457084098707969,0.975479783039105,-0.14257697756466,0.571930318214501,0.124476535315681
"fadH",0.667220387246889,0.716159186081742,0.824131864456078,1,0.381221812285736,-0.214460854621122,0.0679105411583343,0.345083990896406,-0.0410552143101478,0.829814906360821,-0.347505694952574,0.777658708326887,-0.083951539366181
"nagP",0.496384727873428,0.498488150119747,0.323826542637908,0.381221812285736,1,0.0108834046716931,0.241236245087511,0.385226300106172,-0.00156825459754293,0.336350833521073,-0.0762959166779523,0.545350403255898,0.335208239131885
"rpoE",-0.0122195044774462,-0.0720021504561349,-0.348229909517769,-0.214460854621122,0.0108834046716931,1,0.0166726338055672,0.077872158140662,0.143325225235656,-0.316297450761451,0.512159801624674,-0.243282031805157,0.0564167786742972
"yflG",0.173534155393192,0.216922176707659,0.234117100195853,0.0679105411583343,0.241236245087511,0.0166726338055672,1,0.760308611303635,0.323193148743022,0.198058369337773,0.497715208846132,0.172474623014391,0.391313463111617
"yflH",0.466644082985958,0.474117370915897,0.320031703348512,0.345083990896406,0.385226300106172,0.077872158140662,0.760308611303635,1,0.238067300490981,0.356999116387075,0.339466123046286,0.37985371563926,0.197090760817204
"yflI",-0.348703603086997,-0.357194866398594,0.0457084098707969,-0.0410552143101478,-0.00156825459754293,0.143325225235656,0.323193148743022,0.238067300490981,1,0.0457860131142397,0.424637128657057,-0.261197789228316,0.629609323537693
"ykzU",0.485909401893225,0.541524478112003,0.975479783039105,0.829814906360821,0.336350833521073,-0.316297450761451,0.198058369337773,0.356999116387075,0.0457860131142397,1,-0.131318017914443,0.589037601268761,0.0862733485205403
"ccpA",-0.282665955982545,-0.261523599648895,-0.14257697756466,-0.347505694952574,-0.0762959166779523,0.512159801624674,0.497715208846132,0.339466123046286,0.424637128657057,-0.131318017914443,1,-0.389184607080761,0.512222717814967
"fadR",0.885689582151917,0.920871914573487,0.571930318214501,0.777658708326887,0.545350403255898,-0.243282031805157,0.172474623014391,0.37985371563926,-0.261197789228316,0.589037601268761,-0.389184607080761,1,-0.257492602996709
"nagR",-0.396155294824758,-0.339100316552364,0.124476535315681,-0.083951539366181,0.335208239131885,0.0564167786742972,0.391313463111617,0.197090760817204,0.629609323537693,0.0862733485205403,0.512222717814967,-0.257492602996709,1
