"","abf2","araR","ccpA","abfA","abnA","araA","araB","araD","araE","araL","araM","araN","araP","araQ","pval","z","inv_cof_var"
"GSM672781",7.927261338,10.20527881,13.42815502,7.655596654,7.359909665,7.567879926,7.619773234,7.48490632,7.357145725,7.356145725,7.271315613,7.992124907,7.763843123,7.570931227,0.445073194674152,0.13811897534569,32.8792157420231
"GSM672782",7.779686989,10.1033316,13.24435279,7.671643494,7.095104089,7.643193309,7.420380112,7.324245353,7.245731599,7.40575539,7.377762825,7.929290335,7.669763569,7.412663011,0.493126350978847,0.0172305355478522,31.1207231705486
"GSM672783",7.701094424,10.21761561,13.45721859,7.682123792,7.139126022,7.713698885,7.59643829,7.350514126,7.384224535,7.313760595,7.311718959,8.015626766,7.696285502,7.540397398,0.49902376950441,0.00244704940497599,30.9056765490005
"GSM672785",7.957765056,10.38045316,13.15065688,7.730965428,7.169377323,7.853407063,7.614147955,7.442039963,7.450236803,7.783031041,7.499842751,7.880635874,7.498145353,7.359909665,0.477072567710774,0.0575022229009901,31.7065315668656
"GSM672787",7.644668959,10.20170595,13.28163141,7.739739777,7.098571004,7.700126394,7.484089591,7.588915242,7.491978439,7.586030483,7.348572862,8.037214126,7.793164312,7.529364684,0.458009942562978,0.105448560479826,32.4039785568573
"GSM672788",7.772822305,10.03850483,13.15597175,7.556651301,7.050248699,7.945713755,7.584669703,7.704079926,7.460065056,7.62020948,7.505216357,7.925253903,7.688649814,7.449311524,0.474786590941693,0.0632427769145618,31.7900360078684
"GSM672790",7.734865799,10.23546394,12.70008885,7.571387732,7.095104089,7.66687881,7.621493309,7.384224535,7.340946468,7.594366171,7.429003346,7.615062082,7.407572119,7.295504833,0.257446780036959,0.651236921399178,40.343238753109
"GSM672791",7.607456506,10.1576368,12.81725688,7.516815242,7.077814498,7.622386245,7.437914498,7.467078439,7.418300743,7.421697026,7.401328996,7.739739777,7.595456877,7.442474721,0.15719958133345,1.00603410891196,45.5042634107573
"GSM672792",7.527495539,10.19194089,12.80470855,7.474165056,7.085886989,7.494581413,7.393342379,7.388077695,7.237405204,7.380567286,7.248830483,7.733788104,7.612225279,7.411239405,0.209432616715521,0.808391517641892,42.62927363393
"GSM672793",7.578592565,10.32988178,12.86480892,7.515012639,7.105244981,7.581318587,7.459166171,7.47327658,7.422534201,7.373147584,7.350514126,7.687710037,7.545562825,7.460065056,0.0858713706771257,1.36662543250064,50.7495719359501
"GSM672794",7.682123792,10.3865855,12.33601004,7.414878439,7.005772862,7.673636059,7.426362454,7.322290706,7.170605948,7.47190948,7.383236059,7.770922305,7.374932714,7.274337546,0.417766124109227,0.207611597448032,33.8900837782358
"GSM672796",8.071515242,9.880541264,12.38563941,7.883198141,7.205772862,7.968440892,7.755745725,7.877147584,7.475075093,7.74390632,7.690520446,8.057889591,7.82807119,7.636548699,0.484259602537451,0.0394655677482889,31.4441630215083
"GSM672799",7.756682156,10.45730818,13.08980112,7.579540892,7.152958364,7.726288476,7.608422677,7.538505576,7.297434572,7.604155576,7.500678067,7.670738662,7.494581413,7.339055019,0.228366859877303,0.744235987650811,41.6960411172643
"GSM672800",7.646154275,10.40272268,12.8108052,7.505216357,7.086840149,7.650009665,7.583214498,7.515874349,7.32036171,7.528486617,7.379622677,7.636995353,7.484497955,7.37402119,0.157664495452507,1.00410295572958,45.476172068597
"GSM672801",7.751708178,10.27553494,12.90971413,7.532095911,7.005772862,7.72549145,7.544768401,7.547315613,7.281887361,7.514108178,7.450236803,7.705065799,7.576460967,7.418300743,0.352683455718698,0.378085726325145,36.3698700155329
"GSM672802",7.691536431,10.7218171,12.74445799,7.502536431,7.195415613,7.741947584,7.508754275,7.413545725,7.459166171,7.546432714,7.447595539,7.731850929,7.408899257,7.274337546,0.177753383070729,0.923960722145089,44.3103904383982
