"","mstX","yugO","yvgN","ywbD","sinR"
"mstX",1,0.978829967162672,0.160930317050387,-0.0160129306638648,0.224066209756805
"yugO",0.978829967162672,1,0.0761680597186742,-0.0400816791848614,0.231226108936011
"yvgN",0.160930317050387,0.0761680597186742,1,0.0490801348501674,-0.219872078121015
"ywbD",-0.0160129306638648,-0.0400816791848614,0.0490801348501674,1,-0.314871846572106
"sinR",0.224066209756805,0.231226108936011,-0.219872078121015,-0.314871846572106,1
