"","asnH","yxaM","yxbA","yxbB","yxnB","abrB","codY"
"asnH",1,0.995788519868028,0.986312514162973,0.980679356129538,0.994539735365575,-0.372943343771825,-0.481384733269356
"yxaM",0.995788519868028,1,0.984758993986781,0.978896153334721,0.993263221857296,-0.37513040122482,-0.463599926329366
"yxbA",0.986312514162973,0.984758993986781,1,0.997843578257725,0.996641819884275,-0.374355020593786,-0.503917371410835
"yxbB",0.980679356129538,0.978896153334721,0.997843578257725,1,0.993540406662623,-0.396410731604199,-0.516358130050751
"yxnB",0.994539735365575,0.993263221857296,0.996641819884275,0.993540406662623,1,-0.373404377175739,-0.496986156684742
"abrB",-0.372943343771825,-0.37513040122482,-0.374355020593786,-0.396410731604199,-0.373404377175739,1,0.174803719107781
"codY",-0.481384733269356,-0.463599926329366,-0.503917371410835,-0.516358130050751,-0.496986156684742,0.174803719107781,1
