"","glvR","malA","malP","manR","ccpA"
"glvR",1,0.903836673690233,0.899093999425257,0.587851329574331,-0.234497459505583
"malA",0.903836673690233,1,0.939422501189752,0.705128806139677,-0.180320219253335
"malP",0.899093999425257,0.939422501189752,1,0.718010470046677,-0.254244446863063
"manR",0.587851329574331,0.705128806139677,0.718010470046677,1,0.215596700014188
"ccpA",-0.234497459505583,-0.180320219253335,-0.254244446863063,0.215596700014188,1
