"","hom","thrB","thrC","codY","thrR","tnrA"
"hom",1,0.99712346134076,0.998520201894333,-0.348365731694066,-0.17070748723025,0.31794358745659
"thrB",0.99712346134076,1,0.997976653645516,-0.355111925800285,-0.169291938541771,0.308825740999318
"thrC",0.998520201894333,0.997976653645516,1,-0.368112172921862,-0.175702694052376,0.326747288922769
"codY",-0.348365731694066,-0.355111925800285,-0.368112172921862,1,0.259695552077045,-0.49988540064141
"thrR",-0.17070748723025,-0.169291938541771,-0.175702694052376,0.259695552077045,1,0.0219376774346755
"tnrA",0.31794358745659,0.308825740999318,0.326747288922769,-0.49988540064141,0.0219376774346755,1
