"","gamA","gamR","gamP","ybgB"
"gamA",1,0.95527735699944,0.993425635413673,0.915468706748423
"gamR",0.95527735699944,1,0.954344743833729,0.908760429207703
"gamP",0.993425635413673,0.954344743833729,1,0.900482552884754
"ybgB",0.915468706748423,0.908760429207703,0.900482552884754,1
