"","cotC","cotD","gerE","spoIIID"
"cotC",1,0.971327553476229,0.965064589605148,0.371979975573687
"cotD",0.971327553476229,1,0.956831507690839,0.299820126946208
"gerE",0.965064589605148,0.956831507690839,1,0.442488124138966
"spoIIID",0.371979975573687,0.299820126946208,0.442488124138966,1
