"","glpQ","phoP","ccpA","glpT","yfkN","pval","z","inv_cof_var"
"GSM672552",9.83625948,14.66175056,12.8811052,9.503962639,8.9752171,0.304512427024288,0.511465908828756,21.73562226147
"GSM672553",9.855135316,13.6081974,12.68798067,9.508453903,8.568848327,0.458764902873995,0.103545794867672,13.9900724423513
"GSM672554",10.01198383,13.30585762,12.6418026,9.623286617,8.631756506,0.474491154760422,0.0639848255287542,13.2388923744411
"GSM672555",10.15888587,13.59271896,12.39001859,9.687145353,10.39021747,0.198189557390509,0.848105686917682,28.1277075817187
"GSM672556",10.00124461,13.31737249,12.18563792,9.358621933,10.66206617,0.430377532544983,0.175413078074177,15.3546818435288
"GSM672557",10.45853197,13.70641859,12.26155651,9.978907063,10.99318253,0.324834019149212,0.454223405808128,20.6487068490086
"GSM672561",8.986883643,12.33601004,12.78510967,8.116236059,9.430920818,0.474780012894677,0.0632592986493718,13.2251161364057
"GSM672562",9.138475093,12.36067658,12.83257361,8.434796283,9.464672119,0.394137279796878,0.268551862891318,17.1231925719852
"GSM672563",9.199481413,11.83214907,12.07040112,8.348721933,9.116951673,0.357752980553997,0.364471487930765,18.9445056402717
"GSM672564",9.091635688,11.63497546,11.88133755,8.565359108,9.288671004,0.263770450445614,0.631764305810658,24.0198372219324
"GSM672608",7.89222119,12.50329219,12.83102602,7.760930855,8.717047212,0.423790718045728,0.192205246909342,15.6735300097073
"GSM672610",12.22607175,12.58323271,13.18693197,11.11582156,12.19816729,0.362331429193783,0.352233896079297,18.7121393653382
"GSM672611",12.71507175,12.48132082,12.94970781,11.18580558,12.06496617,0.424882445345857,0.189418417482022,15.6206139474002
"GSM672622",10.92375167,12.60816022,10.35578234,9.737092193,11.15429703,0.459694428014506,0.101203578556141,13.9455986532264
"GSM672623",10.62734349,12.59637175,10.33973569,9.521038104,10.27803457,0.377809320332585,0.31123938932133,17.9337394200138
