"","glpQ","phoP","ccpA","glpT","yfkN","pval","z","inv_cof_var"
"GSM672646",9.305324535,12.46816375,12.19816729,9.134895911,10.40149368,0.458841366838801,0.103353099793993,13.9864135659145
"GSM672647",9.767536431,12.51953383,12.37289182,9.781756506,10.56347119,0.298975649998263,0.527348931941985,22.0372076518228
"GSM672651",12.20520706,11.52934052,11.99971729,11.52692491,11.61259814,0.147642434599324,1.04659833708996,31.8966678708036
"GSM672652",11.94336264,11.59011673,11.98320223,11.7631513,11.56165688,0.0045388372985954,2.60911493936157,61.5655902207551
"GSM672653",11.77574349,11.57506468,11.90440112,11.41994833,11.09843086,0.126371148320254,1.14371392472835,33.7406897675466
"GSM672657",8.549405204,10.8252368,13.05331524,8.388984758,8.844527881,0.0924889087225983,1.32558312920922,37.1940055900765
"GSM672659",8.909420074,10.8880052,12.6482026,8.614675465,9.453789963,0.315873039703954,0.479270677651603,21.12430215617
"GSM672675",10.71009108,14.62074498,12.11942565,10.59240297,11.80505465,0.406773021126188,0.235853899133436,16.5023266264178
"GSM672676",10.67147621,14.69077807,12.08955204,10.3503487,11.94797546,0.479406052999005,0.0516443177234081,13.0045719407872
"GSM672683",8.937742751,10.92735539,13.0917539,8.606457249,9.964272119,0.480506248305547,0.0488830503033089,12.9521412475355
"GSM672686",8.854895539,10.85811264,13.09337732,8.558926394,9.800424907,0.458780327586629,0.103506923095873,13.9893343487033
"GSM672687",8.952978439,10.98036283,13.18166543,8.806852788,10.15888587,0.489121887746218,0.0272707635592505,12.5417691233084
"GSM672688",8.964366543,10.92844275,13.12063532,8.737856134,10.17371152,0.499727670277964,0.000682629434293918,12.0369160640598
"GSM672704",9.972934944,11.68223941,12.86877063,9.99890223,10.4644316,0.0970336956588003,1.29864032788002,36.6824181423886
"GSM672705",9.703587361,11.61880967,12.82942007,9.800424907,10.28659294,0.149004322379909,1.04071326534739,31.7849226667524
"GSM672706",9.533196654,11.49708959,13.04355372,9.625894424,9.88252026,0.0144767907002454,2.18411795835425,53.4957864118621
"GSM672707",9.036495167,11.52583048,13.00110632,9.103892193,9.447581784,0.0589785131727101,1.56340644008414,41.709772867748
"GSM672708",9.034102602,11.61139071,12.77166283,9.121938662,9.480399628,0.077980321011541,1.41878865220202,38.9637835369092
"GSM672709",8.788727138,11.55055688,12.63599665,8.70822974,9.265559851,0.177124999507349,0.926377180148596,29.6139195371672
"GSM672710",9.389882528,10.24754089,12.00570595,9.552804833,9.148971747,0.0364016787242087,1.79406147360154,46.0894295505021
"GSM672711",9.188394796,9.913620818,11.9506539,9.200495539,9.0822829,5.94025196918003e-12,6.78165728364263,140.793442670057
"GSM672712",9.085415985,9.727094424,12.04352379,9.169653903,8.913276952,0.00127829541555153,3.01656181725697,69.3021542767366
"GSM672714",9.641176952,11.82700706,11.06789331,9.230539033,8.625594052,0.377661211906006,0.311629089939758,17.9411390197179
"GSM672715",9.969389963,12.21031896,11.12404238,9.582884758,8.697910409,0.449233124513089,0.127599092899499,14.4467942656772
"GSM672716",10.05097732,11.36724349,12.56473271,10.08788327,9.933688848,1.57364202084159e-09,5.92372562711377,124.503114834746
"GSM672717",10.04722045,11.34829926,12.53577732,10.02011078,9.843672491,1.91474127416729e-05,4.11753387468712,90.2073110180302
"GSM672718",10.02391561,11.41517398,12.67265651,10.04221636,9.943906691,1.80798739673462e-21,9.44319060792106,191.330394031102
"GSM672719",8.730405576,10.80032714,11.81923755,8.267149814,9.095472862,0.319113453884378,0.470179319867097,20.9516762859732
"GSM672720",8.571306691,10.88235985,11.74086617,8.186486989,8.854895539,0.239776139277893,0.707022849099992,25.4488395594279
"GSM672721",8.632390335,10.8015829,11.96415093,8.329036803,9.037702974,0.257706051796631,0.650433717477124,24.3743303033156
"GSM672723",10.07542639,14.3392342,13.04444907,9.615347955,9.305324535,0.248111375729674,0.680444975349502,24.9441813232315
"GSM672725",9.995141264,12.58472156,12.89724424,9.625894424,8.979176952,0.365772436993287,0.343071230354667,18.5381595064955
"GSM672728",10.66550706,14.89745725,12.9836684,10.2729855,10.31892639,0.027189667454442,1.92380257216394,48.5529416650289
"GSM672729",10.20527881,14.45026283,12.81725688,9.763730112,10.0766881,0.0455783563717822,1.6893273612242,44.1007478027389
"GSM672730",10.52022342,14.97281599,12.77412974,10.07917026,10.16879219,0.04611339158865,1.68376660665472,43.9951607035112
"GSM672731",9.924944238,12.46243941,12.99944721,9.678159108,8.867563197,0.393475054111696,0.27027316549536,17.1558765084156
"GSM672732",10.09716097,14.10461152,13.12800297,9.363718587,8.903206691,0.423214707856385,0.193676216478709,15.7014606453686
"GSM672734",10.67258401,14.961471,12.75841524,10.22478587,10.21271413,0.073454824443621,1.45053405788905,39.5665623969397
"GSM672735",9.866851301,14.8357223,12.88029071,9.623286617,10.01140335,0.0223716844090167,2.00705911579405,50.1338093015685
"GSM672736",10.65031264,14.94091933,12.74293383,10.25985874,10.09014535,0.103587074214741,1.26137395228788,35.974807610699
"GSM672789",9.206534201,11.92018364,13.57092379,9.038258922,10.43927658,0.490010780721901,0.0250418765128088,12.4994472199049
"GSM672797",9.329881041,11.9588368,13.74402658,9.388072677,10.61667584,0.469954421181405,0.0753844358506437,13.4553471327254
"GSM672798",9.337545725,11.89212844,13.77875762,9.414117472,10.59240297,0.460538559903996,0.0990770173243074,13.9052197030329
