"","fruC","gutR","gutB","gutP","pval","z","inv_cof_var"
"GSM672549",11.39810297,10.35275874,9.269001115,8.721894796,0.400394178041159,0.252326953554774,6.9286442862693
"GSM672550",11.99639963,10.03007658,9.119518959,8.412957249,0.49379547742451,0.0155530587369143,5.18568668681115
"GSM672551",12.02449777,10.05336431,9.169653903,8.442299257,0.492081704529175,0.0198495267015487,5.21731416624907
"GSM672555",14.70664796,10.45615651,15.12831859,14.63204387,4.08370297947155e-12,6.83557972792315,55.3897740956432
"GSM672556",14.92148885,10.61440372,15.24909405,14.99403494,2.11330750979654e-29,11.1968140365599,87.494016360626
"GSM672557",14.961471,10.59128327,15.38340149,15.08293978,8.03789299394982e-19,8.78188468721097,69.7170588761862
"GSM672558",10.96359368,10.17371152,8.802977323,8.023792937,0.445378960782413,0.137345229015377,6.08223226631705
"GSM672559",11.13599963,9.753242379,8.809375836,7.776275836,0.483826097557603,0.0405530737034624,5.36971865581699
"GSM672560",11.12166803,10.08044907,8.990778439,8.101442751,0.446602626625639,0.134249539908913,6.05944404949179
"GSM672598",9.928841264,10.39560743,8.641617844,7.919492937,0.312207916475076,0.489601615673606,8.67528817121709
"GSM672599",10.1576368,10.18850149,8.702976208,7.937469888,0.349344552315741,0.38709064283849,7.92067677595217
"GSM672600",10.69258996,10.73825836,9.293930112,8.767733086,0.26765996112126,0.619905624978397,9.63449173304709
"GSM672601",10.46318996,10.14274461,8.866158364,8.183118216,0.353552466219456,0.375747081454724,7.83717370846255
"GSM672602",10.21761561,10.89029628,9.136124535,8.548211524,0.210936097175415,0.803177420414552,10.983605700478
"GSM672603",10.65589554,10.30466134,8.895476208,7.963007807,0.412084435026043,0.222186285297377,6.70677055803423
"GSM672604",10.55341784,10.51903086,9.082944981,8.335963569,0.332223026084474,0.433782966227794,8.26439177861473
"GSM672605",10.40210818,10.32256357,8.968894424,8.138221933,0.345018657382348,0.398804427098575,8.00690515560625
"GSM672610",12.87947621,10.28045836,12.04866431,11.29526506,0.0836325874465029,1.38104483725605,15.237446295692
"GSM672611",12.61245019,10.28045836,12.03818364,11.25813941,0.0442686124627763,1.70316483773071,17.6086599938772
"GSM672722",11.52469963,10.18469814,9.095472862,8.493020818,0.447295447623246,0.132497379957376,6.04654591937763
"GSM672724",11.37143476,10.58636245,9.457593309,8.903206691,0.362894539382987,0.350732449733746,7.6530341415172
"GSM672729",13.17966803,10.63316877,10.51293717,9.977751673,0.42072342044949,0.20004314154043,6.54376880179437
"GSM672734",13.28452677,10.77595948,9.735805576,9.461452788,0.499667473235995,0.000833521085241469,5.07733213180317
"GSM672735",13.42601599,10.5733777,10.228229,9.671730855,0.477704205345354,0.0559163940608062,5.48281227194533
"GSM672737",11.6064513,10.50936506,9.288671004,8.714569888,0.425897597412322,0.18682837978658,6.44649131501053
"GSM672738",11.64984052,10.38775948,9.219752416,8.786026394,0.428146186705659,0.181095809933374,6.40429229557151
"GSM672739",11.64227658,10.45007435,9.043852416,8.379198513,0.470368742763075,0.074342971215097,5.61845536177066
"GSM672740",12.15306543,10.68777323,9.433663197,8.822447584,0.465045787552284,0.0877296224172097,5.7169981739416
"GSM672741",11.79619814,10.47734089,8.959613011,8.830134572,0.456089458148011,0.110290594455095,5.88307567879003
"GSM672742",11.70353494,10.2696368,9.096666171,8.844527881,0.436775498247705,0.15914961843823,6.24274035896528
"GSM672743",10.45131152,9.844852788,8.545669888,8.935267286,0.285218622067003,0.56740766397054,9.24803983907841
"GSM672744",10.30923346,9.175440149,8.202060967,8.125321561,0.388075527920777,0.284338406812648,7.16428937614896
"GSM672745",10.63444684,9.181440892,8.255571375,7.797822305,0.458328589016374,0.104645413138163,5.84151995034186
"GSM672746",11.29171004,10.38428922,9.036495167,8.760095167,0.397596861481893,0.259572277342535,6.98197910244964
"GSM672747",11.28502807,10.19081859,8.813281784,8.753835688,0.414675892420883,0.215533001883638,6.65779391347531
"GSM672748",10.99780372,10.34576506,8.84164461,8.729233829,0.373381668309601,0.322910087354731,7.44822609888781
"GSM672749",10.37514052,10.48220409,8.530658364,8.225892565,0.356600835862981,0.367559562295924,7.77690313366157
"GSM672750",10.72286952,10.17751747,8.602923048,8.275239405,0.400617440880604,0.251749256341461,6.92439169858896
"GSM672751",10.03007658,10.2401855,8.528750929,7.988043866,0.327332955418637,0.44728968896113,8.36381847026903
"GSM672752",9.70606803,10.18716803,8.248254089,8.227065428,0.239040809707505,0.709391405918335,10.293221117267
"GSM672753",9.769912639,9.985954833,8.372318216,8.425394052,0.203259427310091,0.830035248879539,11.1813135443431
"GSM672754",9.443779926,9.796913383,8.179828996,8.138221933,0.188572414697368,0.883169256743372,11.5724475537202
"GSM672755",10.88470892,10.44105465,8.882200743,8.166096283,0.417331595345369,0.208724656837415,6.607675817698
"GSM672756",10.82305316,10.41699888,8.802977323,8.256154833,0.403270221877635,0.244891499484248,6.87390986891466
"GSM672757",10.82770632,10.08044907,8.80037881,8.268340892,0.40266920796924,0.246444172182963,6.88533951863081
