"","phrC","rapC","ccpA","codY","comA"
"phrC",1,0.988183288097176,-0.408157532450728,-0.480102806270574,0.0597670848324262
"rapC",0.988183288097176,1,-0.350449291618937,-0.517578420328917,-0.020578713155108
"ccpA",-0.408157532450728,-0.350449291618937,1,0.491930041566124,-0.578975422926649
"codY",-0.480102806270574,-0.517578420328917,0.491930041566124,1,-0.049934105329859
"comA",0.0597670848324262,-0.020578713155108,-0.578975422926649,-0.049934105329859,1
