"","maeA","maeN","yflS","ywkB","malR"
"maeA",1,0.951920893294348,0.965737989499236,0.971230893396962,0.334784193494886
"maeN",0.951920893294348,1,0.954703755870493,0.94042795271922,0.254744441582475
"yflS",0.965737989499236,0.954703755870493,1,0.953581663924944,0.224096147591072
"ywkB",0.971230893396962,0.94042795271922,0.953581663924944,1,0.256654797946412
"malR",0.334784193494886,0.254744441582475,0.224096147591072,0.256654797946412,1
