"","yodF","yoyD","yttA","yvgT","ywdI","ywdJ","ywdK","ywlF","ywlG","yycB","yycC","tnrA"
"yodF",1,0.931032957449401,0.430456715432622,0.44155999458733,0.33126524507693,0.144942444190048,-0.0988961999393368,0.524301213657586,0.401865358709214,0.449416310444297,0.587377662693655,0.00246545336216515
"yoyD",0.931032957449401,1,0.472932051403068,0.401976437470292,0.360633569577175,0.21422513727859,-0.0697329980176577,0.570697721720734,0.426088172327967,0.4028008848029,0.607363578878039,0.0669488000933012
"yttA",0.430456715432622,0.472932051403068,1,0.230100692840344,0.345204468225027,0.222643822566997,-0.17104836105362,0.554465097317653,0.455534948095553,0.332026241835095,0.649376015022955,0.0807525943682604
"yvgT",0.44155999458733,0.401976437470292,0.230100692840344,1,0.371527137668525,0.284024344800655,0.191091840134798,0.542665154078725,0.598772286441952,0.283555638080323,0.434286984140244,-0.0240299532909069
"ywdI",0.33126524507693,0.360633569577175,0.345204468225027,0.371527137668525,1,0.725230882642036,0.405579416409447,0.592437868213631,0.614085983081984,0.173038791639245,0.475393901917195,0.00102783766178779
"ywdJ",0.144942444190048,0.21422513727859,0.222643822566997,0.284024344800655,0.725230882642036,1,0.66083721906353,0.554584742035719,0.642096238827404,0.281332329767915,0.516360900307304,0.00967590453798307
"ywdK",-0.0988961999393368,-0.0697329980176577,-0.17104836105362,0.191091840134798,0.405579416409447,0.66083721906353,1,0.340772717159794,0.428727379747924,0.188180052988015,0.234540579613534,0.103255739676793
"ywlF",0.524301213657586,0.570697721720734,0.554465097317653,0.542665154078725,0.592437868213631,0.554584742035719,0.340772717159794,1,0.872791982355648,0.326634512739895,0.659958418546994,0.218090629227393
"ywlG",0.401865358709214,0.426088172327967,0.455534948095553,0.598772286441952,0.614085983081984,0.642096238827404,0.428727379747924,0.872791982355648,1,0.311862710123672,0.577806676992967,0.0859746500842811
"yycB",0.449416310444297,0.4028008848029,0.332026241835095,0.283555638080323,0.173038791639245,0.281332329767915,0.188180052988015,0.326634512739895,0.311862710123672,1,0.763289975983639,0.26739502640535
"yycC",0.587377662693655,0.607363578878039,0.649376015022955,0.434286984140244,0.475393901917195,0.516360900307304,0.234540579613534,0.659958418546994,0.577806676992967,0.763289975983639,1,0.207992202878951
"tnrA",0.00246545336216515,0.0669488000933012,0.0807525943682604,-0.0240299532909069,0.00102783766178779,0.00967590453798307,0.103255739676793,0.218090629227393,0.0859746500842811,0.26739502640535,0.207992202878951,1
