"","phrF","rapF","ccpA","comA"
"phrF",1,0.998384690812773,-0.255583018396143,0.444021484743917
"rapF",0.998384690812773,1,-0.25564729724346,0.452202422480436
"ccpA",-0.255583018396143,-0.25564729724346,1,0.275725305031248
"comA",0.444021484743917,0.452202422480436,0.275725305031248,1
