"","bioA","birA","bioB","bioD","bioF","bioI","bioW","yhfR","yhfS","yhfT","yhfU","ytbQ","yuiG","pval","z","inv_cof_var"
"GSM672628",14.01974312,11.39465613,13.64514461,13.62222788,14.16068439,12.06917695,14.27227695,12.06496617,12.2758855,11.90566059,11.83742714,11.98183086,13.59499257,0.294603728879143,0.539984882917517,12.9607527342672
"GSM672629",14.39951896,11.38636171,14.04813494,14.03459963,14.56330743,12.33753643,14.54790446,11.93155242,12.63150967,12.18015093,12.25859294,12.23849145,14.08209294,0.358696232285955,0.36194589222945,12.3149706955365
"GSM672633",14.21067918,11.9387881,13.75453086,13.80827249,14.51143346,12.10844647,14.49691561,12.2903119,12.80470855,12.32441041,11.99779554,12.01920743,13.55136803,0.275338449591169,0.59674611470132,13.1666367591123
"GSM672634",14.08497249,11.76959033,13.69645948,13.79092788,14.23481264,12.02602751,14.26317249,12.21777212,12.68798067,12.36217918,12.20653755,11.96003271,13.57092379,0.192308797569,0.869419730368054,14.1556769842495
"GSM672635",14.11600446,11.51009108,13.74295651,13.92297026,14.27227695,12.25553011,14.40846283,12.34786914,12.82026617,12.38563941,12.5479145,12.13388587,14.05355316,0.154744209481862,1.01629607113379,14.6884260321655
"GSM672636",14.19545279,11.79491301,13.80104535,13.88999294,14.45026283,12.41256617,14.51143346,12.25148216,12.66355688,12.2829855,12.42567472,12.13914164,14.23639275,0.238137170558079,0.71230756402878,13.5858006066321
"GSM672637",14.48566134,11.79360967,14.07896877,14.28199294,14.6242052,12.62380409,14.63629591,12.45247361,13.14322714,12.69711524,12.68047472,12.46005688,14.21381301,0.156060578398689,1.01078121308237,14.6684225696544
"GSM672638",14.54790446,11.82113197,14.06780892,14.11871338,14.61295725,12.61808885,14.52939071,12.46005688,13.14322714,12.78510967,12.78364684,12.29166617,13.9789632,0.130084854407731,1.12599010229395,15.0863076130789
"GSM672639",14.66175056,11.88390743,14.2572026,14.3837368,14.7149948,12.68047472,14.48566134,13.27106394,13.69771152,13.39100595,13.4450803,12.63887881,14.54790446,0.0224853773653086,2.00492790745296,18.2743859409747
"GSM672640",14.34949888,11.27143494,13.85909405,14.03726022,14.3837368,12.10981524,14.18383309,12.40042639,12.62237993,12.41698625,12.4661171,12.0286052,13.76194498,0.205213450946734,0.823142607069586,13.9878208595053
"GSM672641",14.30353717,11.35451468,13.87415316,14.08209294,14.46059071,12.32875093,14.47455279,12.28742007,12.82026617,12.4661171,12.61877398,12.12079071,13.9254487,0.196838805782694,0.852966987541033,14.0959996867964
"GSM672642",14.21067918,11.45005353,13.77175465,14.03459963,14.36693011,12.21330186,13.9974171,12.65605019,13.04265836,12.59049108,11.63990818,12.30886543,13.2749487,0.159323939005039,0.997240312164016,14.6193070890088
"GSM672643",14.02274981,11.63563178,13.75337268,13.83360706,14.22263903,11.95485762,13.9054052,12.74146729,12.76461152,12.49886208,12.35640037,11.88390743,13.77660149,0.117510970981967,1.18752159943769,15.3094943179579
"GSM672644",13.96540669,11.59151078,13.64726729,13.86138401,14.19217844,12.06073494,14.01974312,12.47901264,13.11002677,12.63887881,12.49886208,11.74086617,13.62222788,0.101149337365587,1.27502985592843,15.6269037801434
"GSM672645",14.55173829,12.08812974,14.10146097,14.34949888,14.71898885,12.64338773,14.58946431,12.92992751,13.72369888,13.25572045,13.34118773,12.56473271,14.43247509,0.0406539052140116,1.74314774521308,17.3248583896379
"GSM672646",13.26346171,11.00480892,13.11002677,13.1395539,13.47812268,10.97867063,13.37237472,11.57879851,11.63251747,11.11823309,10.71350892,11.29526506,13.21045353,0.483326834151518,0.0418056030860063,11.1537596158517
"GSM672647",13.3702461,10.96685353,13.29824572,13.36649851,13.6081974,11.22497212,13.68413234,11.64603123,11.71836989,11.46338662,11.11460186,11.21293494,13.21777212,0.445423481117495,0.137232576419757,11.4998918038135
"GSM672651",14.30992379,11.22259814,13.68882788,14.10748848,14.60165465,12.71507175,14.44658587,12.53408699,12.90971413,12.38927286,11.17542156,13.17256729,13.73590855,0.286583505460466,0.563393428633077,13.045660081346
"GSM672652",14.46736729,11.27025613,13.86665948,14.13691599,14.48566134,12.8108052,14.55173829,12.44805874,12.87794796,12.47327881,11.50287249,13.36438513,13.93621227,0.235928248248678,0.719461693421659,13.6117500250535
"GSM672653",14.40469851,10.67379851,13.60378104,13.94112825,14.56695242,12.43176617,14.41200297,12.43471264,12.52544535,12.02602751,10.86867993,13.05163569,13.58822193,0.432189001527906,0.170803848277309,11.6216613347413
"GSM672654",14.12791078,11.40904461,13.71644461,13.77427435,14.41536729,12.28023792,14.52399089,11.99250855,12.46749591,12.03546171,11.84758067,12.03291822,13.84114201,0.354168755793278,0.374089793986594,12.3590189885793
"GSM672655",14.42209108,11.63001524,13.91831896,14.05645093,14.7149948,12.48520074,14.64878104,12.16890595,12.59489368,12.09898662,12.1794539,12.30192082,14.37361413,0.379193576097067,0.307599432354227,12.1178455179539
"GSM672656",14.55602639,12.00166803,13.74295651,13.9254487,14.57414535,12.58894312,14.64447732,12.94794461,13.4450803,12.91305019,12.90509033,12.45543494,14.81200037,0.0972597117452275,1.29732489104065,15.7077722077429
"GSM672657",14.54790446,12.11117286,14.19545279,14.27086859,14.60551747,12.85502825,14.8030119,12.60065019,13.09676506,12.61245019,12.70008885,12.93638178,14.31970743,0.116786224208517,1.19120670391808,15.3228609084732
"GSM672658",14.72338401,11.8064539,14.3837368,14.47804424,14.78045019,13.19254647,14.75811599,12.55718141,13.12244907,12.77243197,12.36528178,13.20863941,14.32986134,0.153591674445307,1.02115005961364,14.7060323922352
"GSM672659",14.67824238,12.31169033,14.29703011,14.46059071,14.86847249,13.17256729,15.0717881,12.48356283,13.03131561,12.52980595,11.95485762,13.14508736,14.35627175,0.307070902892869,0.504170162561898,12.8308457794006
"GSM672665",13.06405353,11.66334796,13.23707546,13.34303457,13.25773792,11.39810297,13.28452677,11.38266952,11.52100074,10.93322082,10.4224948,11.42414219,12.66205019,0.4681117733935,0.080017236997484,11.2923606422629
"GSM672666",14.6741539,11.55682342,14.30992379,14.42564907,14.87297918,12.49420967,14.9261052,11.84240669,12.6938881,12.25010112,12.30192082,12.33317249,14.41869665,0.497662306034652,0.00585976332508149,11.023377065406
"GSM672667",14.46409554,11.63990818,14.10146097,14.23481264,14.62619535,12.45830409,14.55602639,11.96963309,12.65290223,12.1967829,12.16591599,12.30054126,14.06484089,0.374687410006298,0.319463823386717,12.1608799712478
"GSM672668",14.21381301,11.43945204,13.7086368,13.94912751,14.32645576,12.10308439,14.37716803,11.7049197,12.52544535,12.0542368,12.15306543,11.9662381,14.01974312,0.380138724128713,0.305116469251465,12.1088393279705
"GSM672669",14.07477788,11.29289665,13.55558736,13.80104535,14.18951673,11.86726952,14.177971,11.752071,12.28089238,11.83936673,11.99392119,11.72728216,13.76919963,0.392026660087492,0.274040731445001,11.9961215843001
"GSM672670",13.76194498,11.08792416,13.23891599,13.4593829,13.86138401,11.42984089,13.93093309,11.67314796,12.11406171,11.65957844,11.84897658,11.30249071,13.74509665,0.414480128347489,0.216035268037766,11.7857244894172
"GSM672671",13.69896357,11.02599331,13.32130186,13.56426171,13.88212491,11.45451375,14.03459963,12.03948625,11.94402528,11.71836989,11.7644632,11.46338662,13.46881803,0.3660285249111,0.342390482769151,12.2440394228941
"GSM672672",13.3794829,10.92320428,12.90826059,13.14873532,13.6246145,11.18790892,13.86138401,11.62932714,11.90566059,11.32697918,11.41400037,11.09389405,13.45520892,0.438028383679808,0.155969874351351,11.5678556268604
"GSM672683",14.76762156,12.28581264,14.44658587,14.34591822,14.85846468,13.39298996,14.96705799,13.47612974,13.61280632,13.15227509,12.87304684,13.47196803,14.57414535,0.0137613566546475,2.20402318908874,18.9965432413477
"GSM672684",14.7149948,12.20774981,14.35301933,14.28826431,14.84911041,13.18693197,15.02109257,13.49133829,13.58615465,13.0185829,12.63378309,13.46367286,14.42209108,0.032096495954174,1.85083710040529,17.7154686210083
"GSM672685",14.4894368,12.05679591,14.17215799,13.91315353,14.69077807,12.94290967,14.87297918,13.36020558,13.33519294,13.02025465,12.56473271,13.38685874,14.31970743,0.0232258206244817,1.99126609131468,18.2248318773146
"GSM672686",14.84911041,12.35341599,14.40658067,14.3837368,15.02706357,13.24606989,15.15962193,13.48236691,13.82056989,13.29238922,12.9007197,13.4302974,14.69906245,0.0285719649287193,1.90220828712138,17.9018019043039
"GSM672687",14.97813903,12.45691115,14.67824238,14.74947249,15.1469052,13.54336506,15.24909405,13.53453569,14.00590855,13.52764833,13.14322714,13.47917881,14.55987026,0.0152963080081692,2.16233172538051,18.8453201956142
"GSM672688",15.03851413,12.2903119,14.5706171,14.68241227,15.1410658,13.44091413,15.19678141,13.71904721,13.89762082,13.59734461,13.05163569,13.39298996,14.44320929,0.0154672847988907,2.15791334686022,18.8292938775718
"GSM672692",13.83360706,11.51608104,13.32523234,13.32734535,13.89762082,11.52222045,13.90030558,11.83088699,11.98850669,11.77964126,11.80381487,11.45741599,13.44308773,0.34099538541827,0.409748060266837,12.4883584540923
"GSM672693",13.84114201,11.41994833,13.33719963,13.48706506,13.93337732,11.55183606,14.06780892,11.89014201,11.85680372,11.63374164,11.65957844,11.61319387,13.38265911,0.390192530378343,0.278817269383308,12.0134470161954
"GSM672694",13.81582714,11.37077807,13.34118773,13.52764833,13.85627844,11.5350052,13.9974171,11.72986729,11.80712565,11.36244796,11.50648104,11.6998658,13.41992007,0.438802876278826,0.154005051533857,11.5607288324435
"GSM672695",14.961471,12.16890595,14.29400892,14.5973803,14.98346506,12.90509033,14.86360112,13.11002677,13.38472454,13.05679517,11.87491115,13.34303457,14.26317249,0.214439843546649,0.791110200717821,13.8716330929978
"GSM672696",15.02706357,12.0600619,14.54790446,14.73161599,15.03266691,12.59489368,15.30189331,13.06050818,13.23309777,13.02196208,12.70310595,12.73507807,15.10096468,0.331874920114175,0.434741818886821,12.5790156766185
"GSM672697",14.71898885,11.6026777,14.13691599,14.46736729,14.70303309,12.33601004,14.88755316,12.90971413,12.88276766,12.61394312,12.64338773,12.35069814,14.8357223,0.323095716105174,0.459059509577655,12.667220669305
"GSM672701",14.83115242,11.27025613,14.32986134,14.57414535,14.87297918,13.02854461,14.98346506,12.75841524,13.19629331,12.97873309,13.1633513,13.02354647,14.71080558,0.115748913037274,1.19650941662917,15.3420948785835
"GSM672702",14.86847249,11.16042491,14.30353717,14.52588253,14.91167472,13.02507807,14.85846468,12.95128178,13.26165428,13.0950171,13.36438513,13.12063532,14.73161599,0.0615495516317363,1.54189503258672,16.5948756675518
"GSM672703",14.90736059,11.23406803,14.35627175,14.61673569,14.92148885,12.86961896,15.02109257,12.79829665,13.05163569,12.84075093,13.08473941,12.92992751,14.65737807,0.180943133559954,0.911776721119142,14.3093140259785
"GSM672704",14.66569628,12.07438996,14.25115204,14.35976208,14.83115242,13.12422305,14.88755316,12.52257955,13.19793569,12.92992751,13.07957993,13.03748513,14.177971,0.0762912677528319,1.43046872607167,16.190710787087
"GSM672705",14.69077807,12.06771041,14.22414275,14.37361413,14.75366506,13.04114164,14.75811599,12.37568327,13.05860929,12.87304684,13.16149219,12.93810186,14.08764126,0.092068618101451,1.32812372721014,15.8194855753328
"GSM672706",14.66175056,12.39590892,14.10461152,14.24770112,14.76762156,12.80470855,14.69494015,12.33457361,12.81230186,12.43612565,13.03394164,12.71816097,14.20445688,0.187972808710525,0.885391310446982,14.2136090108537
"GSM672707",14.8536461,12.31733383,14.24770112,14.18104015,14.94091933,12.66787807,14.89277844,12.75841524,13.14143123,12.9007197,13.3970368,12.61107732,14.64878104,0.163697686702599,0.979373687229713,14.5545013662246
"GSM672708",14.79863755,12.57803104,14.25115204,14.3082671,14.98346506,12.76159257,14.8536461,12.90826059,13.42184944,12.77709554,13.16060167,12.73823494,14.8357223,0.150076404154799,1.03610575359662,14.7602796024313
"GSM672709",14.86847249,12.48356283,14.177971,14.28199294,14.99403494,12.65138587,14.89745725,12.60065019,12.84668736,12.43925799,13.10592714,12.59049108,14.65334089,0.289837238656079,0.553860269757439,13.0110814603908
"GSM672716",14.6242052,11.57750409,14.04552862,14.37539108,14.64447732,12.80000632,14.94091933,12.25148216,12.59782974,12.32160558,12.5312223,12.73666097,13.89762082,0.281061111069585,0.579692173545755,13.1047787984191
"GSM672717",14.6242052,11.50065985,14.05925799,14.28826431,14.49691561,12.65911338,14.76762156,12.30886543,12.52257955,12.33911152,12.39295911,12.62165204,13.68882788,0.261712428909751,0.63807500267874,13.3165446721676
"GSM672718",14.76273346,11.45741599,14.21655688,14.30992379,14.73557435,12.74905093,14.75811599,12.27279517,12.73823494,12.43780892,12.60364461,12.68201636,13.80463494,0.256517910890017,0.65411794383473,13.3747355392744
"GSM672758",14.5973803,11.64111115,14.09313569,14.15158996,14.60165465,12.74756208,14.8030119,12.81155353,12.96154498,12.87947621,12.9007197,12.60065019,14.55602639,0.113436166817508,1.20845489956772,15.3854234679889
"GSM672759",14.69906245,11.98320223,14.23481264,14.25115204,14.72779442,12.96701115,15.04970037,12.99596394,13.10047026,12.86406394,12.67413941,12.77412974,14.48566134,0.127721850207702,1.13722628743311,15.1270634414437
"GSM672760",14.33589145,11.48741822,13.84114201,14.01120595,14.63629591,12.42726766,14.7149948,12.35779405,12.60212045,12.46749591,12.53873903,12.29913829,14.31325613,0.25737755176243,0.651451456321067,13.3650636705665
"GSM672761",14.67824238,11.83996506,14.07336952,14.32280074,14.68655279,12.71507175,14.81200037,12.6938881,12.93148625,12.86639294,12.96701115,12.56328699,14.94091933,0.194634026121703,0.860945514659556,14.124939356072
"GSM672762",14.5706171,11.9097197,14.07618625,13.98436729,14.8169052,12.60967212,14.91633309,12.26860632,13.03570706,12.55718141,12.87794796,12.57565725,14.72779442,0.265968345249182,0.625052364791581,13.2693090323119
"GSM672763",14.54982138,11.85426952,14.06632491,14.18664647,14.54982138,12.69099182,14.87743532,12.48208364,12.8108052,12.50329219,12.56328699,12.58894312,14.56695242,0.236157826784905,0.718716437064319,13.609046835331
"GSM672764",14.6242052,11.94797546,14.06780892,14.12791078,14.77223197,12.60816022,14.81200037,12.45103717,12.90826059,12.56009368,12.67265651,12.52395651,14.39110335,0.234274044401006,0.72484342999973,13.6312706300955
"GSM672765",14.33589145,12.0179461,14.00869331,14.13440409,14.42564907,12.56328699,14.83115242,12.56473271,12.86961896,12.68047472,12.7318948,12.47901264,14.09176896,0.130498654290126,1.12403704992467,15.0792235123665
"GSM672766",13.63154052,12.09511747,13.12800297,13.15597175,13.53224944,11.68734461,14.02274981,12.64667732,12.81402342,12.48742621,12.13645688,11.52987026,13.46367286,0.0692543690052608,1.48136724569615,16.3753296149316
"GSM672767",13.64061375,11.62372862,13.11699257,13.26165428,13.69168178,11.76509052,14.04023532,12.02449777,12.49498086,12.07438996,12.29538383,11.5471777,13.55765056,0.13757840079764,1.09126384556952,14.9603487274533
"GSM672768",14.89277844,11.67702007,14.3392342,14.42909851,15.12307993,12.82326543,15.28264684,12.50635242,13.41777658,12.78510967,13.15779442,12.87633978,14.9261052,0.268675742647777,0.616822991430504,13.2394594949378
"GSM672769",14.60915242,11.76631543,14.31970743,14.48155167,14.8357223,12.90213346,14.91633309,12.08145093,12.93148625,12.58011896,12.50487918,12.55561822,14.48566134,0.335246629310093,0.425471136044684,12.545389107275
"GSM672770",14.8660368,11.66706952,14.19545279,14.35627175,15.04395688,12.76461152,15.08293978,12.50036468,12.95655428,12.58745911,12.7521803,12.63305613,14.94091933,0.347908058746778,0.390974455637641,12.4202629395934
"GSM672771",14.81200037,12.00166803,14.34949888,14.46736729,14.97281599,12.90826059,15.1410658,12.48520074,12.76305799,12.5479145,12.66355688,12.78364684,15.01087881,0.366321448179742,0.341612011819308,12.2412157573861
"GSM672772",14.63204387,11.7631513,14.15506134,14.10748848,14.7149948,12.66937435,14.97281599,12.55874387,12.72122491,12.65458104,12.51953383,12.76756729,15.17796914,0.321046970028091,0.46477311861798,12.6879450402999
"GSM672773",14.61295725,11.66706952,13.90805539,14.24448885,14.51807323,12.82640149,14.93051896,12.09440651,12.62092416,12.37832454,12.74146729,12.75623253,14.60551747,0.288375995753382,0.558135308679361,13.0265878578377
"GSM672774",14.62074498,11.72211413,14.06484089,14.18383309,14.92148885,12.78678773,15.12831859,12.52685316,12.66787807,12.39445725,12.5077974,12.75065836,15.10605167,0.381350978605992,0.301934549805608,12.0972978874193
"GSM672775",14.54011041,11.84372045,13.94646394,14.25402268,14.97813903,12.75065836,15.02109257,12.36528178,12.54716636,12.42288327,12.4688316,12.71507175,14.74487584,0.363666098561487,0.348676488707447,12.2668399887399
"GSM672776",14.39460335,11.78330967,13.79859108,13.71904721,14.28666152,12.33017993,14.47804424,12.34201004,12.88760223,12.48819219,12.71507175,12.36369665,14.04813494,0.123354731221477,1.15837885952432,15.2037879335152
"GSM672777",13.60618996,11.35399554,13.29824572,13.36438513,13.68413234,11.53162528,13.83099145,11.87752714,12.08541747,11.6998658,11.79619814,11.35058922,13.16499442,0.272537362793655,0.605156937192559,13.1971444477641
"GSM672780",14.93825967,11.42249628,14.18523978,14.37716803,15.06041338,12.64338773,14.98346506,12.12819442,12.60212045,12.25706059,12.39001859,12.65605019,14.9261052,0.499313769410929,0.00172012584574303,11.00836179532
"GSM672781",14.90230818,11.54940074,14.15158996,14.44320929,15.06617509,12.70778104,14.961471,12.13241078,12.57097026,12.35485911,12.5394368,12.65605019,14.97281599,0.474360107587892,0.0643139886591505,11.2354019070587
"GSM672782",14.8169052,11.55433086,14.12176357,14.34210483,14.90230818,12.72569926,15.04395688,12.16733941,12.53873903,12.36678959,12.50635242,12.53718401,14.81200037,0.445853382513068,0.13614485934268,11.4959464424694
"GSM672783",14.79444089,11.50648104,14.22852825,14.41200297,14.92148885,12.85165985,14.98346506,12.27802639,12.5327658,12.2163461,12.84591468,12.72717732,14.99403494,0.414267290192995,0.216581402510148,11.7877054253438
"GSM672784",14.99943048,11.76055242,14.55173829,14.46059071,15.07704164,13.14143123,15.15962193,12.52980595,12.53718401,12.23849145,12.78678773,13.06578587,14.96993699,0.408870198203892,0.230452208159933,11.8380175346
"GSM672785",14.75811599,11.65957844,14.16637026,14.32645576,15.12307993,13.02196208,15.1410658,12.31733383,12.37568327,12.15595799,12.58170112,12.86639294,14.8536461,0.449386490336316,0.127211529027965,11.4635435163407
"GSM672787",13.88999294,11.6998658,13.44724164,13.42184944,13.90293309,12.03685651,14.01974312,12.08684164,12.32742639,12.06224721,12.45691115,11.86596059,13.56877881,0.123631284024207,1.15702396815482,15.1988734790607
"GSM672788",13.57959368,11.9097197,13.19793569,13.26346171,13.4593829,11.63497546,13.73114758,11.47546394,12.29315279,11.78707844,11.802529,11.37077807,13.32523234,0.23604272333741,0.719090035207,13.6104019484403
"GSM672789",14.09866691,11.9466974,13.54124015,13.7086368,14.09040223,12.05809554,14.37000297,12.85502825,13.16680669,12.92503755,12.719671,11.96693457,14.11328476,0.0712985340114941,1.46618803244679,16.3202716568933
"GSM672790",14.07336952,11.90698848,13.7497,13.82848513,13.87665688,11.92544981,14.47120892,13.01695428,12.93473197,12.80753569,12.61667063,12.18154349,14.00590855,0.0733840365635032,1.45104233130104,16.2653352537711
"GSM672791",14.12791078,12.10452751,13.74743383,13.88212491,14.28199294,12.26005576,14.44658587,12.60065019,13.28644796,12.99596394,13.08807955,12.20653755,13.93337732,0.0436033244935123,1.71032035929418,17.2057870776574
"GSM672792",14.14266803,11.97911264,13.57959368,13.85627844,14.35301933,12.26860632,14.49691561,12.50036468,13.25168253,12.80310595,12.98028141,12.17742788,13.89249665,0.0669545487223385,1.49886330576639,16.4387912268979
"GSM672793",14.14860818,12.05292342,13.6106,13.73822305,14.27893866,12.13645688,14.13440409,12.57097026,13.14143123,12.68502305,12.78364684,12.16890595,13.7522145,0.0487703184495641,1.65689533894485,17.0120041404082
"GSM672794",14.25115204,11.68967509,13.77660149,13.94912751,14.05355316,11.87367249,14.69077807,12.83337732,12.66502602,12.63305613,12.5327658,12.22743866,14.00300297,0.175365590622205,0.933171976447411,14.3869187773403
"GSM672795",14.68241227,11.55055688,14.11871338,14.0958948,15.02109257,12.42726766,14.69077807,12.57407212,12.91816022,12.1154171,12.56473271,12.45103717,14.45737881,0.348268588319826,0.389999148411738,12.4167253106375
"GSM672796",14.24448885,11.57750409,13.91563829,14.10461152,14.43247509,12.27727844,14.40846283,11.39101301,12.32160558,11.99250855,11.92156208,12.14178848,13.63389182,0.457647973611186,0.106360984592261,11.3879145373048
"GSM672797",14.04552862,11.85939182,13.51044907,13.70401115,14.29121375,12.17309703,14.47120892,12.92828178,13.19629331,12.85502825,13.11699257,11.86197993,14.40126208,0.0968699439308752,1.29959478540915,15.7160055559962
"GSM672798",14.22564647,11.74823048,13.63642639,13.83859442,14.36337323,12.12215242,14.40469851,12.88597286,13.4450803,12.98028141,13.19629331,11.96554164,14.3837368,0.0929045198449853,1.32307920396613,15.8011881086242
"GSM672799",14.24448885,12.20380818,13.72369888,13.79859108,14.22263903,12.20097844,14.37716803,12.91903699,13.51256134,13.04626283,12.86008625,12.1503,14.10461152,0.0453272623551931,1.69195515358529,17.1391729054553
"GSM672800",14.27893866,12.15180074,13.66754238,13.8509658,14.38725613,12.28882454,14.32462825,12.9397052,13.48916357,13.23707546,13.29444201,12.23579331,13.9789632,0.0212508249674747,2.02857448134721,18.360156662542
"GSM672801",14.15158996,12.24009331,13.80827249,13.90030558,14.16357621,12.40042639,14.36693011,12.35933978,13.20690632,12.89381004,12.83584424,12.25424572,13.90805539,0.0474235554981253,1.67036529850074,17.0608623029377
"GSM672802",14.11871338,12.10151896,13.6722223,13.87415316,14.04280037,12.16591599,14.35301933,13.16773011,13.17595502,12.99432751,12.80000632,12.14881636,13.95716766,0.0290317373834102,1.89521839008997,17.8764481885924
"GSM672803",14.53674944,12.22607175,13.94112825,14.02859517,14.49691561,12.46166171,14.6741539,13.02672268,13.46569219,13.16060167,13.2139171,12.39445725,14.58155874,0.062572915741935,1.53352792549302,16.5645265431473
"GSM672804",14.56695242,12.00980706,14.01974312,14.15506134,14.93051896,12.62544387,14.83115242,12.91488662,13.32938104,13.08627212,13.00624349,12.49420967,14.35301933,0.10365041423345,1.26102225662906,15.5760954937208
"GSM672805",14.74487584,12.00305651,14.0958948,14.24770112,14.83115242,12.70631673,14.77594758,12.87134275,13.28071041,13.00986097,12.88760223,12.63887881,14.44320929,0.109375868816993,1.22985411979735,15.4630426008189
"GSM672806",14.68655279,11.3281881,14.16922491,14.36337323,14.90230818,12.54480855,15.13492268,12.20908513,12.73507807,12.25706059,12.33832398,12.46166171,14.17215799,0.431783424817787,0.171835507645627,11.6254033638754
"GSM672807",14.25115204,11.99510037,13.66987732,13.75453086,14.20152714,12.1503,14.38725613,13.00986097,13.56203011,13.25168253,13.28353959,11.98045539,14.15506134,0.0467992771585415,1.67671332176782,17.0838878176942
"GSM672808",13.98711561,11.95485762,13.5255539,13.46987881,14.02572788,12.16890595,14.44658587,13.09337732,13.29628699,13.05860929,12.82483383,12.10715093,14.13993457,0.0283090696056996,1.90624721416745,17.9164518780653
"GSM672809",14.12469963,11.83809777,13.53679182,13.16149219,14.06186803,11.93087695,14.13691599,12.87794796,13.23891599,13.02854461,13.24435279,11.92684275,14.19545279,0.0539605413166362,1.60760789220296,16.8332289871803
"GSM672810",14.04813494,12.17169294,13.81818216,13.91563829,14.28199294,12.4688316,14.75366506,13.62222788,13.54539665,13.3124197,13.06224758,12.39153123,14.23157435,0.0137230182575907,2.20511484668102,19.0005028957066
"GSM672811",14.15506134,11.97502342,13.6940316,13.73822305,14.22263903,12.2758855,14.30661041,13.02854461,13.46987881,13.17780409,13.27671636,12.24467361,13.96283048,0.0109721376376821,2.29133102937018,19.3132257549714
"GSM672812",14.16922491,12.07589257,13.65160669,13.92820372,14.37000297,12.29166617,14.45389294,12.85326877,13.34708364,13.11192862,13.24435279,12.10308439,14.08764126,0.0430630269303488,1.71619666253174,17.2271015721414
"GSM672813",14.61295725,12.17169294,14.02274981,14.11600446,14.66569628,12.33911152,14.8169052,12.77089368,13.61520669,13.24346487,13.18166543,12.22607175,14.39460335,0.135203691768079,1.10212488168422,14.999743817359
"GSM672814",14.68241227,12.23151078,14.16922491,14.08497249,14.78045019,12.64033755,14.88755316,13.17780409,13.72151636,13.16680669,13.42404535,12.60668736,14.78927807,0.0668803254475437,1.49943565014589,16.4408672312542
