"","bioA","birA","bioB","bioD","bioF","bioI","bioW","yhfR","yhfS","yhfT","yhfU","ytbQ","yuiG","pval","z","inv_cof_var"
"GSM672566",13.88738959,12.25932435,13.90805539,14.04813494,14.26004424,12.61107732,14.0958948,12.59205613,13.06752156,12.10308439,11.29108457,12.76934647,13.83859442,0.204583658391281,0.825359859656177,13.9958632657794
"GSM672567",14.16068439,12.26726022,13.93337732,14.10461152,14.50400372,12.6866171,14.18951673,12.69237249,13.34303457,12.76934647,11.80120297,12.70161301,14.10748848,0.103314818173516,1.26288743449423,15.5828608565198
"GSM672568",14.02859517,12.26860632,13.80827249,13.83360706,14.29400892,12.67875353,14.23639275,12.719671,13.1376223,12.43471264,11.0330539,12.65748922,13.78122565,0.222959013307088,0.762237905353601,13.7669076635226
"GSM672569",12.12665576,10.71174033,11.59898848,11.72477063,12.23151078,9.813261338,12.41256617,11.5304,11.65836766,11.29526506,11.29894126,9.675759108,13.2291658,0.443571663848115,0.141919833907647,11.5168933981546
"GSM672570",12.4661171,10.91700595,12.20097844,12.19544498,12.60967212,10.37568922,12.988971,11.86596059,11.90698848,11.44763792,11.33991747,10.32377435,13.7405171,0.388611791392464,0.282939019676292,12.0283974059783
"GSM672571",12.54327509,10.94041004,12.03818364,12.08006543,12.51518699,10.28659294,13.05163569,11.64474981,11.89274275,11.57041264,11.49590892,9.985307807,13.35817584,0.399049941720573,0.255806980642336,11.929984224604
"GSM672572",13.73590855,10.4224948,13.35817584,13.42404535,13.69645948,11.72986729,13.82056989,11.90059108,12.3683684,11.93222788,11.92018364,11.5727223,13.55136803,0.204667891776142,0.82506307201995,13.9947867593127
"GSM672573",13.9054052,10.64325093,13.56651933,13.71904721,13.9974171,11.98850669,13.94112825,11.9341974,12.54013457,12.15306543,11.98183086,11.83214907,13.33619628,0.186001409918695,0.892728059986984,14.2402208280589
"GSM672574",13.61981078,10.54389442,13.47410706,13.21045353,13.75962305,11.95744758,14.08497249,12.21330186,12.23010929,11.62737993,11.43697807,11.7631513,13.23499331,0.239495659272932,0.707925829600854,13.5699072038381
"GSM672575",11.76822193,11.30132639,11.97375353,11.53162528,12.12215242,10.08529814,12.12529108,10.66433346,10.16502825,9.768651673,9.535849814,10.8252368,11.7631513,0.454157282846572,0.115164715257674,11.4198473803049
"GSM672576",12.33017993,11.31335911,12.25706059,12.07855874,12.40349591,10.38541896,12.40504387,10.70775019,10.67870929,10.33111822,10.30341896,10.78880818,12.38563941,0.380434508046495,0.304339813381621,12.1060222461106
"GSM672624",14.55173829,12.04472491,14.06186803,14.17215799,14.64878104,12.64338773,14.73557435,12.23151078,13.13193197,12.62237993,12.60530818,12.47040149,14.3002197,0.215819196420572,0.786391105276778,13.8545160162097
"GSM672625",14.53294684,11.90698848,13.98436729,14.15506134,14.50030743,12.63002937,14.82635502,12.19544498,13.04813494,12.55874387,12.43612565,12.48742621,14.35301933,0.243205038510029,0.696029944600107,13.5267585157974
"GSM672626",14.48566134,11.94543792,13.91563829,14.03459963,14.55173829,12.36989182,14.60165465,12.28882454,13.00807138,12.5479145,12.63002937,12.34492491,14.34949888,0.219047555391855,0.775413922668121,13.8146996403858
"GSM672627",14.50400372,11.28091301,13.99347658,14.19849442,14.52588253,12.45830409,14.7149948,12.18015093,12.59922416,12.25859294,12.41567323,12.24317175,14.07618625,0.325275256680966,0.452997539375929,12.6452327246392
