"","xylA","xylB","xynB","xynP","ccpA","xylR"
"xylA",1,0.800443863255936,0.864306056968795,0.865186295108626,0.0198773859032093,0.259754343140556
"xylB",0.800443863255936,1,0.646959402821282,0.672104933253693,0.254019348064191,0.517273544713866
"xynB",0.864306056968795,0.646959402821282,1,0.963384711575542,-0.0754054833198252,0.122946115612202
"xynP",0.865186295108626,0.672104933253693,0.963384711575542,1,-0.0815602190657447,0.160400492343156
"ccpA",0.0198773859032093,0.254019348064191,-0.0754054833198252,-0.0815602190657447,1,0.273274972945469
"xylR",0.259754343140556,0.517273544713866,0.122946115612202,0.160400492343156,0.273274972945469,1
