"","degS","degU","ccpA","sinR","tnrA"
"degS",1,0.938495096880529,-0.0706173220242905,0.443326992552383,0.329002728433173
"degU",0.938495096880529,1,0.0822760664472053,0.215995349629818,0.288554336707208
"ccpA",-0.0706173220242905,0.0822760664472053,1,-0.566256024650451,-0.123101043036148
"sinR",0.443326992552383,0.215995349629818,-0.566256024650451,1,0.457014415458707
"tnrA",0.329002728433173,0.288554336707208,-0.123101043036148,0.457014415458707,1
