"","pnbA","slrR","abh","abrB","sinR"
"pnbA",1,0.936467612203847,-0.471709028158729,-0.0772560766723634,0.021460026345703
"slrR",0.936467612203847,1,-0.389501129733939,-0.112090521376587,0.0437126640666105
"abh",-0.471709028158729,-0.389501129733939,1,0.549768574033459,-0.145141099575378
"abrB",-0.0772560766723634,-0.112090521376587,0.549768574033459,1,-0.512440012045402
"sinR",0.021460026345703,0.0437126640666105,-0.145141099575378,-0.512440012045402,1
