"","nasB","nasC","nasD","nasE","nasF","fur","nsrR","resD","tnrA"
"nasB",1,0.992155566957756,0.824341838815762,0.892904974493897,0.838173708329815,0.161250107238074,-0.0858341889851187,0.366684386438075,0.74145589465966
"nasC",0.992155566957756,1,0.840267719016254,0.908774242238777,0.856773801669569,0.0878540633182052,-0.105495496448835,0.382369105650818,0.68523563016995
"nasD",0.824341838815762,0.840267719016254,1,0.920062404166192,0.851272387684069,-0.133895449906216,-0.0495801000479472,0.226825940721566,0.556770634043388
"nasE",0.892904974493897,0.908774242238777,0.920062404166192,1,0.936050721921732,-0.0846415488898269,-0.0906286022894684,0.334952463261943,0.595440558622671
"nasF",0.838173708329815,0.856773801669569,0.851272387684069,0.936050721921732,1,-0.0485148720335501,-0.0449035128945411,0.223119954676036,0.504257099248543
"fur",0.161250107238074,0.0878540633182052,-0.133895449906216,-0.0846415488898269,-0.0485148720335501,1,0.248148960048454,-0.0497760080190391,0.328448264484964
"nsrR",-0.0858341889851187,-0.105495496448835,-0.0495801000479472,-0.0906286022894684,-0.0449035128945411,0.248148960048454,1,-0.34405317520308,0.0216931890112812
"resD",0.366684386438075,0.382369105650818,0.226825940721566,0.334952463261943,0.223119954676036,-0.0497760080190391,-0.34405317520308,1,0.15415228260948
"tnrA",0.74145589465966,0.68523563016995,0.556770634043388,0.595440558622671,0.504257099248543,0.328448264484964,0.0216931890112812,0.15415228260948,1
