"","fruC","gutB","gutP","gutR"
"fruC",1,0.873931186486248,0.856485411265344,0.397484438704503
"gutB",0.873931186486248,1,0.985433705072093,0.361356169898816
"gutP",0.856485411265344,0.985433705072093,1,0.330389785782877
"gutR",0.397484438704503,0.361356169898816,0.330389785782877,1
