"","cwlO","ftsA","ftsZ","mreBH","ykpC","ykvT","ykzS","walR"
"cwlO",1,0.779078184197393,0.694818835044356,0.656705007149933,-0.0705877294329735,0.256946701778447,0.4944293068691,0.572527337691076
"ftsA",0.779078184197393,1,0.871091959627464,0.587870234594684,-0.272048641369657,0.239974798490935,0.495942763832931,0.742599715706829
"ftsZ",0.694818835044356,0.871091959627464,1,0.648141340987612,-0.102015192486891,0.0244607765713144,0.356905697389194,0.668210338461594
"mreBH",0.656705007149933,0.587870234594684,0.648141340987612,1,0.321054439681889,0.0226209459420385,0.378770732025711,0.456209261244142
"ykpC",-0.0705877294329735,-0.272048641369657,-0.102015192486891,0.321054439681889,1,-0.429050375076365,-0.444751881202545,-0.553452651006177
"ykvT",0.256946701778447,0.239974798490935,0.0244607765713144,0.0226209459420385,-0.429050375076365,1,0.667386081008793,0.485421562750126
"ykzS",0.4944293068691,0.495942763832931,0.356905697389194,0.378770732025711,-0.444751881202545,0.667386081008793,1,0.713365504241197
"walR",0.572527337691076,0.742599715706829,0.668210338461594,0.456209261244142,-0.553452651006177,0.485421562750126,0.713365504241197,1
