"","citA","citR","yhdF","pval","z","inv_cof_var"
"GSM672555",8.784646468,9.561814498,8.856034201,0.472088789875181,0.0700202026017446,174.733730874972
"GSM672561",9.993965056,10.71478104,9.924289591,0.450439024758508,0.124552229007029,202.14192944811
"GSM672566",9.729824164,9.7712,9.769912639,0.342115886751348,0.406695326408225,343.949130635537
"GSM672598",9.969389963,9.847455762,9.877958736,0.48892590659134,0.0277622014808728,153.494547914544
"GSM672608",8.913276952,10.65846506,8.840472491,0.473911832245434,0.0654400156126937,172.431695121431
"GSM672610",9.521692565,9.880541264,9.470373234,0.403995935061501,0.243017462049609,261.683429100312
"GSM672611",9.486692565,9.663977323,9.560557621,0.466070777001007,0.0851507375610254,182.338449313266
"GSM672637",9.446366171,10.06448922,9.487980669,0.358494334374842,0.362486287562953,321.729341728492
"GSM672643",9.739531599,9.789263569,9.729136803,0.00920318738259794,2.35734021501003,1324.35763508265
"GSM672645",9.844852788,9.970596283,9.899647212,0.40931142711129,0.229316597503403,254.797273553566
"GSM672656",9.796306506,10.16879219,9.821001487,0.200463479920735,0.839966874492227,561.714605509336
"GSM672657",9.198179926,9.859080669,9.139023792,0.437043595224409,0.158469071004135,219.188784327876
"GSM672674",9.369944238,8.858484387,9.292707435,0.475158790542258,0.0623079707339954,170.857506270693
"GSM672685",9.516484387,9.675759108,9.513952416,3.65233507207797e-25,10.2965329367632,5314.65443812129
"GSM672697",10.228229,9.803089219,10.31281784,0.47448381483746,0.0640032616988108,171.709572010146
"GSM672703",9.808316357,10.19320037,9.883156134,0.463136010299475,0.0925362132831724,186.050443869369
"GSM672725",9.900917844,10.88470892,9.831281413,0.451838087684832,0.121018760887902,200.365982316765
"GSM672729",9.267866914,10.1254855,9.186043866,0.484180173773015,0.039664822031144,159.476892769253
"GSM672753",9.22933197,10.19194089,9.2402171,0.0174502584644574,2.1095107751937,1199.79673121539
"GSM672754",9.300388104,10.50263755,9.293330483,0.000303054116010943,3.42886620860943,1862.91450055804
"GSM672758",9.674375465,9.928841264,9.669020446,7.76523573381039e-07,4.80428598819447,2554.21062368608
"GSM672759",9.655317472,9.793090335,9.557981784,0.499971221651613,7.21366218278915e-05,139.577317138644
"GSM672761",9.513256134,9.974054275,9.537186989,0.199802481049373,0.842326963950434,562.900803873581
"GSM672770",9.552804833,9.89214461,9.638676208,0.485326201101061,0.0367900568060465,158.032014569514
"GSM672771",9.443779926,9.861586245,9.491711524,0.390446386175376,0.278155787695134,279.344210668606
"GSM672772",9.406495911,10.01256431,9.442413011,0.322514224074091,0.460679662637832,371.082056087886
"GSM672773",9.224525279,9.972934944,9.147713011,0.476528760808159,0.0588676541343137,169.128377779891
"GSM672774",9.427001859,10.12423866,9.368698513,0.430181733959865,0.175911503343629,227.955479436662
"GSM672775",9.629740892,10.25371375,9.689711524,0.430308390661602,0.175589080807141,227.793427492381
"GSM672780",9.336265056,10.0087881,9.398832714,0.442893442627664,0.14363729957111,211.734226640866
"GSM672781",9.222212268,9.997590706,9.280481227,0.432857165830555,0.169104644628662,224.534302054905
"GSM672782",9.237713383,9.874389219,9.314887361,0.475847454048152,0.0605784855463541,169.98825426271
"GSM672783",9.130303346,9.982824907,9.132736059,4.15250833522435e-25,10.284175089329,5308.44329287802
"GSM672784",9.496931227,9.984120446,9.461452788,0.317696663642279,0.474149464678219,377.852077915427
"GSM672789",9.981542379,9.673109665,9.931396283,0.389342001627788,0.28103441563603,280.791030297788
"GSM672790",9.852501115,9.606279554,9.917216729,0.439535498544877,0.152146997405784,216.011263520382
"GSM672791",9.589195539,9.757262825,9.519147584,0.457732904501015,0.106146889269439,192.891269980868
"GSM672799",9.94911487,9.84866803,9.981542379,0.278580657110932,0.58706312176844,434.603314558416
"GSM672803",9.810822305,9.952976208,9.852501115,0.34970933658561,0.386105315702496,333.600439430638
"GSM672810",10.287729,9.843672491,10.22252528,0.434508197548426,0.164908000543656,222.42503779306
