"","citZ","ccpA","ccpC","icd","mdh","pval","z","inv_cof_var"
"GSM672552",16.16017398,12.8811052,12.00844572,16.39776617,15.94857249,0.111850634809494,1.21674495354207,71.9503588194307
"GSM672555",16.37624089,12.39001859,12.01652491,16.32825874,15.80265167,0.321327984337312,0.463988522632483,50.8115095274155
"GSM672556",16.15247212,12.18563792,11.76055242,16.30918699,15.72398736,0.293680164068477,0.542665215398338,53.0209024769542
"GSM672557",16.28248513,12.26155651,11.68161171,16.29536729,15.96520669,0.0413051713784372,1.73573703009124,86.5246551514676
"GSM672566",15.37522491,12.72717732,10.34922342,15.57326431,15.1410658,0.118349253071807,1.18327921838073,71.010576569856
"GSM672568",15.37522491,12.41861375,10.68322677,15.74199963,15.03266691,0.421194738015577,0.198837991966527,43.3655723327338
"GSM672570",16.02851524,12.74603086,11.62494535,15.93357807,15.32246357,0.452505224828957,0.119334376392041,41.1329577992803
"GSM672611",15.23706097,12.94970781,11.08918216,15.93357807,15.32246357,0.457269723248234,0.107314544294479,40.7954177812978
"GSM672616",16.39080818,12.63305613,11.38992602,15.75092528,15.87744201,0.368205590554477,0.336609649436407,47.2344656219587
"GSM672618",15.20407138,10.82065651,10.60397212,15.09480297,14.54011041,0.440543346222288,0.149591781738561,41.9826439730864
"GSM672619",15.31526691,11.08324498,10.75005539,15.28264684,14.84911041,0.233434064183593,0.727584244150531,58.2137846889269
"GSM672620",14.9261052,10.40149368,9.930198141,15.09480297,14.44320929,0.414792519337029,0.215233801469389,43.8259982180136
"GSM672627",15.53070669,12.38714758,11.30368922,15.99737658,15.18381933,0.494906623419563,0.012767548615036,38.140356182866
"GSM672634",14.84911041,12.87794796,11.11935985,15.57326431,14.92148885,0.498373923220136,0.00407598131923589,37.8962802459055
"GSM672635",14.79444089,13.06929071,11.12754535,15.55620743,14.99943048,0.491945089664587,0.0201920380233559,38.3488501342003
"GSM672636",15.52257435,12.75389331,11.45513903,15.76791375,15.20407138,0.272016405511349,0.606725929979111,54.8198506299782
"GSM672637",15.63961115,12.66205019,10.92964758,16.08663829,15.31526691,0.461644797887105,0.0962908275714093,40.4858506000978
"GSM672638",15.63961115,12.55718141,11.20118141,15.88525911,15.1469052,0.449087510103441,0.12796708626003,41.3753809063942
"GSM672639",15.73282862,12.81725688,11.52100074,16.11997138,15.86955019,0.0618050879909344,1.53979563617656,81.0222437127174
"GSM672640",16.10869665,12.60212045,11.4562539,16.13048996,15.73282862,0.114752657457581,1.20163412264356,71.5260176063576
"GSM672642",15.75092528,13.22356468,11.62737993,16.27558253,15.67325911,0.350974360857534,0.382691224728097,48.5285249421197
"GSM672643",15.71599665,13.4302974,11.77574349,16.22890372,15.78401747,0.245629915859093,0.688306432668564,57.1107881506785
"GSM672644",15.83757435,13.19163736,11.52934052,16.28856134,15.45057695,0.49955152164763,0.0011241687553905,37.8133876682227
"GSM672645",15.66552974,12.82640149,11.33658364,16.04037454,15.57326431,0.177982284115061,0.923081819534261,63.7037328491803
"GSM672646",15.94857249,12.19816729,11.88260409,15.96520669,15.61343941,0.0671778054280047,1.49714470001346,79.8245233416993
"GSM672649",16.0140948,12.16173569,11.4108697,16.24241784,15.83757435,0.0711658102940415,1.46716336348946,78.9825897117361
"GSM672650",16.25512491,12.00036022,11.47960353,16.26199628,15.62225242,0.416861232613907,0.209929797656265,43.677051583158
"GSM672651",15.79347546,11.99971729,9.799172862,16.04441561,15.75899182,0.0112722645807119,2.28106621165076,101.838548079085
"GSM672652",15.66552974,11.98320223,10.09135651,15.95731301,15.63498829,0.0353681497496437,1.80716664769035,88.5305362830169
"GSM672653",15.85358848,11.90440112,10.287729,16.05140074,15.95731301,5.50258209239752e-06,4.39641852621732,161.241712158474
"GSM672654",16.24241784,12.34420836,11.43100372,16.17336691,15.64881152,0.340141745426779,0.412076311410112,49.3537147290117
"GSM672655",16.340529,12.64033755,11.39223755,16.22890372,15.72398736,0.344742648681767,0.399553654763089,49.0020544299729
"GSM672656",16.13048996,12.94628513,11.69346877,16.18018922,15.77650855,0.106081823429774,1.24763802446409,72.8178957059624
