"","gmuA","abrB","ccpA","gmuR","gmuB","gmuC","gmuD","gmuE","gmuF","gmuG","gntK","gntR","gntP","gntZ","pval","z","inv_cof_var"
"GSM672675",11.17175985,11.51009108,12.11942565,11.53286245,12.19107955,10.91817807,11.24473197,11.40038773,11.60389777,11.67574201,9.972934944,9.480399628,10.36471933,10.54625725,0.108985364131563,1.23194206031617,14.0501341449682
"GSM672676",11.00363941,12.08006543,12.08955204,11.34937286,12.14299442,10.72005613,11.20453309,11.21533234,11.48629777,11.69219926,9.534535316,9.361120818,9.94515539,10.2294197,0.211792302745976,0.800217822490696,12.3290854004941
"GSM672677",10.27181115,12.06496617,12.10021896,10.88007955,11.49708959,10.25371375,10.49409517,10.74325149,10.91210632,11.07137844,9.582884758,8.968894424,9.813261338,10.32988178,0.0749883751436645,1.43961359808936,14.8780071435929
"GSM672678",9.766249071,11.94797546,12.10981524,10.48689405,10.93447918,9.711916171,9.987783271,10.29119926,10.60108401,10.72760855,9.572453532,9.168436059,9.688352416,9.995141264,0.0071015276010788,2.45208640560763,18.9141832521436
"GSM672679",9.035899628,11.42414219,11.92684275,9.799172862,10.14157732,8.937742751,9.224525279,9.648879926,9.911007435,10.02011078,9.158375465,8.771788476,9.269001115,9.796913383,0.00219730283944058,2.84835367561076,20.4938844311882
"GSM672680",8.735318587,10.71597138,11.79491301,9.775937732,9.55144052,8.53189368,8.782875465,9.42635632,9.680681413,9.815632714,8.962276952,8.452681784,9.144256877,9.816794796,0.0146715294470132,2.17884669335532,17.824925752771
"GSM672681",8.327762825,10.00124461,11.68854647,9.581556877,9.162560223,8.288367658,8.508939033,9.257236803,9.487980669,9.660777695,8.71819145,8.470127138,8.788727138,9.8126329,0.0368193838982412,1.78885129258118,16.2702270908805
"GSM672682",7.813247212,9.141365056,11.52813271,9.423149442,8.529390335,7.687710037,8.052826022,9.134895911,9.092923048,9.246527881,8.674690335,8.387723048,8.441049442,9.602318959,0.125157220207112,1.14958596768329,13.7218253834784
"GSM672689",10.57109665,14.29121375,11.81046245,11.43214164,11.6998658,9.799172862,9.912310037,9.713857993,9.627257249,10.19692082,10.95765093,11.29045911,10.8015829,11.92544981,0.159349643170066,0.997134381700133,13.1140841735548
"GSM672690",10.74750632,14.09313569,11.61025167,11.31729275,11.71712751,9.952976208,10.07311375,9.84866803,9.723099628,10.24398885,11.04578699,11.35058922,11.12404238,12.13914164,0.135880354373003,1.09901686725583,13.5202339990376
"GSM672691",11.3224881,13.9254487,11.6064513,11.545929,11.97753792,10.67379851,10.78641524,10.42367732,9.952976208,10.28526989,11.38389442,11.47432714,11.47546394,12.20450762,0.0422957553177053,1.7246447662611,16.0142707376611
"GSM672699",7.676433829,11.20930781,10.56404164,8.56752974,8.209294052,7.632760595,7.774867658,8.097211524,8.040285502,7.996134572,9.202943866,9.628471004,9.161527881,10.5523197,0.472649482553358,0.0686113739432772,9.41257006639176
"GSM672700",7.612225279,11.29765019,11.03410706,8.545669888,7.939507435,7.587933086,7.722443123,8.029918216,8.005370632,7.971537918,9.343478439,9.61009368,9.1897829,10.38541896,0.487981152197825,0.0301313424718234,9.25917119727837
"GSM672722",11.35999851,14.18664647,13.25369033,11.67069814,12.24615948,10.92615725,11.55992045,11.19638364,11.38636171,11.36127584,10.79103494,10.16879219,11.27143494,13.77875762,0.166538137299633,0.967936118359511,12.9976866446222
"GSM672723",10.13296468,13.38685874,13.04444907,10.65467323,11.13356654,9.795699628,10.160029,9.646335316,9.639908922,9.765004461,11.98454572,11.64867435,11.98320223,12.52395651,0.394424888217543,0.267804539334449,10.2066444249013
"GSM672724",11.7195487,14.20445688,13.61520669,11.96693457,12.21173457,11.60389777,11.87881301,11.61633606,11.62737993,11.59011673,12.8811052,12.19956989,13.18883978,14.24770112,0.0742744860998846,1.44467579374222,14.8981873528777
"GSM672726",10.23660632,13.61981078,12.84514201,11.00122007,10.75825539,10.28171859,10.69834424,10.61667584,10.78417695,10.80032714,9.615347955,9.107285874,9.847455762,13.28071041,0.378262900447305,0.310046229979639,10.3750389746619
"GSM672728",10.56871487,11.62612305,12.9836684,11.2654855,10.99658662,10.05704498,10.93698327,10.91574907,11.36849442,11.34575651,10.07917026,9.877958736,10.10077323,11.12529665,0.00549054924329785,2.54329973586106,19.2778009825325
"GSM672729",9.906015985,11.3084513,12.81725688,10.74155985,10.54045279,10.04221636,10.41091691,10.287729,10.45256691,10.56632751,9.857714498,9.52794684,10.09491599,10.5378948,7.2897170986983e-07,4.81691556877313,28.3414655438709
"GSM672730",11.28217807,11.11351933,12.77412974,12.03426766,11.95349405,11.24052305,11.89151413,11.7543855,12.01517881,12.21777212,10.03721264,9.808316357,10.21761561,10.77595948,0.159944873007814,0.994684478128053,13.1043177460592
"GSM672732",10.02264535,13.78374796,13.12800297,10.54232138,10.78186134,9.677058364,9.972934944,9.629740892,9.398832714,9.507092565,11.94336264,11.47787249,12.05938885,12.28434275,0.428326122325564,0.180637340317761,9.8591564099068
"GSM672734",10.47985502,11.35999851,12.75841524,11.09961338,11.22723903,10.31892639,10.98965576,10.79461747,11.00246134,10.95294498,10.2729855,9.843672491,10.53004981,11.09271227,2.53730910257139e-05,4.05216349377378,25.2928167000142
"GSM672735",10.29977138,11.24960967,12.88029071,10.69497435,11.18580558,10.23119554,10.64203271,10.3481119,10.38305279,10.4894658,10.19320037,9.773924535,10.28401264,10.80522639,2.2405499834852e-07,5.04729464784068,29.259861107621
"GSM672736",11.62122007,11.37209145,12.74293383,12.33387305,12.49129033,11.68854647,12.27143792,12.12665576,12.35640037,12.41256617,10.3481119,10.08658401,10.52138327,11.08451636,0.157623497557448,1.00427310158751,13.1425423508422
"GSM672737",11.32364052,14.04813494,13.32734535,11.50178625,11.92414164,11.19761078,11.4657,11.15739684,11.19638364,11.32936877,12.08414498,11.39931487,12.14881636,13.91439591,0.0650122639302871,1.51400517150457,15.1745657168863
"GSM672738",11.13121933,13.78374796,13.34708364,11.29645688,11.74086617,10.98844647,11.24703346,10.95534349,11.06212491,11.05514201,11.22958513,11.02024349,11.68483494,13.47612974,0.0362026650695405,1.7965610652836,16.3009617438536
"GSM672739",10.15257063,13.40092937,13.08980112,10.72286952,10.81242528,9.934946097,10.52767361,10.31040186,10.55341784,10.35812435,10.07311375,9.779072862,10.04472379,13.34118773,0.294272346016828,0.540946161679222,11.2955108933856
"GSM672740",10.68536877,15.03851413,12.59922416,11.60389777,11.44062416,10.58764238,10.90965465,11.04578699,10.9214461,10.96685353,12.24009331,12.31870483,12.07438996,12.86715762,0.0576893462898155,1.57447060282056,15.4156083675714
"GSM672741",10.18109182,14.8169052,12.6322829,11.2654855,10.77255948,10.08286914,10.29473086,10.73581636,10.62139108,10.51293717,11.72791375,11.72791375,11.52583048,12.78984721,0.126270672232193,1.14419845319329,13.700348305667
"GSM672742",9.596961338,14.34210483,12.88436691,10.90396134,10.2305684,9.421905204,9.662597398,10.18783476,9.798108922,9.893404089,11.39870892,11.38209033,11.29894126,12.75695279,0.36970191539325,0.332642933679321,10.4651196908327
