"","comFA","comK","degU","scoC","comFB","comFC","csrA","flgK","flgL","flgM","fliW","yviE","yvyF","yvyG","pval","z","inv_cof_var"
"GSM672755",9.150171375,10.03007658,13.40275985,10.65251152,11.7080197,11.38512714,11.17010335,13.17256729,13.2904829,13.3970368,11.3353487,11.27143494,13.26519851,13.01151115,0.371953033984216,0.326685103932497,8.99000124227875
"GSM672756",9.058432714,10.60271673,13.30585762,10.69380223,11.57041264,11.30132639,10.80641041,12.95315316,13.05679517,13.24435279,11.00363941,10.87436729,13.1633513,12.94970781,0.437490139993963,0.157335707740446,8.69503346984272
"GSM672757",9.102701487,10.5378948,13.53887881,10.66314126,11.50417435,11.28562714,10.92041933,12.91651264,12.94970781,12.92992751,11.13001301,10.8370197,12.76756729,12.66205019,0.268062153237441,0.618684373278979,9.49859693832957
"GSM672763",11.37447026,12.22466394,13.07957993,13.42184944,12.25706059,11.97375353,11.09389405,14.34949888,14.47455279,14.5931777,11.40038773,11.76959033,14.32280074,14.16068439,0.413732189759935,0.217954735316002,8.8006179002172
"GSM672764",11.79238513,12.23579331,13.19436877,13.38162063,12.58472156,12.31592825,11.11582156,14.30661041,14.51807323,14.54011041,11.34454126,11.71235911,14.35301933,14.14860818,0.312091765888474,0.489929861003379,9.27433613474246
"GSM672765",12.00707993,12.07855874,13.34507323,13.25168253,12.91488662,12.42432045,11.15801487,14.41200297,14.65334089,14.64878104,11.30132639,11.95349405,14.36693011,14.23481264,0.287843604899719,0.559695415700072,9.3958517156915
"GSM672766",12.17875688,12.29098903,13.41992007,13.04444907,12.80153755,12.52685316,11.25331078,14.55173829,14.72779442,14.78927807,11.23750149,12.11942565,14.58543234,14.35301933,0.319658119687471,0.468655024922389,9.23728025412606
"GSM672767",13.6106,13.98971487,13.23707546,13.21045353,14.10748848,13.71774591,11.26294796,14.47629851,14.66569628,14.86360112,11.4102803,11.79619814,14.8169052,14.45026283,0.228030794716911,0.745347638064582,9.71921526885444
"GSM672777",14.49293792,14.31325613,13.44724164,12.44805874,14.6741539,14.63629591,11.45127844,14.97813903,14.98879926,15.27586766,11.70866914,12.36217918,15.02706357,14.86847249,0.228387378401856,0.744168145411065,9.71716086341553
"GSM672782",11.43945204,12.74830651,13.20139963,13.16499442,12.51368253,12.09768922,11.5136026,14.79863755,15.01087881,15.08894944,11.70866914,12.18563792,14.74487584,14.64878104,0.499452487410125,0.00137241096932268,8.4233812096942
"GSM672783",11.85551673,12.76600149,13.18357249,12.99596394,12.74445799,12.41861375,11.90698848,14.77223197,15.31526691,14.97813903,12.00166803,12.33152714,14.55173829,14.78045019,0.286132733808342,0.564718178518043,9.40460021549844
"GSM672784",12.68502305,13.65388439,13.02354647,13.37626729,12.8811052,12.96507435,11.88011524,14.40469851,15.44358327,15.39060186,11.95485762,12.27877435,13.94112825,15.00514164,0.188597526987113,0.883076289351465,9.95910696250204
