"","csgA","spoVT","gdh","gerAA","gerAB","gerAC","gerKA","gerKB","gerKC","glcU","gpr","spoIIP","tepA","ybxH","ykoS","ykoT","ylzJ","yqjB","yqjC","pval","z","inv_cof_var"
"GSM672634",7.933356506,11.24473197,7.337226766,7.321295167,7.656668401,7.59084052,7.588915242,7.986987732,7.830516357,7.042702602,7.759936803,7.761926022,8.543721933,7.436165428,7.675475093,7.661662082,8.213257249,7.979769517,7.834514126,0.232820198207027,0.729590719885647,22.4232516494525
"GSM672635",7.61314684,11.24592528,7.298382528,7.316581784,7.666400743,7.541188476,7.547315613,8.032024535,7.756682156,6.965320818,7.626144981,7.74787026,8.485317286,7.383236059,7.602832714,7.704079926,8.117831227,7.846815613,7.610263941,0.216582895787994,0.783785826915312,22.7493165896138
"GSM672636",7.980865428,11.14807026,7.372210409,7.708865056,7.863671004,7.765909294,7.309753903,7.70978513,7.519544981,7.075526766,7.641281413,7.55006171,8.383890706,7.539566543,7.461993309,7.502536431,7.761926022,7.649154647,7.861327881,0.0739537231085454,1.44696243027448,26.7393195869746
"GSM672637",8.294601301,11.27385204,7.322290706,7.332467658,7.582311152,7.508754275,7.549137175,7.915737175,7.786410409,7.025510037,7.823384758,7.791298513,8.664556134,7.72153197,7.619773234,7.682123792,8.310448699,8.169930112,7.962027881,0.406266330679418,0.237160006645614,19.4605415479983
"GSM672638",7.950685502,11.18360929,7.349563197,7.322290706,7.657518959,7.560428996,7.553907435,7.917928996,7.72549145,6.956875093,7.691536431,7.777772862,8.556642751,7.533924535,7.641281413,7.644156134,8.120082156,7.895319331,7.834514126,0.224428467467178,0.757322064668107,22.5900973256154
"GSM672639",7.563181041,11.18683271,7.288603717,7.308666914,8.227065428,7.759936803,7.475986245,7.982855019,7.727243123,7.019252045,7.65925316,7.681131227,8.383890706,7.509637546,7.660233829,7.769860967,8.215446097,7.862260595,7.696285502,0.235405968865965,0.721158604062571,22.3725198123555
"GSM672640",7.776724164,11.06212491,7.327780297,7.294394796,8.144518587,7.677404833,7.450236803,7.817295911,7.657518959,7.073488104,7.708865056,7.713698885,8.317332714,7.497717286,7.564085874,7.648112639,8.064017472,7.834514126,7.545562825,0.118423837835385,1.18290279032652,25.1506043796865
"GSM672641",7.876136059,10.96463569,7.152958364,7.306538662,7.470616357,7.602832714,7.615062082,8.053842379,7.841605948,7.013033457,7.722443123,7.808284015,8.442299257,7.286697026,7.617939777,7.719550558,8.190704833,7.760930855,7.738784015,0.277283683965279,0.590929934543259,21.5889988330381
"GSM672642",7.700126394,11.48383494,7.266283271,7.215920818,7.506061338,7.534707435,7.461993309,7.815808922,7.648112639,7.048875836,7.72549145,7.720615985,8.30718513,7.421697026,7.417009294,7.607456506,7.984951301,7.665011524,7.708865056,0.0835088705330942,1.38185007135595,26.3475709849669
"GSM672643",7.812289591,11.10905242,7.313760595,7.268254275,8.00638513,7.607456506,7.396443866,7.70747974,7.553907435,7.031287732,7.526581784,7.588915242,8.406797398,7.469724535,7.465363941,7.550943123,8.074649442,7.677404833,7.515874349,0.161360270449095,0.98888268944534,23.9832821609247
"GSM672644",7.586930855,11.22608885,7.188427509,7.316581784,7.540397398,7.512286617,7.510571747,7.802120446,7.682123792,6.983714126,7.665011524,7.671643494,8.177153717,7.34906803,7.525672491,7.628094052,7.841605948,7.565977695,7.667759108,0.0335150340940952,1.83147236915535,29.0527241927442
"GSM672645",7.730020074,11.30724907,7.362719331,7.336424164,7.678274349,7.61607658,7.591762082,8.161189963,7.839541636,6.978382528,7.808284015,7.824440149,8.530658364,7.392457621,7.751708178,7.759936803,8.033117472,7.849694796,7.88627026,0.224189824703873,0.758119161787736,22.5948930615934
"GSM672651",8.139266914,11.80914981,7.465363941,7.569546468,7.554816729,7.522116729,7.196527138,7.469724535,7.543907063,7.358100372,7.712718216,7.550502416,7.97460632,7.410212639,7.19202974,7.210253903,7.573260223,7.636548699,7.335327509,0.0191856210091434,2.07086683749658,30.4930413592348
"GSM672652",8.070405204,11.94543792,7.552445725,7.163301115,7.426362454,7.499016357,7.297434572,7.754774349,7.586930855,7.482289963,7.638374721,7.577777323,7.965228625,7.535173606,7.359909665,7.462750558,7.899507435,7.500678067,7.459166171,0.00685211794927179,2.46492388701881,32.863886170045
"GSM672653",7.803133086,11.73293587,7.607456506,7.214778439,7.404819331,7.692402602,7.336825465,7.725889963,7.514108178,7.190369888,7.625234944,7.605464312,7.829472119,7.734865799,7.45293829,7.271870446,7.808781041,7.735995539,7.416600743,0.00153600963545191,2.96043802075984,35.845147675422
"GSM672654",8.290675465,11.07137844,8.272275465,7.754218401,8.08659145,7.832513011,7.345710781,7.341880669,7.363712268,8.052826022,7.88816171,8.193048327,8.346910409,7.643193309,7.487576952,7.364559851,7.680215613,7.541188476,7.376822677,0.286806906437418,0.56273725325734,21.4193775251321
"GSM672655",8.263677323,11.02024349,8.38036803,7.586930855,7.70978513,7.630018959,7.288603717,7.490282156,7.398698141,8.079886245,8.058956134,8.078779554,8.750019703,7.826063383,7.515874349,7.527495539,8.186486989,7.564976208,7.341880669,0.429188462156637,0.178440654005638,19.1072564775513
"GSM672656",7.333413755,11.31671078,7.430273792,7.824440149,7.881639591,7.975606691,7.366966729,7.495428625,7.541598513,7.095104089,7.824440149,7.702029368,8.162741636,7.428180669,7.510571747,7.47327658,7.883198141,7.745915242,7.765909294,0.0429024140572635,1.71795497520638,28.3697466271685
"GSM672657",7.738784015,11.86726952,7.911683643,7.402683457,7.504303346,7.429003346,7.736879182,8.225892565,8.046743123,7.971537918,7.758813755,7.727243123,8.790155019,7.331414498,7.779686989,7.787331599,8.42054461,8.243223048,8.17870632,0.328629897019194,0.443699587092805,20.7031872337534
"GSM672658",7.392457621,11.6089539,7.470616357,7.351365799,7.382328253,7.583214498,7.718559851,8.341351487,8.014537175,7.369321561,7.820356506,7.908544238,8.669790335,7.226811896,7.55006171,7.675475093,8.468954647,8.028971747,8.033117472,0.457637979749524,0.106386177619852,18.6737406157185
"GSM672659",7.615062082,11.96838401,7.855413383,7.334518587,7.43247658,7.508754275,7.843184944,8.317332714,8.175404461,7.897266914,7.87255948,7.82857658,8.783435688,7.331414498,7.66315539,7.741947584,8.472410781,7.937469888,7.932447212,0.346730508987395,0.394162570260124,20.405147700028
