"","azoR2","mhqA","mhqD","mhqE","mhqN","mhqO","mhqP","mhqR"
"azoR2",1,0.627418407713675,0.842088280766719,0.859087382974039,0.95106833754451,0.915964909214348,0.636585411550761,-0.707348568781003
"mhqA",0.627418407713675,1,0.638641861670328,0.576531917944748,0.64420280156414,0.682307009715133,0.645728153774796,-0.414628365980281
"mhqD",0.842088280766719,0.638641861670328,1,0.93587157390968,0.849146137667451,0.885723379786508,0.631737835343709,-0.571456370993012
"mhqE",0.859087382974039,0.576531917944748,0.93587157390968,1,0.837995028869504,0.853160306929414,0.585636987473138,-0.604752153880855
"mhqN",0.95106833754451,0.64420280156414,0.849146137667451,0.837995028869504,1,0.977199590231263,0.66839907616067,-0.663349407290364
"mhqO",0.915964909214348,0.682307009715133,0.885723379786508,0.853160306929414,0.977199590231263,1,0.696894502681223,-0.637729578309482
"mhqP",0.636585411550761,0.645728153774796,0.631737835343709,0.585636987473138,0.66839907616067,0.696894502681223,1,-0.182907727606299
"mhqR",-0.707348568781003,-0.414628365980281,-0.571456370993012,-0.604752153880855,-0.663349407290364,-0.637729578309482,-0.182907727606299,1
