"","amhX","codY","bacG","bcaP","bkdR","clpQ","clpY","codV","dppA","dppB","dppC","dppD","dppE","ilvA","ilvD","ispA","mpr","nupN","nupO","nupP","nupQ","trmFO","ybfJ","ybgE","ycgA","ykfA","ykfB","ykfC","ykfD","ylmA","ypmP","yuiC","ywaA","pval","z","inv_cof_var"
"GSM672653",12.18706394,13.59952639,11.44420669,12.61945911,10.0343381,12.29538383,13.2786855,12.70469665,13.66069851,13.20690632,12.38124796,12.95128178,13.1376223,13.17595502,13.68882788,9.554050186,12.58602528,12.1574803,10.88583123,11.05850781,11.13711487,10.47985502,12.47040149,12.27143792,11.17905353,11.77836766,12.15180074,12.5077974,12.48971413,11.19026506,13.15417807,10.7088684,13.7871961,0.0218554191014942,2.01685317138453,11.028687480099
"GSM672654",12.10981524,12.90673086,12.66937435,11.96963309,9.671730855,12.78208439,13.16499442,12.92232361,14.40469851,14.08764126,13.43859219,13.92068736,13.76680818,13.32130186,13.96823197,9.840528996,12.88900186,12.74756208,11.62122007,11.22497212,11.08210335,10.83579108,12.58170112,12.08541747,10.17872528,12.83733197,13.00465167,13.20505651,12.62842751,12.02055242,12.65138587,11.67506654,13.85341561,0.0464500339858024,1.68029430805295,10.3607174128257
"GSM672655",12.50329219,12.97704498,12.60212045,12.42726766,10.1033316,12.96858699,13.24788216,12.71507175,14.21655688,13.86138401,13.34708364,13.8485,13.5698513,13.43975316,14.04813494,10.15011822,12.71816097,12.43023309,11.09734126,10.97694387,10.93189145,10.89029628,12.71352639,12.40042639,10.59934572,12.79503234,12.66205019,12.97208327,12.97032825,12.16308104,13.08473941,11.92018364,13.85627844,0.0187587012796623,2.08008864881527,11.1541912499161
"GSM672656",12.67092974,12.90673086,12.81800112,12.62092416,10.38775948,13.3702461,13.56426171,13.25970781,13.52997026,13.38058216,12.82172268,12.9632026,12.93638178,13.40275985,14.16637026,9.434879926,12.53718401,12.51075985,11.33414907,10.98036283,11.23174721,11.20569219,12.44287862,12.52835316,10.8015829,12.35933978,12.34201004,12.27143792,12.01517881,12.10021896,12.52395651,11.7975223,14.2077948,0.00935267413400898,2.35135162144959,11.6925682348087
"GSM672666",11.64349257,12.25148216,12.61945911,11.59151078,9.887675836,12.34049442,12.87794796,12.83584424,14.11871338,13.62914721,12.9836684,13.27297993,13.13574721,13.58394275,14.05076654,9.008102974,12.79327175,12.42432045,11.5471777,11.35999851,11.173071,11.10315688,12.1883777,11.83344498,9.986601859,12.34349182,12.31169033,12.56473271,12.04601524,12.01920743,13.06405353,11.05514201,13.91831896,0.0489313348892995,1.65530487887602,10.3111207671655
"GSM672667",11.44888067,12.43328327,12.51217212,11.53395353,9.821001487,12.32875093,12.85683234,12.81725688,13.59271896,13.22169145,12.39590892,12.89065985,12.70008885,13.58822193,13.88212491,8.886296654,12.31454387,12.22305651,11.36494387,10.97806617,10.98844647,11.19147212,11.98045539,11.53860669,9.694850186,11.89274275,11.87367249,12.06917695,11.77139628,11.95485762,12.77562007,10.7701803,13.85627844,0.0461268428457589,1.68362747384251,10.3673327637175
"GSM672668",11.19147212,12.38563941,12.83102602,11.49286375,9.738382528,12.25706059,12.88597286,12.78984721,13.46367286,12.9736632,11.95198364,12.39750149,12.25010112,13.52354052,13.71375353,8.955711524,11.89014201,12.05292342,11.11582156,10.76898067,10.71350892,10.83013309,11.67314796,11.57750409,9.679448327,11.4102803,11.45977212,11.75320818,11.37209145,11.79090335,12.81874535,10.31281784,13.77427435,0.06108020121781,1.54576885050057,10.0937240612267
"GSM672669",11.04578699,12.55260149,12.93473197,11.43214164,9.914948327,12.26005576,12.83257361,12.65290223,13.23499331,12.86331896,11.94543792,12.45414126,12.22879703,13.35817584,13.62222788,9.172110409,11.89014201,12.0286052,11.14142193,10.67624981,10.71597138,10.93189145,11.580029,11.4657,9.453789963,11.41760669,11.4562539,11.64738439,11.38636171,11.92156208,12.68502305,10.39436654,13.6106,0.0407901703561139,1.74158926735006,10.4823698265518
"GSM672670",11.10315688,12.21777212,12.89221561,11.8141171,9.773924535,12.16733941,12.73350074,12.49575204,13.12992751,12.44648699,11.58755948,11.99510037,11.9466974,13.13574721,13.57092379,9.405123048,11.84121078,11.79238513,10.67743309,10.23424796,10.41638848,10.80403717,11.45253383,12.5327658,9.085415985,10.98396803,10.92265688,11.33353011,10.93087398,11.46338662,12.77562007,10.25008439,13.66069851,0.0678932051421818,1.49166720591028,9.98634825534583
"GSM672671",11.44532602,12.36989182,12.6418026,12.22466394,9.87559145,12.30598216,12.92314349,12.77243197,13.04265836,12.28581264,11.38041859,11.78525279,11.86596059,13.2291658,13.49977695,9.552804833,11.79868662,11.69090818,10.33593941,9.989743123,9.916043494,10.76773309,11.35999851,12.87633978,8.918543866,10.60851896,10.56290074,10.99543978,10.52022342,11.37801599,12.46749591,10.36540112,13.74743383,0.121262063217244,1.168700981375,9.34535556659493
"GSM672672",11.73973234,12.33317249,12.93638178,12.31592825,9.679448327,12.11117286,12.78208439,12.33753643,13.1136368,12.67265651,11.78330967,12.19544498,12.07438996,13.1395539,13.31143866,9.74697658,12.12968401,11.9466974,10.34454164,10.07193197,10.17985465,10.39021747,11.81046245,13.04535595,9.079373606,10.78186134,10.80887472,11.25578067,10.84170743,11.42599665,12.84149294,10.36854833,13.72369888,0.0961674674290291,1.30370279861292,9.61329435165553
"GSM672673",11.42471599,12.32875093,13.06315056,12.00305651,9.586639777,12.10021896,12.79327175,12.50487918,13.01521004,12.63150967,11.76959033,12.42003234,12.38563941,13.05512156,13.3702461,9.425710781,12.16308104,11.93222788,10.5558368,10.1323658,10.11830706,10.45007435,11.75559182,12.73109052,9.053477323,10.93927732,10.91926171,11.31557286,10.89585316,11.49708959,12.76461152,10.01496245,13.44308773,0.0996166322485019,1.28373908307857,9.57367226511621
"GSM672674",12.2903119,11.56050372,12.69711524,12.20520706,10.31406059,11.35290967,12.04223755,11.8281881,12.04992751,12.43328327,12.34492491,13.01324461,13.32938104,11.13001301,10.98844647,12.48819219,13.30210743,12.88760223,10.01761338,9.92234461,10.54986357,10.1083052,12.99596394,13.26346171,8.444594424,10.15011822,10.57109665,11.28562714,11.11582156,8.747633457,12.23849145,9.331000743,12.17460074,0.210573694818005,0.804432237054059,8.62238955927895
"GSM672675",12.81725688,11.73350112,13.0743855,12.50635242,10.21655725,11.87245242,12.47178253,12.06361859,14.8169052,14.60165465,13.76194498,14.3805052,14.26634535,12.24736022,12.43328327,11.06789331,13.4302974,14.19545279,11.84372045,11.44300781,11.49827212,9.865482528,12.97873309,13.38265911,9.744597026,12.52835316,12.57407212,12.80924201,12.24009331,11.08324498,11.97168625,9.559210037,12.74905093,0.150514545770082,1.03422906056024,9.07846846962813
"GSM672676",13.31550074,11.78955725,13.09676506,12.81482881,9.555390335,11.98454572,12.49886208,12.47978532,15.56470372,15.31526691,14.50030743,15.11127918,15.08293978,12.59205613,12.72569926,11.94935167,13.59032751,14.17215799,12.08812974,11.62494535,11.44420669,9.981542379,13.07616431,13.81311004,10.20419591,13.18166543,13.25970781,13.42184944,12.89897175,10.92265688,12.28581264,9.902143123,13.07284758,0.266713111832816,0.622784380835481,8.26187214625559
"GSM672677",13.53887881,12.03818364,13.38265911,12.95571914,9.395199628,12.26155651,12.80310595,12.74293383,15.74199963,15.64881152,14.73557435,15.3676855,15.37522491,13.33340483,13.70641859,12.27727844,13.54124015,13.94912751,12.05679591,11.27490967,11.28675688,9.902775836,13.01324461,14.13102342,10.38961561,13.83597807,13.95159331,14.10146097,13.49777063,11.56165688,12.51664089,10.56347119,13.59032751,0.294505585746537,0.54026952546789,8.09810449816772
"GSM672678",13.51044907,12.10715093,13.37838364,12.94794461,9.239005576,12.32301375,13.03222825,12.62462398,15.93357807,15.68112788,14.60551747,15.43592342,15.58944684,13.68413234,13.71375353,12.3463026,13.43237621,13.7871961,11.91107807,11.34883606,11.13711487,9.806930483,12.67714424,14.13691599,10.54498996,13.95716766,14.10461152,14.30661041,13.75453086,11.52469963,13.18522751,10.88007955,13.56203011,0.316670366715499,0.477030036182067,7.97259276600167
"GSM672679",13.29444201,12.29611413,13.1633513,12.36369665,9.541005576,12.43925799,13.01521004,12.66937435,15.75092528,15.52257435,14.65737807,15.29518476,15.47494981,13.86138401,13.76680818,12.31733383,13.44091413,13.51480558,11.76822193,11.13356654,10.90512491,9.941332342,12.67092974,13.72863755,10.20304461,14.01120595,14.07618625,14.35976208,13.79092788,11.35625651,13.07706859,11.47064201,13.42815502,0.28255832702373,0.575258248344034,8.16754679227946
"GSM672680",13.39298996,12.37427993,13.31143866,11.90186766,9.971773978,12.70912007,13.15417807,12.84223494,15.6989948,15.57326431,14.63204387,15.20407138,15.44358327,14.07896877,13.81582714,12.71507175,13.55356059,13.32318773,11.7148948,10.94269926,10.78990446,10.26731784,12.89065985,13.49777063,10.0294632,14.11600446,14.2410829,14.36337323,13.83986822,11.1649145,13.15971115,11.79984164,13.39879777,0.257626741471978,0.65067937017977,8.31723547178042
"GSM672681",13.15417807,12.82326543,13.15065688,11.72602565,9.881884387,12.64667732,13.16865353,12.988971,15.56470372,15.57326431,14.38725613,15.15962193,15.16584238,14.03459963,13.57959368,12.88276766,13.60160558,13.02672268,11.34637639,10.7252513,10.32859814,10.60851896,13.04989703,13.40092937,10.10077323,13.9789632,14.21958662,14.37361413,13.66987732,11.21184758,13.25369033,12.24467361,13.41359628,0.240020134007845,0.706237798338696,8.42750256333034
"GSM672682",13.09676506,12.90290911,12.93473197,11.22723903,9.648879926,13.01151115,13.48023494,13.00295056,15.52257435,15.26837881,14.3002197,15.21045093,15.24369703,14.01120595,13.40495093,13.05163569,14.00590855,12.75695279,10.98619703,10.24398885,9.821001487,11.02488141,13.4450803,13.22549963,9.615347955,14.10748848,14.21381301,14.30992379,13.84114201,10.92615725,13.41578699,12.61245019,13.58615465,0.341118309148873,0.409412976441888,7.83839284775742
"GSM672689",10.22716952,13.27297993,11.96554164,9.874389219,9.210145725,12.06496617,13.22730074,12.88900186,12.54716636,12.27279517,11.49942454,12.02192007,12.00036022,13.01695428,12.60212045,9.232302974,11.04821115,10.73702082,9.298148699,9.080512639,9.129148699,10.99658662,11.10905242,9.830095911,9.059653903,10.56517138,10.62139108,10.88583123,10.88349665,11.13866989,12.90673086,9.482872862,13.79224684,0.346168154322506,0.395686509761491,7.8111498603609
"GSM672690",10.39144312,13.39599981,11.80186599,9.888286245,9.282447212,12.29611413,13.37237472,13.10225725,12.69237249,12.49718067,11.59268067,12.13786729,12.12371933,12.9836684,12.67413941,9.30159777,10.97474461,10.73174926,9.293330483,9.169653903,9.183775093,10.83237323,10.89382342,9.752057249,9.141365056,10.75825539,10.78052045,11.07857138,10.90911859,11.09843086,12.99247212,9.467850558,14.04280037,0.37609720434826,0.315747185313557,7.65249388143139
"GSM672691",10.09255093,13.53679182,11.84897658,9.90340855,9.368698513,12.55718141,13.39496283,13.12605204,12.85326877,12.65290223,11.84372045,12.24467361,12.22305651,12.79327175,12.71191784,9.259670632,11.04578699,10.62853197,9.337545725,9.200495539,9.190372491,10.66314126,11.08210335,9.744597026,9.127955762,10.81497212,10.87436729,11.02258996,10.92735539,10.85929926,12.9397052,9.446366171,14.01692193,0.400047585028725,0.253223937078977,7.52840367647888
"GSM672692",10.74155985,13.30973011,13.05247546,11.12583346,9.292084387,12.91142379,13.57540669,13.00807138,13.17595502,12.3842197,11.66844684,12.28882454,12.15447286,13.16865353,13.40928959,8.946961338,13.10802045,11.79238513,10.66670855,10.38428922,10.2696368,11.01321561,12.84362528,10.90965465,9.032881413,11.25813941,11.30602491,11.67314796,11.25685576,11.35503383,12.94463234,10.246271,13.64726729,0.199189618786237,0.844519381532671,8.70195071636485
"GSM672693",10.77818476,13.47196803,13.10225725,10.89814201,9.322251301,12.9736632,13.60378104,13.10047026,13.12422305,12.42567472,11.5375197,12.14178848,12.02602751,13.03222825,13.19880093,8.664556134,12.7318948,11.76822193,10.65031264,10.40780558,10.20783569,11.06445836,12.35933978,10.90736766,8.921110409,11.32697918,11.33353011,11.50890743,11.25631822,11.43697807,12.82718439,9.978329368,13.46152045,0.210436527400848,0.804907509182366,8.62333283426026
"GSM672694",10.68212305,13.38884164,12.96779907,11.07917677,9.362375836,12.85326877,13.61520669,13.2692461,12.87304684,12.39153123,11.32531543,11.88757881,11.81292007,13.02025465,13.24606989,8.770366914,12.46166171,11.81669368,10.60271673,10.25133606,10.17489219,11.00480892,12.02449777,11.16154387,8.894851301,10.99318253,11.11701859,11.33291115,11.01436617,11.62122007,12.86008625,9.926298885,13.30781115,0.197420822777395,0.850869866533216,8.71455455585683
"GSM672695",11.36724349,13.86665948,12.42890074,12.40349591,10.68654312,12.38852714,13.95421375,12.24872342,13.2749487,13.10047026,12.36369665,12.88436691,13.24083643,13.45315651,14.19084758,9.912310037,11.7148948,9.753242379,8.894226394,8.750019703,8.962276952,10.26107435,11.73722937,12.60967212,9.94515539,11.37801599,11.51852045,11.94935167,11.68608067,11.42134944,13.39879777,11.3353487,13.7086368,0.354050310019404,0.374408231081071,7.76891875373983
"GSM672697",11.31913494,13.3702461,12.72717732,13.20690632,9.608845725,12.42003234,13.21222714,12.47178253,13.46775725,12.6482026,11.59954219,12.05551227,12.14178848,13.92420948,14.19217844,10.30341896,12.21330186,9.846188848,8.947592565,8.651625279,8.593413755,9.78989461,12.158871,12.69864721,10.66550706,10.40089405,10.50383271,10.91817807,10.73234387,12.10308439,13.2904829,11.25578067,14.177971,0.439169847793786,0.153074283570598,7.32963615590555
"GSM672698",11.10315688,13.69896357,12.57012175,9.897079554,9.273874721,13.28071041,13.80827249,13.80343717,13.44308773,13.24083643,12.50635242,13.09676506,12.97208327,13.70401115,13.73822305,9.99890223,15.00514164,12.84668736,11.7111632,11.13479888,11.11460186,11.93608848,14.88252156,10.60334442,8.839163941,12.84223494,12.68047472,12.88276766,12.36603569,11.80120297,13.25572045,12.04472491,13.60378104,0.266252142073511,0.624187760238536,8.26465744040886
"GSM672699",11.68734461,13.48916357,12.20774981,10.15378364,8.784646468,13.29238922,13.85909405,13.48706506,13.76919963,13.71904721,12.76007472,13.44308773,13.33925093,13.55558736,13.49977695,10.08529814,15.03266691,12.78829182,11.52343123,11.20329851,11.26915056,11.96003271,14.961471,10.96359368,9.06572974,12.91991375,12.82796729,13.16680669,12.74905093,12.13388587,13.06752156,12.16733941,13.52142082,0.243341531296235,0.695594099246382,8.4063779602569
"GSM672700",11.38870186,13.63389182,12.40504387,10.32988178,9.306693309,13.36438513,14.06780892,13.7522145,13.71904721,13.59499257,12.70008885,13.31550074,13.25773792,13.67938253,13.64169015,10.34093643,15.76791375,12.99432751,11.82445613,11.08451636,11.18580558,12.33753643,15.45858439,10.66260372,8.904501115,13.11699257,12.93638178,13.16499442,12.67875353,12.11672937,13.01521004,12.64499628,13.72616989,0.282884765937203,0.574293019796476,8.16563109833082
"GSM672701",11.99639963,12.85840781,13.31550074,11.50417435,9.312601859,12.43925799,13.12800297,12.55413048,14.75366506,14.47120892,13.76919963,14.26004424,14.22564647,13.94393941,14.2572026,11.58623978,13.28452677,11.46694833,10.14274461,9.861586245,9.933688848,9.780388104,13.18788587,12.56771524,10.68536877,12.93148625,12.96604275,13.29628699,13.12605204,13.48916357,13.34303457,11.18032528,14.07067323,0.274333159336804,0.599759814192925,8.21617517314092
"GSM672702",12.25553011,13.0393197,13.45025502,11.91238699,9.003201487,12.22879703,13.00380112,12.53873903,14.71080558,14.5931777,13.80104535,14.13842528,14.29400892,14.00590855,14.27227695,11.8535184,13.39791729,11.49708959,9.991480297,9.675759108,9.907265799,9.681794424,13.23891599,12.70469665,10.93586171,12.83733197,12.98028141,13.33925093,13.0743855,13.50622305,13.60160558,11.34937286,14.22263903,0.304865750359413,0.510456759598771,8.03893495193716
"GSM672703",11.87817007,13.0393197,13.35631375,11.61378959,9.124426394,12.3463026,13.06050818,12.36528178,14.61295725,14.40126208,13.47410706,13.93621227,14.06780892,13.94912751,14.07202138,11.36968216,13.27671636,11.59652825,10.05462639,9.83625948,9.961820446,9.655317472,13.19793569,12.44216766,10.70469517,12.62842751,12.70985446,13.10802045,12.89221561,13.40705576,13.52142082,10.93189145,14.00300297,0.27207735502631,0.606542288219136,8.22963638342289
"GSM672716",10.86401599,13.04265836,12.80470855,11.7049197,9.981542379,12.72426729,13.21968216,13.03222825,12.47610223,11.56165688,10.78186134,11.17175985,11.27676561,13.30781115,13.68176245,8.221126022,11.8217948,11.67839033,10.79227621,10.37459182,10.52649517,11.10075985,11.63251747,11.28217807,9.513952416,10.53672193,10.55470335,11.02948476,10.69138996,11.95744758,12.63305613,10.36471933,13.82289926,0.154672337912752,1.01659806346305,9.04347614109301
"GSM672717",10.82065651,13.03040297,12.81725688,11.63312955,9.879227881,12.61945911,13.20505651,12.73350074,12.57254721,11.81170372,10.83943569,11.33878662,11.30368922,13.41359628,13.57959368,8.175404461,11.85151487,11.84240669,10.8556171,10.52201952,10.62021264,10.98844647,11.69346877,11.20686022,9.447581784,10.59873699,10.57802751,10.92265688,10.71009108,11.92018364,12.89724424,10.30587918,13.79624275,0.154931979252966,1.01550753095771,9.04131175574971
"GSM672718",10.9214461,12.98202045,12.89897175,11.83474164,9.815632714,12.50487918,13.24606989,12.92503755,12.77562007,11.89014201,10.94041004,11.34937286,11.44420669,13.32734535,13.6744539,8.338381041,12.06073494,12.01517881,10.90626022,10.5523197,10.40910855,10.97806617,11.79491301,11.3084513,9.61657658,10.55341784,10.66789145,11.07735651,10.76314907,11.96150149,12.90673086,10.29722862,13.98155204,0.15299921940784,1.02365461567141,9.05748131572036
"GSM672728",10.39292119,14.08209294,13.0393197,9.641176952,10.19937509,13.7109197,14.60915242,13.41992007,11.74586245,11.61633606,10.94154387,11.61762454,11.78586766,12.35779405,12.65911338,9.313763941,12.13241078,11.26426877,9.669020446,9.502141264,9.423149442,10.59003234,12.03818364,10.0484855,8.576081413,10.53918104,10.63088401,10.93189145,10.93322082,10.94614238,12.67413941,9.342381784,13.49025093,0.440004804690604,0.15095703390288,7.32543403985079
"GSM672734",10.541771,13.49133829,12.98548327,9.70606803,9.955614126,13.07797286,13.91054387,12.62309201,11.8217948,11.47313457,10.8438829,11.40767807,11.5471777,11.9466974,12.25424572,8.818431227,11.86062565,10.84732714,9.403698141,9.267866914,9.29452974,9.96611171,11.73846877,9.96611171,8.56752974,10.46197286,10.61667584,10.80641041,10.75057435,10.49302193,11.68734461,9.096666171,13.15779442,0.352116966594485,0.379611351576756,7.77924541313347
"GSM672736",9.75460855,13.20690632,12.91651264,9.102701487,9.972934944,12.94290967,13.74743383,12.67568848,10.9483658,10.63088401,9.943906691,10.54498996,10.74038885,11.28675688,11.284429,9.369944238,12.1154171,10.04106729,8.84304052,8.620707063,8.641617844,9.767536431,11.79090335,9.471579554,8.268340892,9.739531599,9.830095911,10.160029,10.01624201,10.18579145,11.55682342,9.184917472,12.76600149,0.472211163973114,0.0697127066483862,7.16418801529342
"GSM672758",11.91238699,13.07116617,12.72426729,12.59350818,10.08164275,12.69864721,13.29238922,12.90826059,13.23891599,12.58472156,11.91770855,12.40805911,12.49265874,13.59271896,14.16922491,8.876988848,12.03486468,12.14592454,11.14034721,10.72234331,10.63088401,11.1661171,11.96838401,12.18706394,10.5468645,11.56494721,11.66334796,11.95198364,11.65592045,12.20653755,12.85502825,11.02258996,14.16637026,0.0375510243217192,1.779840614964,10.5582874683754
"GSM672759",12.18289145,13.01324461,12.63599665,12.35195651,10.23724647,12.80153755,13.35045167,12.58745911,13.23707546,12.4688316,11.94133643,12.50189554,12.64499628,13.42184944,14.18383309,9.213757621,12.15180074,12.26440558,11.33353011,10.88235985,10.74269703,11.17657509,12.13914164,12.31169033,10.41887398,11.63990818,11.92279405,12.15595799,11.92745725,12.06771041,12.78984721,11.05279405,14.16922491,0.0164678883334768,2.13286531147658,11.2589373575045
"GSM672760",11.580029,12.98548327,12.42150967,11.9083223,10.15888587,12.74905093,13.34118773,12.96154498,13.17780409,12.52257955,11.77384424,12.32742639,12.28434275,13.58176394,13.88738959,8.631134387,11.96554164,11.89547138,10.75109331,10.52649517,10.52881636,10.89479591,11.97375353,11.70109888,10.46871059,11.6089539,11.61880967,11.97030483,11.56299777,12.11117286,13.0950171,10.65589554,13.91563829,0.0557733372026139,1.59127956143696,10.1840493979149
"GSM672761",10.88695465,13.14322714,12.45103717,11.46931636,10.06210632,12.8108052,13.39496283,12.9331223,12.05551227,11.24241227,10.6408119,11.08095762,11.24473197,13.59952639,13.6744539,8.779644238,11.7148948,11.10672639,10.12423866,9.828678067,9.791836059,11.37447026,11.61378959,11.8179803,10.05462639,10.35867472,10.51903086,10.82706654,10.52397398,11.65346208,12.67568848,10.34922342,14.05925799,0.185865252335364,0.893236557412788,8.7986399401395
"GSM672762",10.3481119,13.08980112,12.14044424,10.85929926,9.977751673,12.79665613,13.20863941,12.86331896,11.67069814,10.77818476,9.865482528,10.37568922,10.3081487,13.2904829,13.51480558,8.518662454,11.80443476,10.52022342,9.617849071,9.512559851,9.534535316,11.33044126,11.68734461,11.3876119,9.683063941,9.83625948,9.927572862,10.1464539,10.13052454,11.37801599,12.69237249,10.09834833,13.82848513,0.338881598274693,0.415517377584808,7.85050828338059
"GSM672763",10.51903086,13.2139171,12.29465353,11.49942454,10.09954424,12.82640149,13.36438513,12.97873309,12.0286052,11.01321561,10.20527881,10.63088401,10.85929926,13.5255539,13.65857993,8.430050186,11.63750186,10.95294498,10.11830706,9.789263569,9.748265056,11.27734684,11.59519071,11.62122007,9.841120818,10.07193197,10.2203197,10.52649517,10.29357361,11.68608067,12.79137658,10.22252528,13.87665688,0.271509650041162,0.608253584854251,8.23303280245393
"GSM672764",10.65031264,13.01151115,12.31318253,11.6026777,10.21896468,12.82942007,13.32938104,12.96154498,11.99250855,10.95058736,10.03985799,10.4978948,10.62734349,13.45721859,13.80827249,8.431318959,11.66081524,11.17842937,10.20362026,10.02011078,9.868152788,11.21239126,11.6834855,11.72085651,9.927572862,9.859080669,10.21397621,10.40910855,10.16249219,11.77321896,12.5494855,10.23892602,13.88212491,0.260988805836518,0.640299952430055,8.29663538921566
"GSM672765",10.64325093,13.20863941,12.53718401,11.3258513,10.49409517,13.0950171,13.56651933,13.05331524,11.77321896,10.56992156,9.844852788,10.24267955,10.50263755,13.51702342,13.74509665,8.552971004,11.53395353,11.09843086,10.26606654,10.00255502,9.956937546,11.51118996,11.35399554,11.59519071,9.602318959,9.846188848,10.01882751,10.3503487,10.05582602,11.54940074,12.4688316,10.164379,14.03459963,0.325604036948894,0.452084549393628,7.92308333302077
"GSM672766",10.67743309,12.98548327,12.50259387,10.98619703,10.65467323,13.08980112,13.4450803,12.82172268,11.61025167,10.20716784,9.480399628,9.985307807,10.11346208,13.36438513,13.94912751,9.314887361,11.55433086,11.05639108,10.22478587,9.879227881,9.694850186,11.54228885,11.4886,11.73589108,9.369944238,9.809530483,9.873116357,10.04106729,9.82232974,11.51009108,12.51953383,10.40780558,14.13440409,0.350336362119094,0.384412517610767,7.78877431148718
"GSM672767",10.45131152,12.99076729,12.47901264,10.73234387,10.33973569,12.73269777,13.23891599,13.10225725,11.65592045,10.63444684,9.611350558,10.03721264,9.975315242,13.38685874,13.52354052,8.403886803,11.37077807,11.05279405,10.00627323,9.707454275,9.781756506,11.34212082,11.31913494,11.21893048,9.250950186,9.398832714,9.546230855,9.74697658,9.675759108,11.50287249,12.52257955,10.05582602,13.89762082,0.41157620070106,0.22349226645614,7.46939508039113
"GSM672768",12.39370818,13.11539071,12.33457361,13.0393197,10.18109182,12.67413941,13.17595502,12.9736632,13.1136368,12.39153123,11.22608885,11.85276729,11.75931078,13.76194498,14.29121375,8.795147584,12.28023792,11.54940074,10.45256691,10.38109257,10.48335762,11.05514201,12.26005576,12.37568327,11.07978216,11.07857138,11.13121933,11.43214164,11.50759814,12.11264312,12.67265651,11.1778052,14.27227695,0.0790201897092811,1.41169298623512,9.82762301968351
"GSM672769",12.04352379,12.75065836,12.00570595,11.9151855,10.13419145,12.59127361,13.24697602,12.55260149,12.79137658,12.14299442,11.10790929,11.64227658,11.79491301,13.63389182,14.09040223,8.82951803,12.05292342,11.5136026,10.60271673,10.06210632,9.794347955,11.20569219,11.7543855,12.07106357,10.65969257,10.87889517,11.09271227,11.30249071,11.1695632,12.44963011,13.58176394,11.11935985,13.84591078,0.0852812219001789,1.37039880860032,9.74566625782714
"GSM672770",11.87618959,12.97704498,12.41698625,12.34786914,10.3563777,12.85414851,13.33719963,13.1376223,12.91488662,12.14044424,11.20118141,11.7543855,11.89614238,13.58615465,13.99478104,8.667276208,12.02449777,11.21065762,10.33356431,10.24267955,10.25257509,11.07624796,11.6386974,11.83344498,10.74634201,11.06445836,11.26294796,11.46338662,11.34699628,11.86338253,12.67092974,10.98158476,13.95989033,0.0720733904559018,1.46052158056635,9.92453337621797
"GSM672771",11.24241227,13.2291658,12.2829855,11.72728216,10.3563777,13.06405353,13.52764833,13.0419,11.98993309,10.99430186,10.10459219,10.55470335,10.87208662,13.55136803,13.81818216,8.526891822,11.94797546,10.74038885,9.779072862,9.602318959,9.656692193,11.40649405,11.89411264,11.85276729,10.22354126,10.05462639,10.28659294,10.74508104,10.52649517,11.60389777,12.84992788,10.46688848,14.08209294,0.290225304902116,0.552726638279909,8.12282819256313
"GSM672772",10.7748487,13.33340483,12.03426766,11.10905242,10.08403457,12.7906119,13.28071041,13.02854461,11.28562714,10.23660632,9.50463829,9.990411896,10.20901524,13.48236691,13.55136803,8.466633086,11.66081524,10.13296468,9.254644238,9.15257658,9.22933197,11.31439294,11.37569814,11.78084387,10.00747918,9.457593309,9.768651673,10.12191822,9.991480297,11.31089517,13.10414349,10.18716803,13.93621227,0.465707992393099,0.0860634420392523,7.19663940198665
"GSM672774",10.5558368,13.14049257,12.02317361,11.47787249,10.160029,12.80470855,13.29628699,12.94970781,11.74274888,10.54045279,9.579008178,10.03493197,10.05844498,13.42184944,13.63154052,8.460543123,11.98993309,10.26107435,9.509933457,9.377654647,9.373756506,11.35625651,11.84121078,11.83214907,9.758434201,9.70606803,9.844852788,9.980197026,9.847455762,11.70109888,12.63599665,10.38109257,13.89762082,0.419907555302446,0.202129980394935,7.42699724389928
"GSM672775",10.91700595,13.17966803,12.21031896,11.55308104,10.44045019,12.96154498,13.38884164,13.01695428,11.73237063,10.495429,9.464062082,9.990411896,10.1576368,13.34507323,13.70521487,9.131537546,11.8281881,10.56404164,9.713857993,9.589195539,9.428277695,11.38389442,11.70109888,11.98183086,9.921168401,9.765004461,9.856439033,10.00942509,9.908577323,12.02449777,12.85165985,10.45853197,13.9254487,0.366232089387659,0.341849469191539,7.70429921540885
"GSM672778",12.05292342,12.85840781,12.55639981,12.59489368,9.775313755,12.50329219,13.14143123,12.79503234,13.18357249,12.52544535,11.44763792,11.94402528,11.9466974,13.53679182,13.87415316,8.764618587,12.17460074,11.99392119,10.81609888,10.65031264,10.82305316,10.97694387,12.14881636,12.20240781,10.76186208,11.00480892,11.08671896,11.53395353,11.27969628,12.32371208,13.04444907,11.11013494,13.96540669,0.0464083102314575,1.68072356869015,10.3615693685694
"GSM672779",12.05292342,12.89065985,12.69099182,12.55413048,9.816794796,12.37289182,13.24788216,12.90826059,13.36649851,12.66205019,11.4351487,12.09156468,12.09156468,13.44308773,14.08209294,8.848271747,12.33753643,12.10151896,10.95823364,10.70047807,10.65251152,10.86057249,12.3683684,12.2344052,10.74508104,11.11701859,11.32477955,11.62863903,11.49097026,12.1883777,12.89897175,11.09902212,14.1456342,0.0508271052694686,1.63688638844539,10.2745654966544
