"","cysK","spx","cymR","mccA","mccB","mtnN","yrhC","yrrT","pval","z","inv_cof_var"
"GSM672560",12.91816022,14.41200297,13.00110632,10.2401855,9.57370223,12.84668736,9.675759108,9.590351301,0.483666552513542,0.040953326060905,6.64661721507215
"GSM672569",14.06186803,14.40846283,11.34212082,10.68536877,10.69023643,12.30054126,10.55341784,10.66912045,0.298287893961404,0.529331095858037,8.08294766056967
"GSM672571",14.99943048,14.00590855,11.42599665,12.95128178,12.72872639,13.44939033,12.03426766,12.87134275,0.0125727004436134,2.23916163833398,13.1115992837176
"GSM672587",13.26739145,14.23797286,11.48022454,11.86596059,11.284429,14.11029777,9.951659108,9.596961338,0.498045084595509,0.00490026583869683,6.54058432157656
"GSM672598",12.54013457,13.66754238,13.24969777,10.50383271,10.19692082,12.52395651,10.15135502,9.515183271,0.2636399513507,0.632163718057896,8.38538080800256
"GSM672599",12.65748922,14.10461152,13.07797286,10.30587918,10.05097732,12.68502305,10.45367881,9.053477323,0.390575844614231,0.277818499798691,7.34324323197494
"GSM672600",12.70469665,13.30210743,13.18693197,10.28280446,9.844852788,12.58472156,9.696065428,9.161527881,0.441575495056764,0.14697596666169,6.95843228124563
"GSM672601",12.5077974,13.53679182,13.16865353,10.06210632,9.647648327,12.39153123,9.450021561,9.781072305,0.368643958693773,0.335447001764491,7.51273000434846
"GSM672602",12.60065019,13.07877639,13.15971115,10.2696368,9.805014312,12.38714758,10.1266829,9.090420074,0.377831225977401,0.311181755538611,7.44136534756606
"GSM672603",12.68944535,13.50399368,13.55765056,10.65717695,10.16879219,12.80924201,10.137871,10.26368476,0.227905831429805,0.7457612318242,8.71947375335334
"GSM672604",12.67015204,13.53224944,13.58394275,10.68093011,10.22252528,12.88900186,10.2208684,10.3261487,0.214315670363047,0.791535890917375,8.85409809654387
"GSM672605",12.60364461,13.59952639,13.06929071,10.42133532,9.952976208,12.87714387,10.46258141,9.588551115,0.327097567666683,0.447941889870418,7.84358010183856
"GSM672618",14.30992379,14.86847249,10.13419145,13.18693197,12.80153755,13.91054387,12.41094461,13.64514461,1.46642312711613e-05,4.17861892495843,18.8155885330192
"GSM672619",14.44320929,14.83115242,9.956937546,13.17873606,13.12800297,13.82289926,13.05512156,13.73114758,1.51076631783347e-10,6.29766981772508,25.0477667791825
"GSM672620",14.73161599,16.31574647,11.95349405,13.28255242,13.07797286,13.76423197,12.70310595,13.36649851,8.02395309100353e-06,4.31379045439609,19.2131311631361
"GSM672621",15.11720743,16.10869665,12.03948625,13.59734461,13.32734535,14.02859517,12.60967212,13.91831896,0.000343113817083917,3.39502328749901,16.511015432754
"GSM672622",14.64447732,16.42565242,12.4547881,12.57407212,12.31592825,13.3970368,11.92414164,13.30389257,0.0101156736843022,2.32202949755501,13.3553155961981
"GSM672623",14.79444089,16.38425465,12.34492491,12.30529833,11.60768401,13.32938104,11.43100372,13.06929071,0.107404474937915,1.24045012756091,10.1743653678741
"GSM672639",14.85846468,14.23797286,12.31592825,11.02488141,10.29357361,13.06929071,10.20057955,11.69730632,0.49673486458198,0.0081845721353462,6.55024354322413
"GSM672645",14.68241227,14.06186803,12.66937435,11.03990446,10.287729,12.89221561,9.977751673,11.55183606,0.487394114257649,0.0316035296856378,6.61911924521456
"GSM672651",14.48566134,15.10605167,11.52469963,10.82642677,10.45966691,12.22879703,10.37802602,10.62139108,0.41883957086884,0.204863028232123,7.12867948346481
"GSM672652",14.55987026,14.98346506,11.16719814,10.63955428,10.42834387,12.41414164,10.70406654,10.72635353,0.422101421099895,0.196520431793293,7.10414371218151
"GSM672653",14.56330743,15.36026208,11.03072193,10.54045279,10.29119926,12.30886543,11.04701784,11.10436394,0.394038497703328,0.26880857350009,7.31674482796334
"GSM672657",13.98971487,14.13440409,12.48593048,10.57447881,10.14274461,12.62092416,9.916043494,10.5523197,0.446328212623942,0.134943652787077,6.92304496467087
"GSM672660",14.24770112,14.22263903,12.42567472,12.20240781,11.65105948,12.943771,10.95179145,12.41861375,0.0659963819613738,1.50628992277194,10.9562064243272
"GSM672661",14.55987026,14.56695242,12.37136022,12.63599665,12.33317249,13.11192862,11.62675149,12.45414126,0.0154795425541765,2.15759819572328,12.8717192910022
"GSM672662",13.84591078,14.53674944,12.23849145,11.04339219,10.95534349,12.32584796,10.21397621,11.07978216,0.211038281372254,0.802823836593136,8.88729620883296
"GSM672663",13.66527955,14.16922491,12.22536784,10.69023643,9.870642007,12.39153123,9.539726022,11.16389888,0.414731174421875,0.215391176321598,7.15964301327883
"GSM672664",13.00110632,15.05480706,12.65138587,9.753242379,9.273253532,11.73589108,9.204114126,9.606279554,0.483061016982701,0.0424724997709061,6.65108514049099
"GSM672665",13.48236691,14.3392342,12.87947621,9.974054275,9.617849071,11.71356952,9.289737175,10.10077323,0.478954859452004,0.052776834823723,6.68139043092859
"GSM672684",13.54925019,13.32734535,12.77884796,9.968082528,9.586639777,12.39912119,9.984120446,9.816794796,0.498820555788253,0.00295643251628862,6.53486746230365
"GSM672685",13.57426989,13.79624275,12.54641822,10.04722045,9.637282528,12.33152714,10.4224948,9.884420446,0.452092979036994,0.120375172216209,6.88019872251437
"GSM672688",13.9789632,12.97032825,12.61541041,10.35275874,9.995141264,12.66787807,10.14951896,10.10964312,0.487402348461573,0.0315828792939395,6.61905851192951
"GSM672697",15.1410658,14.8030119,12.62165204,11.09029926,10.59003234,12.56166506,10.54498996,11.37927323,0.467298190108272,0.0820632959695475,6.76752259825083
"GSM672710",12.59049108,13.94646394,13.77047714,9.793090335,9.160485874,12.17309703,9.479197398,10.52881636,0.388696825490452,0.282717172948077,7.35765034430097
"GSM672711",12.35640037,14.99403494,13.85627844,9.559210037,9.053477323,12.1883777,9.70122342,10.82065651,0.366695093225104,0.340619315508098,7.52794190006331
"GSM672712",12.35195651,14.86847249,13.42601599,9.525447955,9.080512639,12.10452751,9.785500743,10.87889517,0.345999252841307,0.396144399613622,7.69124247130492
"GSM672726",14.66569628,14.85846468,12.38714758,13.17256729,12.7318948,13.87415316,12.17169294,12.9397052,0.00206311402302851,2.86834693028676,14.9620479457573
"GSM672737",13.83360706,14.54011041,12.72717732,10.5060777,9.924944238,12.81725688,9.781756506,10.61725,0.473444906577622,0.066612978741455,6.72208285385681
"GSM672738",14.58946431,14.52588253,12.76756729,12.81874535,12.30192082,13.64514461,11.54228885,13.2904829,0.0259926111663847,1.94325610427333,12.2413341859859
"GSM672739",14.68241227,14.43977026,12.91305019,13.12800297,12.3683684,13.98971487,11.81292007,12.98202045,0.01992601696922,2.05527931625611,12.570797072964
"GSM672740",15.6989948,15.07704164,12.08955204,14.03156208,13.48706506,14.75366506,12.28742007,14.86360112,0.0355879511783433,1.80435353439615,11.8328184786569
"GSM672741",15.91022379,14.71898885,12.48971413,14.11029777,13.80343717,14.94091933,12.86331896,15.01087881,0.0090370104493285,2.36409820311377,13.4790406433513
"GSM672742",15.5469539,14.45389294,12.61107732,14.58946431,13.91054387,15.12831859,12.79327175,15.190129,0.00453004510458014,2.6097783595906,14.2015917306967
"GSM672743",15.21045093,13.13379517,12.88597286,14.5076632,13.85627844,15.10096468,12.87134275,15.41281338,0.00233780445113574,2.82857263935279,14.8450708256885
"GSM672744",14.1456342,13.23707546,13.21777212,13.5255539,13.11887398,14.07067323,12.2758855,14.07618625,2.77898269744042e-05,4.03083245248056,18.3809450603222
