"","comZ","spo0A","divIVA","dnaA","dnaG","dnaN","ftsE","ftsX","med","metS","parA","parB","pdeH","pdxS","pdxT","pit","sacT","sepF","tagV","tkt","tsaC","yabD","ykaA","ylmD","ylmE","ylmG","ylmH","yqxD","yqzC","yqzD","yrrL","yvyE","ywcI","yydA"
"comZ",1,-0.465183509815847,-0.0423971572239941,0.358774582134292,-0.118905486485096,0.492047423479252,0.0838324520670513,0.295541316143233,0.286702684050478,0.5120577279765,-0.251617389819626,-0.167186796585723,0.551029851858311,-0.185207497124398,-0.143975557630299,0.586507048878383,-0.0950954010581508,0.029713336718739,0.306807019303461,0.493334644331412,0.68894300953958,0.544098268853001,0.561951442411412,-0.354733522876835,-0.286960713330992,-0.0822783312956614,0.0121259228382963,-0.129065715542882,0.521572898733993,0.439725772038753,0.803000557042495,0.138215909833978,-0.424036074944471,0.101888443084294
"spo0A",-0.465183509815847,1,0.6018217480842,-0.338782614203239,0.372106654455656,-0.426504319433098,-0.0659558022698571,-0.0175564191522474,0.155700320135787,-0.416344829894846,0.234825387361149,0.386629654957814,-0.223352744009272,0.0439620644578135,0.0414036263917243,-0.594144623769812,0.335358317580525,0.50763977885558,-0.131679324215456,-0.402627437856662,-0.315179369504586,-0.450994098176918,-0.596383094633935,0.595134252147488,0.592846123110158,0.528939209544867,-0.0722040893425666,0.161087882907476,-0.152014740279719,-0.24112109624332,-0.575692106142994,-0.0923326874682545,0.573661751881102,-0.050769250525243
"divIVA",-0.0423971572239941,0.6018217480842,1,-0.00593466341172815,0.227943074671037,-0.0372006787907968,0.152152843243051,0.391455259291866,0.286827468360813,0.0730024380135562,0.256564989075042,0.367899266149749,0.160843426566319,0.324453045217174,0.352256358886981,-0.071098448731255,-0.0694051583571055,0.612387527726249,0.149718816736999,0.0334629908678702,-0.0144051756728407,0.0631458781781223,-0.0651800689674115,0.454010577579241,0.564496602665941,0.450316140997229,0.248185926589882,-0.00695092956951948,0.134097802520757,0.0348180005226991,-0.257774069074228,0.114523745088006,0.0363662428624551,0.171493757589463
"dnaA",0.358774582134292,-0.338782614203239,-0.00593466341172815,1,0.221456473985331,0.882168437119853,0.387868852078304,0.315104135524577,0.0335540306150638,0.552819715702796,0.249031487331104,0.188723532499076,0.383349468793421,0.180290321544481,0.154270410153238,0.723921972411801,-0.266798471601668,-0.135374207362252,0.596701903422066,0.320101497705682,0.429472406129633,0.518780739742022,0.749329178275357,0.0241945953319741,0.0180570921872411,-0.240226927805778,0.372555323343609,0.289436629227047,0.427963780378596,0.514154904594816,0.452513363917321,0.629114790329179,-0.506753043187465,0.153400284457857
"dnaG",-0.118905486485096,0.372106654455656,0.227943074671037,0.221456473985331,1,0.322253088221987,0.125292560190009,0.148771695727864,0.223711214310405,-0.142156521683466,0.0242284419815655,0.143576358324748,0.0882528542029121,-0.1977188359208,-0.169156930428529,-0.0464199584227501,0.013439396797292,0.308435037861201,0.388084245748888,-0.214964181291035,-0.119788815527663,-0.0505469045229491,-0.074725258366436,0.563778594381159,0.52737136194412,0.335318759241945,0.0882715499238369,0.862430292641392,0.110139468809263,0.0602304846211773,-0.0582951257416665,0.316845389494757,0.156086964328662,-0.0969825714544112
"dnaN",0.492047423479252,-0.426504319433098,-0.0372006787907968,0.882168437119853,0.322253088221987,1,0.236625877020972,0.324401363711011,0.145754758812325,0.619711876999827,0.193955221521515,0.196233613515906,0.572828144675603,0.0692630760472202,0.0993455911396726,0.738021924300533,-0.366674084459381,-0.126729795619877,0.643199811042385,0.41028499021161,0.4489052995317,0.643455983839287,0.706247815812817,-0.0547501908644563,-0.0425062306486435,-0.159050948881196,0.299723186342677,0.35048623543788,0.524697828280393,0.554946097717982,0.562249772876049,0.536494388682943,-0.566124183355884,0.214828616800125
"ftsE",0.0838324520670513,-0.0659558022698571,0.152152843243051,0.387868852078304,0.125292560190009,0.236625877020972,1,0.811690886868643,0.322877528560369,0.109460656666057,-0.139210839658501,-0.199346540083823,0.161641183043407,0.434088187160498,0.412303601192339,0.506759395441516,-0.0336237664056894,0.236246669804018,0.693166134609928,-0.0516808751632011,0.107897326423484,0.0865466007264751,0.517318799275879,0.307176962553284,0.393528874106191,0.0587843499462156,0.530802609543354,0.183709562775859,0.0845824762782375,0.160366342858327,-0.0277073614180712,0.751299607213631,-0.18034799884172,-0.0920199972649024
"ftsX",0.295541316143233,-0.0175564191522474,0.391455259291866,0.315104135524577,0.148771695727864,0.324401363711011,0.811690886868643,1,0.421828150873996,0.252877704935018,-0.181992323938425,-0.138353955516662,0.371987336840252,0.402879030379378,0.448850118419196,0.544723521587968,-0.140043626762388,0.427981407781526,0.715735723660629,0.0966674095386802,0.218956821451091,0.279299939740767,0.501542916241364,0.271796363282457,0.393597635205734,0.264648568075873,0.494034624172338,0.0933429510670201,0.254230794626782,0.205117645454984,0.075463174594484,0.647488708060913,-0.253903864347735,-0.0602173402147244
"med",0.286702684050478,0.155700320135787,0.286827468360813,0.0335540306150638,0.223711214310405,0.145754758812325,0.322877528560369,0.421828150873996,1,0.0588824607861852,0.0947718194509379,0.173087788252805,0.521415878238108,0.0731920590672495,0.148919747040383,0.220699604816647,-0.0707813286872853,0.303965192595204,0.487748415650154,0.0624073821472819,0.0914493469664241,0.205293991164662,0.115519086567783,0.312527619801912,0.357048602341003,0.250750835913356,0.259566722012613,0.160617244706159,0.274592097556325,0.164319074786841,0.0233990797143688,0.358009571215275,-0.10593196868639,0.0683442128529263
"metS",0.5120577279765,-0.416344829894846,0.0730024380135562,0.552819715702796,-0.142156521683466,0.619711876999827,0.109460656666057,0.252877704935018,0.0588824607861852,1,0.366069539000655,0.323081413616003,0.616361344900541,0.297953118895299,0.29981471539277,0.700073724236559,-0.403674027353381,-0.180495678638835,0.348681991453323,0.811087455313628,0.631157859220748,0.81304548761226,0.677539654371788,-0.339658801849909,-0.223113144088757,-0.198796650708611,0.280508409213193,-0.178359404502436,0.542970274548042,0.582351086626349,0.566311911300024,0.261299339285299,-0.628592213932078,0.500015981853582
