"","nasB","resD","tnrA","fur","nsrR","nasC","nasD","nasE","nasF","pval","z","inv_cof_var"
"GSM672721",7.263282528,11.09734126,9.500806691,12.74905093,13.26165428,7.347610037,8.487750929,10.18292509,9.477910781,0.395400683697644,0.265270137631368,6.64120853565767
"GSM672738",7.351365799,12.69237249,9.778504089,13.53453569,12.32020335,7.263798327,8.138221933,10.37931041,9.277469145,0.43031144409117,0.175581308096053,6.36063973763728
"GSM672741",7.21919368,12.420771,9.890813011,12.52685316,13.42601599,7.210253903,9.160485874,10.17872528,9.321043123,0.420359057532387,0.200975009293288,6.44007750328893
"GSM672743",7.213489591,12.5327658,8.9676171,13.38685874,13.7935658,7.265292565,7.669763569,9.984120446,8.806852788,0.367293355299321,0.33903055723615,6.87194933556793
"GSM672744",7.162046097,11.83088699,9.617849071,13.97636729,13.78840558,7.212406691,7.35522119,9.859080669,8.736597398,0.382456987991568,0.299034167186147,6.74683075458494
"GSM672745",7.221266543,11.02599331,9.623286617,14.9261052,13.54124015,7.18144684,8.057889591,9.542331227,8.349314126,0.210495319219436,0.804703778833193,8.32869012180285
"GSM672751",7.379622677,12.50635242,9.841120818,14.06186803,12.70778104,7.354395539,7.684879182,10.28401264,9.961236617,0.496582591399129,0.0085662777909275,5.83817549602738
"GSM672752",7.338213011,12.79503234,9.61009368,14.00300297,12.40504387,7.327780297,7.699220446,9.71651487,8.873246097,0.271246013152677,0.609048900799788,7.71663336689734
"GSM672753",7.253958364,12.61945911,9.866851301,13.91315353,12.30192082,7.246704089,7.651796654,9.733342007,8.696739033,0.293138267543295,0.544239701106517,7.51389419243365
"GSM672754",7.345710781,12.63887881,9.636028996,13.92068736,12.41256617,7.381439405,7.648112639,9.666511896,8.432450558,0.218117674767121,0.778566109291486,8.24692503952487
"GSM672758",7.521742193,11.99392119,10.63703123,12.64338773,13.33142937,7.661118587,9.587906691,10.82198364,9.986601859,0.446095488812255,0.13553236390402,6.2353567543253
"GSM672759",7.87255948,12.01517881,10.69497435,12.55874387,13.4345881,7.958362639,9.698559851,10.73825836,10.12423866,0.334738231182367,0.426866643530969,7.14672229539175
"GSM672760",7.588915242,11.96765929,10.70593401,12.82483383,13.49777063,7.617939777,10.43519703,10.83472677,9.742029368,0.479422274235117,0.0516036028972641,5.97280687250602
"GSM672763",7.683043494,11.75807658,10.50714535,12.75695279,13.31340074,7.735995539,10.38305279,11.08451636,9.744597026,0.47389999957841,0.0654697393155107,6.01618357000794
"GSM672764",7.654683271,11.65836766,10.25613717,12.66787807,13.19793569,7.689591822,10.38045316,11.14480149,9.828678067,0.493139020925699,0.0171987719947083,5.86518006878434
"GSM672765",7.817295911,11.81170372,10.45007435,12.71507175,13.47612974,7.814337918,9.661409665,10.97260186,10.28889442,0.417946221370393,0.207150347989987,6.45939548708333
"GSM672766",8.169343866,11.89681338,10.53120149,12.90368476,13.7522145,8.292988848,10.62500372,11.5471777,11.01674572,0.442732114961305,0.144045893258952,6.26198917566919
"GSM672768",7.511424907,11.66081524,10.60271673,12.37973866,12.74293383,7.571387732,9.299215242,10.76898067,9.766249071,0.434410177951345,0.165157068016067,6.32803014149615
"GSM672769",7.600991078,11.85939182,10.79103494,12.78829182,12.71656803,7.707991078,9.367478067,10.41887398,9.674375465,0.330754138668559,0.437831716911151,7.18102375159786
"GSM672770",7.566876952,12.11049405,10.54862454,12.88436691,12.99247212,7.701094424,10.1489197,10.63032751,9.326156134,0.412939523643256,0.219989865821831,6.49956066823137
"GSM672774",7.645181784,11.63192007,10.54986357,12.48356283,13.24606989,7.778707063,10.2401855,10.5523197,9.545039405,0.387740179914824,0.285213785073724,6.70359718784586
"GSM672775",7.669763569,11.59011673,10.44395465,12.63378309,13.31340074,7.858394796,10.2729855,10.74038885,9.484101859,0.398658467271711,0.256821030402951,6.6147776426278
"GSM672778",7.492395725,11.61633606,10.68536877,12.62237993,13.20139963,7.631891822,8.59803829,10.13658327,9.361120818,0.277362708572584,0.590694077178265,7.65921494781384
"GSM672779",7.564976208,11.41637175,10.83579108,12.63150967,13.18693197,7.680215613,8.695480297,10.29473086,9.386327138,0.289055990112783,0.556144640508029,7.55113578155566
"GSM672780",7.531243866,11.60768401,10.42730372,12.90213346,13.40928959,7.649154647,9.121938662,10.54389442,9.195828996,0.345480503524995,0.397551242595159,7.05501648490609
"GSM672781",7.550943123,11.58623978,10.42834387,12.64338773,13.3970368,7.679235688,9.730959851,10.49665279,9.509933457,0.368929452077692,0.33469005504369,6.8583711732789
"GSM672782",7.474165056,11.58383606,10.60271673,12.37568327,13.53679182,7.632760595,10.00507361,10.71840037,9.347269517,0.440198096838227,0.150466988345624,6.28207594611514
"GSM672783",7.619773234,11.47787249,10.80762305,12.37832454,13.52660112,7.66315539,9.970596283,10.39695242,9.151350929,0.354929182046277,0.372046317686185,6.97523078402911
"GSM672784",7.964062082,11.61378959,10.71119851,12.13645688,13.60618996,7.957251115,10.22252528,10.37459182,9.481560223,0.263340933477728,0.633079288115143,7.79180635019933
"GSM672785",7.707991078,11.45741599,10.76070037,12.51732138,13.54736245,7.78546171,9.974054275,10.2214171,9.212445725,0.286925931086673,0.562387751905498,7.57066577508741
"GSM672786",7.657518959,11.66334796,10.55114572,12.58745911,12.72569926,7.715651301,10.08286914,10.62853197,9.808316357,0.402287739791893,0.247429973630742,6.58540009890947
"GSM672795",7.475986245,11.31089517,9.789263569,12.47327881,13.51480558,7.55006171,9.10509368,10.37684833,10.1576368,0.417897489379592,0.20727515177766,6.45978590413836
"GSM672796",7.515874349,12.01111041,10.47734089,12.54170929,13.1395539,7.661118587,10.09368364,10.89479591,10.25863271,0.490743719309293,0.023204137037305,5.88396633303157
"GSM672806",7.539036059,11.77697584,9.933688848,12.32160558,13.22549963,7.632760595,8.906881413,10.67147621,9.985307807,0.422575134283411,0.195310000496936,6.42235595739518
"GSM672816",7.48490632,11.8179803,10.09491599,12.35006059,13.18693197,7.632760595,8.839818216,10.50820223,9.739531599,0.383483797113225,0.29634372861888,6.73841439862537
