"","bpr","degU","capA","capB","capC","capE","levB","minJ","sacB","sacX","sacY","sipT","swrA","yueB","yueC","yueD","yukB","yukC","yukD","yukE","yveA","pval","z","inv_cof_var"
"GSM672746",8.096063197,12.49129033,9.11824461,8.777056877,8.409305576,10.05462639,7.852455762,12.67092974,7.857855948,9.58410632,9.522955019,12.19544498,12.91816022,10.19817918,10.88470892,12.70310595,9.50463829,9.18085223,9.110960595,13.05076636,7.615569331,0.00998328835221475,2.32697536015976,5.45938589799214
"GSM672747",8.151339033,12.59637175,9.063291822,8.617136803,8.461734572,9.424471375,7.850618216,12.35195651,7.906473978,9.611350558,9.314887361,11.93087695,13.00465167,10.47985502,10.72878178,12.15595799,9.608845725,9.347269517,9.456306691,13.05163569,7.283749814,0.00469764138905835,2.59732556151686,5.58649370013097
"GSM672748",8.099323048,12.45247361,9.334962454,8.890312639,8.173079926,9.798108922,7.945713755,12.16308104,8.058956134,9.847455762,9.779730483,12.10021896,12.81874535,10.76070037,11.01436617,12.29913829,9.861586245,9.561186059,9.681794424,13.15065688,7.465363941,0.00128994934999354,3.01380935301126,5.78230764477596
"GSM672749",8.584775836,13.55136803,8.635448699,8.207724907,8.100355762,8.691702974,7.611296654,12.25859294,7.690520446,10.73348922,10.57860279,11.35503383,11.99392119,11.37801599,11.32135353,11.48022454,10.87328067,10.65467323,10.629771,13.4593829,7.600991078,0.00276756511255153,2.77411973317296,5.66961521614005
"GSM672750",8.108623048,13.5084171,8.448307063,8.084459108,8.217745725,8.656604089,7.551989219,12.32875093,7.691536431,10.76070037,10.25557546,11.17430409,11.99250855,11.40524758,11.09626803,11.30014833,10.89585316,10.73348922,10.85811264,13.6106,7.437914498,0.00942452743578981,2.34850285151637,5.46950725946391
"GSM672751",8.062582156,13.3702461,8.702976208,8.241583086,7.923060595,8.926239777,7.79415316,11.83996506,8.023273234,10.51293717,10.70275725,11.10672639,12.1703171,11.59898848,11.50890743,11.24358141,11.09151115,10.86693086,10.91817807,13.55765056,7.368476952,0.0036958415102482,2.6786626168796,5.62473511547931
"GSM672752",7.967925651,13.31340074,8.57858513,8.106679554,7.999137918,8.951537918,7.585147955,12.00166803,7.737766543,10.70654424,10.76773309,11.83088699,12.04223755,11.80120297,11.63001524,11.54819108,11.20221599,10.92505576,10.93447918,13.09337732,7.318360967,0.0119197767990837,2.25970519617147,5.42775816976724
"GSM672753",7.8573171,13.41359628,8.521008922,8.070960223,7.984951301,8.714569888,7.518624907,12.03685651,7.712718216,10.66433346,10.32988178,11.80914981,11.73846877,11.78330967,11.58120632,11.63990818,11.30964275,11.03757584,11.07137844,13.49568401,7.261334201,0.0298341159663094,1.88323718417403,5.25075803682721
"GSM672754",7.900626766,13.31058439,8.502789963,7.872061338,7.617057249,8.80037881,7.674563941,11.87367249,7.835530855,10.75712379,10.61090149,11.97911264,11.77836766,11.88133755,11.72728216,11.75012844,11.40904461,11.18137621,11.20930781,13.33142937,7.397816729,0.0336424462012321,1.82976629773542,5.22561817445792
"GSM672755",8.495408178,13.40275985,8.757617844,8.568848327,8.249947584,9.276272862,7.452518773,11.98045539,7.759936803,10.14026543,10.16625242,11.37323197,12.41567323,11.79090335,11.62737993,11.30249071,11.17905353,10.80641041,10.69834424,13.78374796,7.183873606,0.00752147368137876,2.43134345370296,5.50845558211704
"GSM672756",7.798363941,13.30585762,8.697910409,8.474837918,8.288367658,8.974035688,7.489437175,12.07589257,7.757776208,10.18716803,10.04472379,11.43817398,12.30746208,11.72854535,11.4562539,11.51240149,11.10018662,10.86057249,10.76314907,14.00590855,7.186738848,0.0256493960731502,1.94897180307613,5.28166381345004
"GSM672757",7.96097026,13.53887881,8.525611524,8.293541264,8.160166543,8.809375836,7.441605204,12.07438996,7.836457993,10.35981673,10.13176691,11.52222045,12.11672937,11.68223941,11.4622,11.4682684,11.21184758,10.97369777,11.03646654,13.92297026,7.105244981,0.0315801105605241,1.85806192401587,5.23892164103052
"GSM672785",8.511257993,12.99432751,8.290675465,7.938524535,7.621493309,8.566478067,7.817295911,12.8108052,8.147725651,9.841120818,9.793090335,11.8077974,14.08497249,12.2344052,12.15180074,11.46338662,11.50287249,11.25023494,11.59011673,15.29518476,7.089604089,0.450115048899876,0.12537068141193,4.42427983744748
"GSM672786",8.53545948,12.80310595,8.160166543,7.990687546,8.016131413,8.234660037,7.530228253,12.49575204,8.010395911,9.58410632,9.52794684,11.47313457,13.90805539,12.52685316,12.27279517,11.19509517,11.78955725,11.58508885,11.82046914,14.97281599,7.031287732,0.457968613575417,0.105552735029941,4.41496223533409
"GSM672788",8.7329829,12.66502602,8.037214126,7.849694796,7.877147584,8.133879926,7.466259108,12.33457361,8.321933829,10.6508487,10.59358662,11.55567323,13.62670483,12.4661171,12.14450074,11.44888067,11.62737993,11.41278104,11.64802937,15.25573643,6.939026766,0.411327752778434,0.22413082771348,4.47071289010394
