"","ykoP","ykuN","ykuO","ykuP","fur","kre","nsrR","resD"
"ykoP",1,0.91416214009239,0.925089528032699,0.924479903314372,-0.632671890336877,-0.304266151447076,-0.064347901334329,-0.0858132133416013
"ykuN",0.91416214009239,1,0.988224291125372,0.979554389439648,-0.684984600965118,-0.322129403014574,-0.095947544217089,-0.0936392386470723
"ykuO",0.925089528032699,0.988224291125372,1,0.994705038456473,-0.688473402802607,-0.35412511426324,-0.107960641103551,-0.088586699205072
"ykuP",0.924479903314372,0.979554389439648,0.994705038456473,1,-0.659015258643094,-0.32388475708829,-0.100966232982153,-0.0918838534147295
"fur",-0.632671890336877,-0.684984600965118,-0.688473402802607,-0.659015258643094,1,0.238814650911845,0.22870670546439,0.125411825949023
"kre",-0.304266151447076,-0.322129403014574,-0.35412511426324,-0.32388475708829,0.238814650911845,1,0.259799321675756,-0.224508797216256
"nsrR",-0.064347901334329,-0.095947544217089,-0.107960641103551,-0.100966232982153,0.22870670546439,0.259799321675756,1,-0.213830774328921
"resD",-0.0858132133416013,-0.0936392386470723,-0.088586699205072,-0.0918838534147295,0.125411825949023,-0.224508797216256,-0.213830774328921,1
