"","cgeA","cgeB","cotG","cotY","cotZ","gerE","gerR","spoIIID"
"cgeA",1,0.998001860212815,0.997225819989405,0.996976822477646,0.995694826386837,0.938963167180016,0.939146903505734,0.967116704597687
"cgeB",0.998001860212815,1,0.995098849626774,0.996451767690121,0.995584728723184,0.938040454951204,0.938148568086709,0.965571572012527
"cotG",0.997225819989405,0.995098849626774,1,0.997168106953256,0.99598008629787,0.9362074415176,0.936144947510511,0.969066107233187
"cotY",0.996976822477646,0.996451767690121,0.997168106953256,1,0.998554803677574,0.9419740000319,0.941581224589713,0.974502061967021
"cotZ",0.995694826386837,0.995584728723184,0.99598008629787,0.998554803677574,1,0.942969028334948,0.946294239670889,0.972704906808165
"gerE",0.938963167180016,0.938040454951204,0.9362074415176,0.9419740000319,0.942969028334948,1,0.879701985893735,0.896324230227922
"gerR",0.939146903505734,0.938148568086709,0.936144947510511,0.941581224589713,0.946294239670889,0.879701985893735,1,0.932435681363256
"spoIIID",0.967116704597687,0.965571572012527,0.969066107233187,0.974502061967021,0.972704906808165,0.896324230227922,0.932435681363256,1
