"","cydA","cydB","cydC","cydD","ccpA","resD","rex"
"cydA",1,0.997571237043597,0.996604189505151,0.994720495623651,-0.260877113975693,0.863760642912896,0.563201223143081
"cydB",0.997571237043597,1,0.998389165442883,0.997271302780671,-0.278913446703992,0.858814531753009,0.560781134857064
"cydC",0.996604189505151,0.998389165442883,1,0.998078321686841,-0.269772724205102,0.856055083900348,0.550194318272082
"cydD",0.994720495623651,0.997271302780671,0.998078321686841,1,-0.271276526128908,0.852297808759825,0.556196495585287
"ccpA",-0.260877113975693,-0.278913446703992,-0.269772724205102,-0.271276526128908,1,-0.21202976692328,-0.0820138708267844
"resD",0.863760642912896,0.858814531753009,0.856055083900348,0.852297808759825,-0.21202976692328,1,0.717464138475424
"rex",0.563201223143081,0.560781134857064,0.550194318272082,0.556196495585287,-0.0820138708267844,0.717464138475424,1
