"","ansZ","gabP","codY","tnrA"
"ansZ",1,0.941028772116037,-0.103010753545809,0.687862970107136
"gabP",0.941028772116037,1,-0.106856038230643,0.711042806224346
"codY",-0.103010753545809,-0.106856038230643,1,0.066034896434147
"tnrA",0.687862970107136,0.711042806224346,0.066034896434147,1
