"","arfM","narG","narH","narI","narJ","fnr"
"arfM",1,0.738644722443775,0.74129465878022,0.606849739898042,0.726279594851326,0.321733530074688
"narG",0.738644722443775,1,0.904570178699242,0.827516313979058,0.88138834554527,0.405812863621705
"narH",0.74129465878022,0.904570178699242,1,0.773685213273962,0.94588499194707,0.245116818677311
"narI",0.606849739898042,0.827516313979058,0.773685213273962,1,0.792481434579449,0.366915235699984
"narJ",0.726279594851326,0.88138834554527,0.94588499194707,0.792481434579449,1,0.267684728349824
"fnr",0.321733530074688,0.405812863621705,0.245116818677311,0.366915235699984,0.267684728349824,1
