"","acpK","codY","abrB","pksC","pksD","pksE","pksF","pksG","pksH","pksI","pksJ","pksL","pksM","pksN","pksR","pval","z","inv_cof_var"
"GSM672772",9.63347026,13.33340483,14.5439829,11.93222788,10.47503271,10.17246059,9.374982156,9.142003346,9.18085223,9.137415985,9.115095539,9.520383643,9.304019331,9.725816729,10.05704498,0.497267019998052,0.00685061853087389,12.3854738457607
"GSM672777",11.61993123,13.82056989,11.36244796,13.2786855,12.59922416,12.01371413,11.2357961,10.88695465,11.05639108,10.99430186,11.00184071,11.24473197,10.9483658,10.94389777,11.04454907,0.217445660633376,0.780848982069981,15.3805293529968
"GSM672778",10.33233123,12.85840781,13.89249665,12.10715093,11.06212491,10.60049368,9.890813011,9.604932714,9.603594796,9.472736431,9.555390335,9.805604833,9.385126394,9.680681413,10.06210632,0.436899521446684,0.158834784149175,12.9735900921134
"GSM672779",10.34576506,12.89065985,13.6744539,12.11816134,10.96242974,10.62320297,9.992781041,9.615347955,9.629740892,9.572453532,9.638676208,9.976483271,9.564360967,9.874389219,10.23297993,0.345995541545911,0.396154461822369,13.8919196921148
"GSM672780",10.36235093,12.81230186,13.8692948,12.08684164,10.82952881,10.47617472,9.923634944,9.543722677,9.667862082,9.559210037,9.826052045,10.24135167,9.788014126,10.05462639,10.29357361,0.252714402229052,0.665972302174073,14.9360038229918
"GSM672781",10.22716952,13.00544758,13.94646394,12.14044424,10.98274721,10.4978948,9.851207435,9.462750186,9.561814498,9.479197398,9.702426022,10.19817918,9.887065428,10.0693658,10.33848885,0.344813518312219,0.399361257240375,13.9043286721976
"GSM672782",10.14026543,12.90826059,14.19545279,12.28882454,10.86634126,10.66670855,9.842369888,9.530714498,9.482872862,9.440052788,9.502141264,9.932549814,9.619292193,9.90340855,10.27928476,0.463184342645803,0.0924145429239363,12.7165710612669
"GSM672784",9.94911487,12.96237379,13.74509665,12.4688316,11.173071,10.76070037,9.883156134,9.484101859,9.805604833,9.781072305,9.793090335,10.12320297,9.832570632,10.05097732,10.1576368,0.455978820665272,0.110569617639293,12.7868237375929
"GSM672785",10.31040186,12.92150372,13.47196803,12.55092639,11.10905242,10.76665242,9.909817472,9.542331227,9.693599628,9.828678067,9.861586245,10.22478587,9.952976208,10.14026543,10.25985874,0.437226152467212,0.158005702862588,12.9703818883364
"GSM672788",10.50383271,12.97873309,11.8697881,12.41414164,11.27969628,10.93447918,10.16502825,9.530714498,9.680681413,9.849930112,9.702426022,10.10077323,9.796913383,9.906640892,10.22599703,0.461682623668057,0.0961955722560958,12.731202090553
"GSM672795",10.96575651,12.63305613,12.3749816,12.40656468,11.21785428,10.82706654,10.4428803,10.09954424,10.31949219,10.11089517,10.32988178,10.6261316,10.15317714,10.28659294,10.30154758,0.133170559721206,1.11152805863663,16.6601214504142
"GSM672796",11.27618439,12.56771524,11.73846877,12.76756729,11.71235911,11.42728327,10.84853383,10.246271,10.30703643,10.51167881,10.48633234,11.04578699,10.67624981,10.76186208,11.00017212,0.16873250624906,0.959186078399257,16.0706206085689
"GSM672797",9.336265056,13.2291658,14.4894368,11.72986729,10.0766881,9.724398885,9.22933197,8.918543866,8.995263569,8.864891078,9.075482156,9.552804833,9.356207435,9.734589219,9.985307807,0.467129514470733,0.0824875365618201,12.6781576272394
"GSM672798",9.41617658,13.24257695,14.39951896,11.54940074,10.23182268,9.765004461,9.166081041,8.79387881,8.979176952,8.958167286,9.02275948,9.467154089,9.270811338,9.728449442,9.970596283,0.433963651681709,0.166291819687384,13.0024457543583
"GSM672799",9.526674721,13.19436877,14.35627175,11.75807658,10.31526468,10.01624201,9.402522677,9.10509368,9.096666171,9.040090706,9.109746468,9.545039405,9.432344238,9.812004461,10.0633171,0.422194482394414,0.196282619026011,13.118497819785
"GSM672800",9.443779926,13.18522751,14.19849442,11.50542677,10.18109182,9.860341264,9.249828996,8.956904089,9.106116729,9.051007063,9.2402171,9.627864126,9.481560223,9.857714498,10.08788327,0.31424540248799,0.483852144886598,14.2312736765759
"GSM672801",9.406495911,13.22169145,13.83859442,11.76571784,10.16996877,10.04591561,9.289737175,8.84164461,9.014144981,9.053477323,9.10020223,9.646335316,9.433663197,9.737092193,10.18349442,0.48222532944316,0.0445692429145142,12.5314294175129
"GSM672802",9.376255762,13.42601599,14.5973803,11.39870892,9.919852788,9.692330112,9.067066543,8.893053903,8.867563197,8.882200743,9.075482156,9.559210037,9.341867472,9.750194238,10.06085762,0.357499787148957,0.36514981908703,13.7719444694932
"GSM672803",9.2174171,13.34303457,14.50400372,11.20118141,9.680681413,9.517847955,9.017775465,8.944990335,8.951537918,8.919800372,9.110960595,9.576361338,9.385726766,9.721840149,9.975315242,0.226012932057368,0.75204189605626,15.2690577715605
"GSM672804",9.38873197,13.21222714,14.01388922,11.48265204,9.978907063,9.525447955,9.078164312,8.862331599,8.83260855,8.847083271,9.029738662,9.479197398,9.368698513,9.752057249,9.972934944,0.406379896652926,0.236867229947302,13.2755435813458
"GSM672805",9.59959145,13.25369033,13.44724164,11.56299777,10.06807993,9.861586245,9.386327138,8.97785948,9.246527881,9.043852416,9.192094796,9.61657658,9.402522677,9.666511896,9.874389219,0.282356874988727,0.575854177821503,14.587283725691
"GSM672806",11.4622,12.5479145,11.91770855,12.60816022,11.545929,11.46098476,11.05060483,10.5099619,10.65251152,10.59812825,10.65467323,10.87889517,10.34157714,10.31892639,10.40642565,0.133603685669606,1.10951663707425,16.6523380757825
"GSM672810",9.146624535,13.25369033,14.22852825,11.60389777,10.0326223,9.955614126,8.993447584,9.034102602,9.062107435,8.944990335,9.208952416,9.752057249,9.445009665,9.937569888,10.14157732,0.428198270169329,0.180963099193968,13.0592175752747
"GSM672812",9.174298141,13.49333755,14.70664796,11.39046952,10.04106729,9.490528996,8.84304052,8.644084015,8.675730855,8.786710223,8.908124535,9.309149814,9.219752416,9.667862082,9.966738662,0.496033010972203,0.00994393073868876,12.3974436924685
"GSM672813",9.07303197,13.36832156,14.3002197,11.30368922,9.879227881,9.362375836,8.884842007,8.644084015,8.752569145,8.7329829,8.917146097,9.396359108,9.333706691,9.699892193,9.911658736,0.434467264452888,0.165012010159303,12.997493417563
"GSM672815",9.26206171,13.06405353,13.57540669,11.48142862,10.06448922,9.688352416,9.063291822,8.884842007,8.96372119,8.930201115,9.000723048,9.326156134,9.213757621,9.621913755,9.84866803,0.393686952811521,0.269722296919268,13.402679185128
"GSM672816",11.09680465,12.64667732,12.89897175,12.64499628,11.58947138,11.07978216,10.60271673,10.17489219,10.32256357,10.40272268,10.38901375,10.67507658,10.30466134,10.44512714,10.51658141,0.191744803137543,0.871484608409864,15.7312519702641
"GSM672817",10.75950632,12.66937435,12.50036468,12.72426729,11.56687732,11.19393717,10.48633234,10.20170595,10.2696368,10.34093643,10.3261487,10.77930967,10.45493383,10.56517138,10.73932156,0.205748902582745,0.821260669930567,15.5369059733944
