"","phrI","rapI","ycxA","ywhH","comA"
"phrI",1,0.664692427852137,0.467277438084323,0.740479754068293,0.191009566696403
"rapI",0.664692427852137,1,0.224654926308925,0.447928179197063,0.209660809964365
"ycxA",0.467277438084323,0.224654926308925,1,0.481266537084801,0.0920904947120573
"ywhH",0.740479754068293,0.447928179197063,0.481266537084801,1,0.403776255741541
"comA",0.191009566696403,0.209660809964365,0.0920904947120573,0.403776255741541,1
